rank,verb,frequency
1,go,9493
2,want,7559
3,do,4771
4,get,3725
5,have,3524
6,say,2869
7,know,2569
8,put,2399
9,see,2351
10,like,2225
11,think,1852
12,come,1126
13,look,1017
14,make,980
15,play,873
16,take,840
17,eat,780
18,find,587
19,need,585
20,sit,523
21,give,509
22,turn,483
23,try,434
24,hear,427
25,tell,425
26,fall,418
27,read,405
28,throw,381
29,open,354
30,talk,347
31,love,344
32,fit,264
33,hold,264
34,push,256
35,help,253
36,fix,226
37,mean,225
38,feel,224
39,stay,215
40,happen,213
41,bring,204
42,can,203
43,draw,203
44,work,202
45,drink,199
46,leave,196
47,hurt,196
48,remember,196
49,call,191
50,show,185
51,use,184
52,ride,181
53,pick,180
54,walk,177
55,let,175
56,sing,174
57,pull,171
58,cry,162
59,keep,162
60,move,156
61,close,151
62,wear,149
63,run,146
64,smell,143
65,write,143
66,build,142
67,break,142
68,stop,141
69,stand,131
70,touch,129
71,guess,125
72,roll,123
73,blow,122
74,sleep,121
75,miss,118
76,will,111
77,drop,108
78,sound,106
79,bite,101
80,catch,100
81,live,99
82,jump,98
83,hide,96
84,bet,95
85,dance,92
86,forget,90
87,finish,90
88,brush,89
89,understand,89
90,feed,87
91,wash,87
92,climb,85
93,start,83
94,hit,82
95,wake,81
96,taste,80
97,ask,77
98,fly,75
99,watch,75
100,wait,73
