rank,verb,frequency
1,go,48557
2,do,34036
3,want,29981
4,have,25237
5,get,22968
6,know,21849
7,think,16835
8,say,14084
9,see,13383
10,like,12022
11,put,10316
12,come,8025
13,look,7852
14,make,7820
15,eat,7185
16,take,5692
17,play,4887
18,tell,4832
19,need,3882
20,give,3737
21,happen,3304
22,find,3173
23,sit,2745
24,hear,2710
25,mean,2682
26,fall,2514
27,remember,2473
28,try,2401
29,talk,2368
30,read,2002
31,can,1931
32,turn,1880
33,use,1812
34,bring,1716
35,help,1626
36,work,1605
37,call,1542
38,love,1503
39,hold,1471
40,leave,1399
41,show,1374
42,hurt,1371
43,feel,1354
44,ask,1349
45,stay,1345
46,run,1320
47,start,1244
48,throw,1230
49,wear,1204
50,open,1201
51,guess,1198
52,let,1189
53,buy,1151
54,pick,1147
55,walk,1138
56,live,1125
57,fit,1118
58,write,1116
59,keep,1108
60,drink,1082
61,will,1034
62,fix,1017
63,break,1015
64,watch,999
65,finish,990
66,wait,927
67,forget,922
68,sleep,921
69,draw,912
70,build,909
71,sing,909
72,cry,848
73,fly,839
74,push,832
75,move,826
76,stand,800
77,ride,779
78,drive,778
79,jump,761
80,stop,746
81,bet,734
82,pull,727
83,miss,711
84,catch,696
85,hit,671
86,sound,648
87,cut,627
88,wash,623
89,blow,590
90,taste,584
91,stick,581
92,lose,561
93,drop,548
94,wonder,536
95,learn,526
96,hide,518
97,understand,510
98,close,508
99,listen,491
100,hope,475
