rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3635328147708489,0.3628786013485487,4.2799520191775213e-07,100
2,0.13744550824736354,0.13374518789545367,1.369237070675838e-05,100
3,0.07513373689890886,0.07459449053777403,2.907866379971486e-07,99
4,0.04468804102199165,0.04929410336877045,2.1215810342413437e-05,98
5,0.02975397415822942,0.035747407637640706,3.592124487212805e-05,98
6,0.02139207843603847,0.027493090294838148,3.7222345701214295e-05,98
7,0.016122726160434815,0.0220201453511806,3.477955311137667e-05,98
8,0.01259706238894073,0.01816819479763597,3.103751631521443e-05,98
9,0.01025107656026708,0.015333883006359619,2.583492136843986e-05,96
10,0.008385717568303449,0.013175325669532627,2.2940345763360178e-05,95
11,0.007573530379044657,0.011485658313945673,1.5304744979032884e-05,93
12,0.0067424089092167705,0.010133054177471157,1.1496475335135857e-05,91
13,0.006086263353031539,0.009029899809183645,8.664995585987729e-06,90
14,0.005817144452680352,0.00811590561288033,5.284302871643945e-06,83
15,0.005449530684633837,0.0073483519029954635,3.6055220193003324e-06,82
16,0.004939308091142301,0.0066962025809757615,3.086678248407175e-06,79
17,0.004654236005201978,0.00613641767502987,2.196862502373798e-06,75
18,0.004399142460578611,0.005651567924454781,1.5685695425654391e-06,71
19,0.004031051460509141,0.005228247922980324,1.433279369753515e-06,68
20,0.0037437569716141793,0.004855994265594308,1.2370717981202384e-06,64
21,0.00354321962014467,0.004526531787586265,9.669028186386873e-07,62
22,0.0034720669001884643,0.004233238123143431,5.79381630654759e-07,59
23,0.003459767319261842,0.003970756679253234,2.6111012602441246e-07,58
24,0.003318178762182438,0.003734712462747182,1.735003237061598e-07,55
25,0.0030553865157506577,0.0035215004358557884,2.172621865157722e-07,52
26,0.003013833662340327,0.00332812583097556,9.877956726543762e-08,50
27,0.002919446799326372,0.0031520822296340705,5.411924343444803e-08,43
28,0.0026292421564851932,0.0029912574538773855,1.3105507554595743e-07,37
29,0.002621391100126006,0.002843860191435094,4.9492496587891426e-08,35
30,0.0024782596009841522,0.0027083622521021757,5.2947230051542826e-08,33
31,0.0024837753206257158,0.002583452731630683,9.935586264653179e-09,32
32,0.002396425460643532,0.0024680013344694474,5.123105713943334e-09,31
33,0.0023458481059101415,0.002361028804773177,2.3045361797017153e-10,30
34,0.00219295894159658,0.002261682920684392,4.722985301662057e-09,29
35,0.002145756346264485,0.00216921887701136,5.504903490480534e-10,29
