rank,verb,frequency
1,go,9493
2,want,7559
3,be,5205
4,do,4762
5,get,3708
6,have,3524
7,say,2869
8,know,2569
9,put,2399
10,see,2351
11,like,2225
12,think,1852
13,come,1126
14,look,1017
15,make,980
16,play,873
17,take,840
18,eat,780
19,find,587
20,need,585
21,sit,523
22,give,509
23,turn,483
24,try,434
25,hear,427
26,tell,425
27,fall,418
28,read,405
29,throw,381
30,open,354
31,talk,347
32,love,344
33,fit,264
34,hold,264
35,push,256
36,help,253
37,fix,226
38,mean,225
39,feel,224
40,stay,215
41,happen,213
42,bring,204
43,draw,203
44,work,202
45,can,201
46,drink,199
47,leave,196
48,hurt,196
49,remember,196
50,call,191
51,show,185
52,use,184
53,ride,181
54,pick,180
55,walk,177
56,let,175
57,sing,174
58,pull,171
59,cry,162
60,keep,162
61,move,156
62,close,151
63,wear,149
64,run,146
65,smell,143
66,write,143
67,build,142
68,break,142
69,stop,141
70,stand,131
71,touch,129
72,guess,125
73,roll,123
74,blow,122
75,sleep,121
76,miss,118
77,will,110
78,drop,108
79,sound,106
80,bite,101
81,catch,100
82,live,99
83,jump,98
84,hide,96
85,bet,95
86,dance,92
87,forget,90
88,finish,90
89,brush,89
90,understand,89
91,feed,87
92,wash,87
93,climb,85
94,start,83
95,hit,82
96,wake,81
97,taste,80
98,ask,77
99,fly,75
100,watch,75
