rank,verb,frequency
1,go,15200
2,do,11476
3,want,9108
4,have,7368
5,get,5996
6,know,5663
7,think,5273
8,see,4008
9,put,3578
10,say,3382
11,like,3255
12,make,2504
13,look,2479
14,come,1992
15,take,1708
16,eat,1641
17,play,1488
18,need,1214
19,tell,1197
20,give,1187
21,happen,1115
22,fall,943
23,find,922
24,sit,877
25,remember,736
26,talk,609
27,turn,577
28,mean,576
29,can,548
30,read,548
31,hold,543
32,hurt,541
33,bring,514
34,use,512
35,help,504
36,try,498
37,hear,488
38,wear,483
39,work,472
40,show,445
41,draw,425
42,fit,409
43,fix,393
44,write,389
45,open,378
46,drive,377
47,sleep,371
48,drink,370
49,cry,366
50,love,360
51,break,358
52,sing,357
53,buy,351
54,throw,349
55,leave,346
56,pick,342
57,ride,334
58,live,330
59,wait,330
60,let,322
61,ask,317
62,call,315
63,guess,313
64,stay,304
65,run,301
66,stand,292
67,build,290
68,will,273
69,finish,268
70,push,266
71,feel,263
72,bet,246
73,hit,246
74,move,242
75,jump,241
76,keep,239
77,cut,233
78,watch,232
79,pull,227
80,forget,216
81,walk,212
82,catch,212
83,fly,210
84,start,204
85,wash,199
86,miss,189
87,blow,189
88,bite,189
89,taste,180
90,drop,180
91,close,173
92,hide,167
93,pretend,155
94,feed,153
95,stop,151
96,cook,149
97,swim,144
98,sound,140
99,belong,140
100,carry,138
