rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.34657188273979955,0.3517013208604437,2.6311135433517363e-05,100
2,0.1575596354122544,0.13052722515967471,0.0007307512040637753,100
3,0.08630948422702057,0.07309549393083847,0.00017460953954759475,100
4,0.05301962893977565,0.04844268558958557,2.0948410430849243e-05,100
5,0.036462766288447,0.035208448934035755,1.5733120255772328e-06,100
6,0.028254738611393933,0.02712799591177559,1.2695491111432303e-06,100
7,0.020426140401084196,0.021761248188991267,1.7825128053301138e-06,100
8,0.014700421030197747,0.017978577145577993,1.0746307516804906e-05,100
9,0.01120737470593393,0.015191729220469281,1.587508089749823e-05,99
10,0.008813332957836437,0.013066943081966327,1.80931990881003e-05,99
11,0.007142550349637029,0.011402037357654974,1.8143229571473663e-05,99
12,0.00607818628515068,0.01006803733873984,1.591891142982653e-05,99
13,0.005231573344392366,0.008979145428738544,1.4044296527370756e-05,99
14,0.004522731205192574,0.008076271465716564,1.2627648383164904e-05,99
15,0.003972088852187506,0.007317512937044817,1.1191862307543377e-05,99
16,0.0035151931568458638,0.006672405384745817,9.967989052000986e-06,99
17,0.003108133364874278,0.006118317944747585,9.061211204907037e-06,99
18,0.002901187995526992,0.00563812002660018,7.490796942714408e-06,98
19,0.00263910920106683,0.005218628119046742,6.653917848216258e-06,97
20,0.0024691934258745224,0.004849546250311803,5.66607956880654e-06,97
21,0.0023065924753045883,0.004522727355798177,4.911253808540333e-06,96
22,0.0021820078940197264,0.004231648302657944,4.2010258047226395e-06,96
23,0.0020833003031669435,0.0039710302360650455,3.5635242995594725e-06,96
24,0.0019576184877423053,0.0037365596848331654,3.1646317827070625e-06,96
25,0.001877466610623165,0.0035246807527131666,2.7133144299013e-06,96
26,0.0017887541521695743,0.003332438258267114,2.38296061941816e-06,96
27,0.0017147826079995994,0.0031573579203996874,2.0810235319462116e-06,95
28,0.001607445343631203,0.0029973538384137654,1.9318456238687283e-06,95
29,0.0015533348782133206,0.0028506563278387167,1.6830429436581391e-06,95
30,0.0015069566356956104,0.0027157551083565085,1.4611937475073202e-06,95
31,0.0014581895414956375,0.002591354190910225,1.2840621226828845e-06,95
32,0.0014190404954851194,0.0024763357666118396,1.1178732903469248e-06,95
33,0.0013455799918618448,0.00236973108442312,1.0488854603944535e-06,95
34,0.0013008539167992592,0.0022706968003951187,9.405952188615319e-07,95
35,0.0012790429015552777,0.0021784956443396467,8.090152365023242e-07,95
36,0.0012320165276104974,0.002092480518380913,7.4039827941255e-07,95
37,0.0012012736099158664,0.0020120813423766862,6.574091790182564e-07,95
38,0.0011321704649773865,0.0019367941122681077,6.47419213779423e-07,95
