rank,verb,frequency
1,go,25227
2,do,21413
3,have,16919
4,know,15983
5,get,14110
6,think,12596
7,see,9834
8,say,8646
9,want,7598
10,tell,7373
11,like,7038
12,look,5736
13,come,5495
14,put,5136
15,wanna,4961
16,make,4631
17,eat,3915
18,take,3439
19,play,3299
20,happen,2935
21,need,2244
22,mean,2169
23,hear,2019
24,can,1999
25,remember,1940
26,give,1863
27,find,1694
28,talk,1650
29,sit,1576
30,help,1527
31,try,1421
32,use,1256
33,call,1200
34,die,1157
35,fall,1104
36,start,1095
37,work,980
38,read,967
39,will,933
40,leave,932
41,let,928
42,ask,923
43,bring,907
44,turn,903
45,feel,862
46,buy,850
47,show,844
48,keep,840
49,love,840
50,finish,826
51,run,799
52,watch,747
53,sound,743
54,wear,727
55,walk,712
56,stay,702
57,hold,693
58,siapa,683
59,pick,682
60,guess,680
61,live,658
62,hurt,635
63,wonder,619
64,wait,597
65,break,595
66,bet,556
67,stop,539
68,hafta,535
69,open,530
70,drive,529
71,move,526
72,dulu,517
73,fit,503
74,forget,494
75,would,480
76,sing,472
77,apa,463
78,fly,451
79,write,448
80,cut,447
81,useta,444
82,sleep,442
83,listen,431
84,grow,422
85,build,413
86,stand,412
87,catch,407
88,jump,405
89,throw,405
90,miss,392
91,pretend,387
92,ist,383
93,pull,377
94,drink,376
95,needta,375
96,fix,374
97,lose,369
98,could,359
99,draw,358
100,cry,345
