rank,verb,frequency
1,go,204507
2,do,153059
3,have,111757
4,get,100523
5,think,79832
6,know,75834
7,see,70051
8,want,59536
9,say,56057
10,put,49789
11,like,47036
12,wanna,45667
13,look,35955
14,come,33927
15,make,30461
16,play,22817
17,eat,21582
18,tell,21108
19,take,20675
20,need,16971
21,happen,16323
22,find,15304
23,give,13342
24,sit,12389
25,remember,10841
26,can,10603
27,try,10500
28,fall,10499
29,die,9670
30,mean,9627
31,read,9093
32,hear,8474
33,help,7907
34,talk,7551
35,use,6969
36,turn,6760
37,will,6626
38,show,6582
39,call,6544
40,hold,6034
41,bring,5906
42,love,5808
43,open,5723
44,finish,5533
45,work,5446
46,fit,5268
47,keep,5178
48,leave,5157
49,feel,5141
50,hurt,5091
51,start,5070
52,let,4941
53,buy,4826
54,draw,4782
55,ask,4745
56,run,4664
57,wear,4653
58,watch,4577
59,pick,4514
60,live,4483
61,break,4434
62,move,4314
63,throw,4259
64,sing,4187
65,stay,4127
66,sleep,4086
67,walk,3835
68,stand,3564
69,sound,3551
70,drive,3413
71,cry,3395
72,needta,3346
73,pull,3309
74,build,3290
75,guess,3249
76,fix,3220
77,siapa,3219
78,drink,3214
79,wait,3189
80,ist,3155
81,write,3145
82,cut,3121
83,stick,3080
84,push,2964
85,wonder,2918
86,bet,2875
87,stop,2839
88,jump,2820
89,den,2736
90,hide,2705
91,miss,2687
92,hafta,2673
93,catch,2547
94,pretend,2536
95,wash,2533
96,fly,2442
97,lose,2381
98,drop,2259
99,would,2256
100,forget,2141
