dataset,scope,arm,be_filter,youngest_alpha,oldest_alpha,oldest_minus_youngest
matched,broader_english,ud_strict,all,1.479999999999999,1.3599999999999994,-0.11999999999999966
matched,broader_english,ud_strict,no_be,1.5599999999999994,1.3999999999999997,-0.1599999999999997
matched,broader_english,ud_copula,all,1.5299999999999994,1.4099999999999997,-0.11999999999999966
matched,broader_english,ud_copula,no_be,1.5599999999999994,1.3999999999999997,-0.1599999999999997
matched,broader_english,spacy_chat,all,1.479999999999999,1.3999999999999997,-0.0799999999999994
matched,broader_english,spacy_chat,no_be,1.489999999999999,1.3899999999999997,-0.09999999999999942
matched,broader_english,spacy_original,all,1.479999999999999,1.3999999999999997,-0.0799999999999994
matched,broader_english,spacy_original,no_be,1.479999999999999,1.3899999999999997,-0.08999999999999941
matched,eng_na,ud_strict,all,1.4699999999999993,1.3299999999999994,-0.1399999999999999
matched,eng_na,ud_strict,no_be,1.5599999999999994,1.3799999999999994,-0.17999999999999994
matched,eng_na,ud_copula,all,1.5299999999999994,1.3999999999999997,-0.12999999999999967
matched,eng_na,ud_copula,no_be,1.5599999999999994,1.3799999999999994,-0.17999999999999994
matched,eng_na,spacy_chat,all,1.489999999999999,1.3799999999999994,-0.10999999999999965
matched,eng_na,spacy_chat,no_be,1.489999999999999,1.3599999999999994,-0.12999999999999967
matched,eng_na,spacy_original,all,1.479999999999999,1.3899999999999997,-0.08999999999999941
matched,eng_na,spacy_original,no_be,1.479999999999999,1.3599999999999994,-0.11999999999999966
earlier_talkbank,broader_english,ud_strict,all,1.4099999999999997,1.4599999999999995,0.04999999999999982
earlier_talkbank,broader_english,ud_strict,no_be,1.4699999999999993,1.4999999999999991,0.029999999999999805
earlier_talkbank,broader_english,ud_copula,all,1.4499999999999995,1.489999999999999,0.03999999999999959
earlier_talkbank,broader_english,ud_copula,no_be,1.4599999999999995,1.4999999999999991,0.03999999999999959
earlier_talkbank,broader_english,spacy_chat,all,1.4299999999999995,1.4699999999999993,0.039999999999999813
earlier_talkbank,broader_english,spacy_chat,no_be,1.4299999999999995,1.4699999999999993,0.039999999999999813
earlier_talkbank,eng_na,ud_strict,all,1.3999999999999997,1.4999999999999991,0.09999999999999942
earlier_talkbank,eng_na,ud_strict,no_be,1.4399999999999995,1.5499999999999994,0.10999999999999988
earlier_talkbank,eng_na,ud_copula,all,1.4399999999999995,1.5299999999999994,0.08999999999999986
earlier_talkbank,eng_na,ud_copula,no_be,1.4399999999999995,1.5499999999999994,0.10999999999999988
earlier_talkbank,eng_na,spacy_chat,all,1.4199999999999997,1.4999999999999991,0.0799999999999994
earlier_talkbank,eng_na,spacy_chat,no_be,1.4199999999999997,1.5099999999999991,0.08999999999999941
paper_saved,paper_saved,spacy_saved,all,1.4599999999999995,1.2499999999999996,-0.20999999999999996
paper_saved,paper_saved,spacy_saved,no_be,1.4599999999999995,1.1999999999999995,-0.26
