dataset,scope,age_group,comparison,n_common,only_before,only_after
matched,broader_english,overall,ud_strict: all vs no_be,99,be,count
matched,broader_english,overall,ud_copula: all vs no_be,99,be,count
matched,broader_english,overall,spacy_chat: all vs no_be,99,be,color
matched,broader_english,overall,spacy_original: all vs no_be,99,be,color
matched,broader_english,overall,ud_strict vs ud_copula: all,100,,
matched,broader_english,overall,ud_strict vs ud_copula: no_be,100,,
matched,broader_english,0-12mo,ud_strict: all vs no_be,99,be,laugh
matched,broader_english,0-12mo,ud_copula: all vs no_be,99,be,laugh
matched,broader_english,0-12mo,spacy_chat: all vs no_be,99,be,hit
matched,broader_english,0-12mo,spacy_original: all vs no_be,99,be,stick
matched,broader_english,0-12mo,ud_strict vs ud_copula: all,100,,
matched,broader_english,0-12mo,ud_strict vs ud_copula: no_be,100,,
matched,broader_english,12-24mo,ud_strict: all vs no_be,99,be,taste
matched,broader_english,12-24mo,ud_copula: all vs no_be,99,be,taste
matched,broader_english,12-24mo,spacy_chat: all vs no_be,99,be,hit
matched,broader_english,12-24mo,spacy_original: all vs no_be,99,be,hide
matched,broader_english,12-24mo,ud_strict vs ud_copula: all,100,,
matched,broader_english,12-24mo,ud_strict vs ud_copula: no_be,100,,
matched,broader_english,24-36mo,ud_strict: all vs no_be,99,be,lie
matched,broader_english,24-36mo,ud_copula: all vs no_be,99,be,lie
matched,broader_english,24-36mo,spacy_chat: all vs no_be,99,be,hafta
matched,broader_english,24-36mo,spacy_original: all vs no_be,99,be,change
matched,broader_english,24-36mo,ud_strict vs ud_copula: all,100,,
matched,broader_english,24-36mo,ud_strict vs ud_copula: no_be,100,,
matched,broader_english,36-48mo,ud_strict: all vs no_be,99,be,wake
matched,broader_english,36-48mo,ud_copula: all vs no_be,99,be,wake
matched,broader_english,36-48mo,spacy_chat: all vs no_be,99,be,count
matched,broader_english,36-48mo,spacy_original: all vs no_be,99,be,write
matched,broader_english,36-48mo,ud_strict vs ud_copula: all,100,,
matched,broader_english,36-48mo,ud_strict vs ud_copula: no_be,100,,
matched,broader_english,48-60mo,ud_strict: all vs no_be,99,be,push
matched,broader_english,48-60mo,ud_copula: all vs no_be,99,be,push
matched,broader_english,48-60mo,spacy_chat: all vs no_be,99,be,understand
matched,broader_english,48-60mo,spacy_original: all vs no_be,99,be,taste
matched,broader_english,48-60mo,ud_strict vs ud_copula: all,100,,
matched,broader_english,48-60mo,ud_strict vs ud_copula: no_be,100,,
matched,broader_english,60-72mo,ud_strict: all vs no_be,99,be,carry
matched,broader_english,60-72mo,ud_copula: all vs no_be,99,be,carry
matched,broader_english,60-72mo,spacy_chat: all vs no_be,99,be,throw
