speaker_role,utterance_count,included_in_cds
Adult,42063,True
Brother,13587,True
Caretaker,24,True
Child,50250,False
Father,1149,False
Father,189744,True
Friend,1350,True
Girl,1,True
Grandfather,908,True
Grandmother,5,False
Grandmother,7099,True
Investigator,390452,True
Male,10,True
Media,566,False
Mother,2818,False
Mother,1275092,True
Other,3025,False
Participant,454862,True
Playmate,1317,True
Relative,3807,True
Sibling,4,False
Sibling,10279,True
Sister,28644,True
Speaker,25920,False
Student,292,True
Target_Child,1142043,False
Teacher,3288,True
Teenager,17,True
Uncertain,2,False
Unidentified,167,False
Unidentified,2619,True
Visitor,2844,True
