rank,average_proportion,num_verbs,sd_proportion
1,0.4114008972311215,100,0.16006741381876113
2,0.21689072353579705,99,0.08369122179552982
3,0.12877365042147648,99,0.05492311737330711
4,0.07870528824321912,97,0.03517061337773592
5,0.04903084109324363,96,0.028107569474589467
6,0.029576337381327887,95,0.01887894677753616
7,0.021578797436689105,91,0.014708021106842552
8,0.016866372542907213,87,0.011794033598242916
9,0.012872383275765826,83,0.008326216204196142
10,0.010959285688706471,74,0.007358053488063041
11,0.009440727442841721,68,0.00631509716404181
12,0.008620523972005216,63,0.005953734476258356
13,0.007224085837609951,57,0.005073536291478133
14,0.006619913605176209,52,0.004854153454039705
15,0.005516571862686267,48,0.004063527621241537
16,0.004770802115759682,42,0.0037209190529438885
17,0.004318117962862512,39,0.003290961297336877
18,0.003626091684886468,36,0.0026900713740992135
19,0.0035336187455747084,35,0.0027344252691780526
20,0.002976170182480149,30,0.00218509180892934
21,0.0026121446484854154,27,0.002064476285740892
22,0.0026407436739469205,26,0.0020271555543254194
23,0.002353851694438477,25,0.0018610305997057576
24,0.0022710657024336066,24,0.0018363114640325185
25,0.0022479694746927927,22,0.0017932239953157068
26,0.0022134461011083994,21,0.001827581755389399
27,0.0018588301807375127,20,0.0013968227345686343
28,0.001835153020992132,20,0.0014128802893485525
29,0.0018123980338781154,19,0.0014147306246836714
30,0.0018122591877312668,17,0.0014318975573408882
31,0.0018573658070286836,16,0.0014031166649729455
32,0.0018867571444177464,14,0.001463113113759167
33,0.0018867571444177464,14,0.001463113113759167
34,0.0018165445543875277,14,0.0014403267500497656
35,0.0017020189177941066,14,0.00142308428327622
36,0.0016346471447105952,13,0.0014415267552071727
37,0.0016346471447105952,13,0.0014415267552071727
38,0.0016346471447105952,13,0.0014415267552071727
39,0.0013061746070367945,12,0.0009445925009497612
40,0.0012003537299702684,12,0.0009181317767157352
41,0.0011850744242619198,12,0.0009280807637925942
42,0.0011405349622986203,12,0.0009467966916645023
43,0.0012109443033408082,11,0.0009594934595099623
44,0.001179970166744866,11,0.000909922678497616
45,0.001179970166744866,11,0.000909922678497616
46,0.001179970166744866,11,0.000909922678497616
47,0.0011361971549773804,11,0.0009465760703434917
48,0.0010778098133530445,11,0.0009562706583171507
49,0.001046835676757102,11,0.0009142922769901218
50,0.001046835676757102,11,0.0009142922769901218
51,0.001046835676757102,11,0.0009142922769901218
52,0.0010980718900768529,10,0.000946956365681923
53,0.0010458308916027437,10,0.000981994303983302
54,0.000879441540521213,10,0.0006304001179025226
55,0.0008453699902656764,10,0.0005664069223223278
56,0.0008163508376249334,10,0.0005884947986558056
57,0.0008163508376249334,10,0.0005884947986558056
58,0.0007822792873693968,10,0.0005392206037635373
59,0.00074998127781149,9,0.0005615764871971789
60,0.00074998127781149,9,0.0005615764871971789
61,0.0006679202174254086,8,0.0005395892536127091
62,0.0007207443254944445,7,0.000560034865027177
63,0.0007207443254944445,7,0.000560034865027177
64,0.0007207443254944445,7,0.000560034865027177
65,0.0007207443254944445,7,0.000560034865027177
66,0.0007207443254944445,7,0.000560034865027177
67,0.0007207443254944445,7,0.000560034865027177
68,0.0007207443254944445,7,0.000560034865027177
69,0.0007207443254944445,7,0.000560034865027177
70,0.0007207443254944445,7,0.000560034865027177
71,0.0007207443254944445,7,0.000560034865027177
72,0.0007207443254944445,7,0.000560034865027177
73,0.0007207443254944445,7,0.000560034865027177
74,0.0007207443254944445,7,0.000560034865027177
75,0.0007207443254944445,7,0.000560034865027177
76,0.0007207443254944445,7,0.000560034865027177
77,0.0007207443254944445,7,0.000560034865027177
78,0.0007207443254944445,7,0.000560034865027177
79,0.0007207443254944445,7,0.000560034865027177
80,0.0007338249200989029,6,0.00061231495460382
81,0.0007338249200989029,6,0.00061231495460382
82,0.0007338249200989029,6,0.00061231495460382
83,0.0006770390030063418,6,0.0005554713049266432
84,0.0007473426369409435,5,0.0005904370890815177
