rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3426707425204148,0.3460709088382475,1.1561130988923892e-05,100
2,0.1453906034526481,0.13023052747559102,0.00022982790363014285,100
3,0.08534561035832287,0.07352315318087979,0.00013977049371247547,100
4,0.054696088668423515,0.04900726947406528,3.2362663826098684e-05,100
5,0.03777402297661365,0.03577810937345558,3.983671111271418e-06,98
6,0.026093286293896525,0.02766762179623125,2.4785322739115325e-06,98
7,0.019028553524898347,0.02226264991875609,1.0459379484763664e-05,97
8,0.013482148487753053,0.01844200824383362,2.460020879998758e-05,97
9,0.009752249086423373,0.015620076451400604,3.443139798517564e-05,97
10,0.00762455438606775,0.01346372069072786,3.4095863133478005e-05,96
11,0.006438124090433501,0.011770676052688556,2.8436110430150233e-05,96
12,0.0055300842956349855,0.010411649429344163,2.38296781546451e-05,94
13,0.004806035638420487,0.009300471510043904,2.0199953804135348e-05,94
14,0.0043693373794877035,0.008377695344739719,1.6066933577599275e-05,93
15,0.004076350308652222,0.00760109951113037,1.2423856940370338e-05,92
16,0.003843685318228658,0.0069399432311896625,9.586813063573634e-06,90
17,0.0037316082348761654,0.006371359555274496,6.968287033544728e-06,88
18,0.003346798750162407,0.005878017318195743,6.407067439156734e-06,88
19,0.0032310774343302334,0.005446562807953834,4.908375440740106e-06,88
20,0.0030151723255893597,0.005066555444442303,4.208172700314828e-06,88
21,0.002956270797176885,0.00472972497365865,3.1451397160806145e-06,88
22,0.0028666495740677384,0.004429442960784698,2.442323169566264e-06,88
23,0.0027970593053832844,0.004160340194440858,1.8585347824696076e-06,87
24,0.0027181420800444006,0.003918025359676151,1.4397198847398459e-06,86
25,0.002635004035518621,0.0036988752236821283,1.131821905004433e-06,83
26,0.0024668784807924484,0.003499876122470722,1.0670841277128744e-06,77
27,0.0024261986224820044,0.003318502781665927,7.96206712496927e-07,76
28,0.002365003254757104,0.0031526246671175766,6.203474892087058e-07,76
29,0.0023372091855051163,0.003000432883079665,4.398656730244563e-07,76
30,0.0021955967419335044,0.002860382578969212,4.419402091232662e-07,73
31,0.0021411878423940804,0.0027311471832470254,3.4805202385964133e-07,72
32,0.00213964943336009,0.0026115817439914244,2.2272010581783036e-07,72
33,0.002061601432636937,0.0025006933445215636,1.9280170708249686e-07,70
34,0.0020115274094662074,0.0023976170617908406,1.490652196321561e-07,69
35,0.002008845880815363,0.0023015963012033938,8.570280863736879e-08,69
36,0.001929979392621731,0.0022119666123600174,7.951679209572863e-08,65
37,0.0018812026485351165,0.002128142292608343,6.097918781501176e-08,62
38,0.0018924151415787248,0.0020496052378106504,2.4708726353402036e-08,61
39,0.0019088518102008667,0.001975895615678498,4.494871852922442e-09,59
40,0.0018730867577261728,0.001906604025831153,1.1234072612211315e-09,58
41,0.0018509788502274198,0.0018413648792663532,9.242843764023286e-11,56
42,0.0017752626484482976,0.001779850783187145,2.1050980381819195e-11,55
43,0.0017263461940864192,0.0017217677587873738,2.0962069787544767e-11,53
44,0.001716514757773441,0.0016668511523910043,2.466473699582385e-09,52
45,0.0016483840479892076,0.0016148621263082149,1.123719233186609e-09,50
46,0.0014389244673889163,0.0015655846364514077,1.6042798426938915e-08,46
47,0.0013853641889555156,0.0015188228203127652,1.781120628375025e-08,44
48,0.0013034993869890398,0.0014743987322316512,2.9206586204353275e-08,41
49,0.0012703396118494243,0.0014321503736586666,2.618272263728734e-08,40
50,0.001167491947613811,0.0013919299748817273,5.03724280839139e-08,37
51,0.0011171783336341127,0.0013536024918287988,5.5896382578065975e-08,36
52,0.0010875693607480877,0.0013170442874226786,5.265874197230888e-08,35
53,0.0010875693607480877,0.0012821419717875889,3.7858500966729014e-08,35
54,0.001083780036241853,0.0012487913795943043,2.722874343498059e-08,35
55,0.0010890851024759115,0.001216896666137984,1.6335795805744027e-08,32
56,0.0010890851024759115,0.001186369506496658,9.464255265671847e-09,32
