rank,verb,frequency
1,go,28490
2,do,18348
3,want,17757
4,have,15360
5,be,13144
6,get,11279
7,think,10574
8,know,10032
9,like,7787
10,see,6698
11,put,5897
12,say,5573
13,need,4932
14,look,4303
15,make,3834
16,come,3391
17,eat,3152
18,play,3133
19,take,2778
20,find,1960
21,give,1850
22,tell,1640
23,fall,1593
24,remember,1590
25,sit,1560
26,fit,1470
27,happen,1431
28,try,1406
29,mean,1179
30,love,971
31,help,963
32,turn,916
33,use,882
34,hear,863
35,can,861
36,work,859
37,talk,840
38,open,833
39,bring,824
40,hold,815
41,wear,810
42,read,795
43,show,778
44,guess,688
45,hurt,669
46,pop,650
47,pick,621
48,drink,620
49,start,612
50,sleep,592
51,build,573
52,knock,568
53,cook,566
54,blow,563
55,ask,555
56,stay,545
57,stop,534
58,run,531
59,fix,527
60,call,523
61,leave,513
62,throw,506
63,feel,501
64,draw,498
65,sing,496
66,let,480
67,move,479
68,keep,475
69,bet,475
70,drive,474
71,break,467
72,stand,460
73,push,457
74,cry,455
75,buy,453
76,wait,448
77,pretend,433
78,dance,428
79,wash,426
80,write,422
81,live,419
82,ride,413
83,seem,413
84,pull,408
85,watch,406
86,wonder,405
87,will,403
88,drop,399
89,jump,392
90,walk,383
91,feed,367
92,finish,361
93,miss,354
94,catch,352
95,cut,351
96,forget,347
97,hide,346
98,begin,322
99,fly,321
100,hit,320
