verb,subject,frequency,rank,total,proportion
be,that,1892,1,8071,0.23441952670053276
be,it,1539,2,8071,0.19068269111634245
be,you,634,3,8071,0.07855284351381489
be,this,614,4,8071,0.07607483583199108
be,he,531,5,8071,0.06579110395242226
be,i,407,6,8071,0.05042745632511461
be,they,325,7,8071,0.04026762482963697
be,what,159,8,8071,0.01970016107049932
be,these,125,9,8071,0.015487548011398835
be,elephant,119,10,8071,0.014744145706851692
be,she,106,11,8071,0.013133440713666213
be,one,105,12,8071,0.013009540329575022
be,who,89,13,8071,0.01102713418411597
be,we,77,14,8071,0.009540329575021683
be,those,68,15,8071,0.008425226118200966
be,name,67,16,8071,0.008301325734109776
be,day,38,17,8071,0.004708214595465246
be,bath,38,18,8071,0.004708214595465246
be,relative,37,19,8071,0.004584314211374055
be,thing,31,20,8071,0.003840911906826911
be,most,25,21,8071,0.003097509602279767
be,cow,25,22,8071,0.003097509602279767
be,skin,25,23,8071,0.003097509602279767
be,foot,23,24,8071,0.0028497088340973856
be,herd,22,25,8071,0.002725808450006195
be,calf,21,26,8071,0.0026019080659150044
be,matter,19,27,8071,0.002354107297732623
be,chi,19,28,8071,0.002354107297732623
be,number,17,29,8071,0.0021063065295502414
be,book,14,30,8071,0.0017346053772766695
be,guy,13,31,8071,0.0016107049931854789
be,egg,13,32,8071,0.0016107049931854789
be,baby,11,33,8071,0.0013629042250030976
be,god,10,34,8071,0.0012390038409119068
be,light,9,35,8071,0.0011151034568207161
be,five,8,36,8071,0.0009912030727295255
be,all,8,37,8071,0.0009912030727295255
be,bear,8,38,8071,0.0009912030727295255
be,some,7,39,8071,0.0008673026886383347
be,story,7,40,8071,0.0008673026886383347
be,animal,7,41,8071,0.0008673026886383347
be,something,7,42,8071,0.0008673026886383347
be,boy,7,43,8071,0.0008673026886383347
be,caterpillar,7,44,8071,0.0008673026886383347
be,car,7,45,8071,0.0008673026886383347
be,bro,7,46,8071,0.0008673026886383347
be,girl,6,47,8071,0.0007434023045471441
be,game,6,48,8071,0.0007434023045471441
be,everything,6,49,8071,0.0007434023045471441
be,daddy,6,50,8071,0.0007434023045471441
be,which,6,51,8071,0.0007434023045471441
be,useta,6,52,8071,0.0007434023045471441
be,cup,6,53,8071,0.0007434023045471441
be,teacher,6,54,8071,0.0007434023045471441
be,kid,6,55,8071,0.0007434023045471441
be,magnet,6,56,8071,0.0007434023045471441
be,piece,5,57,8071,0.0006195019204559534
be,milk,5,58,8071,0.0006195019204559534
be,grandma,5,59,8071,0.0006195019204559534
be,honey,5,60,8071,0.0006195019204559534
be,everybody,5,61,8071,0.0006195019204559534
be,yours,5,62,8071,0.0006195019204559534
be,street,5,63,8071,0.0006195019204559534
be,people,5,64,8071,0.0006195019204559534
be,tusk,5,65,8071,0.0006195019204559534
be,word,5,66,8071,0.0006195019204559534
be,dog,4,67,8071,0.0004956015363647627
be,hole,4,68,8071,0.0004956015363647627
be,problem,4,69,8071,0.0004956015363647627
be,two,4,70,8071,0.0004956015363647627
be,letter,4,71,8071,0.0004956015363647627
be,money,4,72,8071,0.0004956015363647627
be,cat,4,73,8071,0.0004956015363647627
be,plate,4,74,8071,0.0004956015363647627
be,title,4,75,8071,0.0004956015363647627
be,food,4,76,8071,0.0004956015363647627
be,mom,4,77,8071,0.0004956015363647627
be,tea,4,78,8071,0.0004956015363647627
be,part,4,79,8071,0.0004956015363647627
be,ear,4,80,8071,0.0004956015363647627
be,nickel,4,81,8071,0.0004956015363647627
be,box,4,82,8071,0.0004956015363647627
be,mouth,4,83,8071,0.0004956015363647627
be,magnetic,4,84,8071,0.0004956015363647627
be,grandpa,4,85,8071,0.0004956015363647627
be,birthday,4,86,8071,0.0004956015363647627
be,school,4,87,8071,0.0004956015363647627
be,dinosaur,4,88,8071,0.0004956015363647627
be,kind,3,89,8071,0.00037170115227357206
be,hand,3,90,8071,0.00037170115227357206
be,seven,3,91,8071,0.00037170115227357206
be,three,3,92,8071,0.00037170115227357206
be,eight,3,93,8071,0.00037170115227357206
be,picture,3,94,8071,0.00037170115227357206
be,shape,3,95,8071,0.00037170115227357206
be,half,3,96,8071,0.00037170115227357206
be,lady,3,97,8071,0.00037170115227357206
be,anybody,3,98,8071,0.00037170115227357206
be,salad,3,99,8071,0.00037170115227357206
be,cooky,3,100,8071,0.00037170115227357206
be,strawberry,3,101,8071,0.00037170115227357206
be,tooth,3,102,8071,0.00037170115227357206
be,house,3,103,8071,0.00037170115227357206
be,time,3,104,8071,0.00037170115227357206
be,many,3,105,8071,0.00037170115227357206
be,meat,3,106,8071,0.00037170115227357206
be,ghost,3,107,8071,0.00037170115227357206
be,color,3,108,8071,0.00037170115227357206
be,arm,3,109,8071,0.00037170115227357206
be,spoon,3,110,8071,0.00037170115227357206
be,bread,3,111,8071,0.00037170115227357206
be,dad,3,112,8071,0.00037170115227357206
be,mommy,3,113,8071,0.00037170115227357206
be,sis,3,114,8071,0.00037170115227357206
be,nose,3,115,8071,0.00037170115227357206
be,inv,3,116,8071,0.00037170115227357206
be,whatever,3,117,8071,0.00037170115227357206
be,rock,3,118,8071,0.00037170115227357206
be,stuff,3,119,8071,0.00037170115227357206
be,today,3,120,8071,0.00037170115227357206
be,chicken,3,121,8071,0.00037170115227357206
be,whose,3,122,8071,0.00037170115227357206
be,cartoon,3,123,8071,0.00037170115227357206
be,movie,3,124,8071,0.00037170115227357206
be,difference,3,125,8071,0.00037170115227357206
be,supper,3,126,8071,0.00037170115227357206
be,napkin,3,127,8071,0.00037170115227357206
be,orchid,3,128,8071,0.00037170115227357206
be,hippopotamus,3,129,8071,0.00037170115227357206
be,+,2,130,8071,0.00024780076818238137
be,sarah,2,131,8071,0.00024780076818238137
be,four,2,132,8071,0.00024780076818238137
be,sun,2,133,8071,0.00024780076818238137
be,tape,2,134,8071,0.00024780076818238137
be,ya,2,135,8071,0.00024780076818238137
be,tire,2,136,8071,0.00024780076818238137
be,dollar,2,137,8071,0.00024780076818238137
be,glass,2,138,8071,0.00024780076818238137
be,plum,2,139,8071,0.00024780076818238137
be,quarter,2,140,8071,0.00024780076818238137
be,rush,2,141,8071,0.00024780076818238137
be,job,2,142,8071,0.00024780076818238137
be,cole,2,143,8071,0.00024780076818238137
be,dress,2,144,8071,0.00024780076818238137
be,drink,2,145,8071,0.00024780076818238137
be,someone,2,146,8071,0.00024780076818238137
be,pea,2,147,8071,0.00024780076818238137
be,potato,2,148,8071,0.00024780076818238137
be,soup,2,149,8071,0.00024780076818238137
be,ma,2,150,8071,0.00024780076818238137
be,mine,2,151,8071,0.00024780076818238137
be,man,2,152,8071,0.00024780076818238137
be,gym,2,153,8071,0.00024780076818238137
be,rug,2,154,8071,0.00024780076818238137
be,choice,2,155,8071,0.00024780076818238137
be,phone,2,156,8071,0.00024780076818238137
be,line,2,157,8071,0.00024780076818238137
be,passenger,2,158,8071,0.00024780076818238137
be,us,2,159,8071,0.00024780076818238137
be,so_that,2,160,8071,0.00024780076818238137
be,road,2,161,8071,0.00024780076818238137
be,clip,2,162,8071,0.00024780076818238137
be,marble,2,163,8071,0.00024780076818238137
be,eye,2,164,8071,0.00024780076818238137
be,go,2,165,8071,0.00024780076818238137
be,any,2,166,8071,0.00024780076818238137
be,mm,2,167,8071,0.00024780076818238137
be,rule,2,168,8071,0.00024780076818238137
be,vegetable,2,169,8071,0.00024780076818238137
be,ham,2,170,8071,0.00024780076818238137
be,tree,2,171,8071,0.00024780076818238137
be,tomorrow,2,172,8071,0.00024780076818238137
be,flash,2,173,8071,0.00024780076818238137
be,water,2,174,8071,0.00024780076818238137
be,thirty,2,175,8071,0.00024780076818238137
be,answer,2,176,8071,0.00024780076818238137
be,way,2,177,8071,0.00024780076818238137
be,v,2,178,8071,0.00024780076818238137
be,hasta,2,179,8071,0.00024780076818238137
be,blue,2,180,8071,0.00024780076818238137
be,nine,2,181,8071,0.00024780076818238137
be,meal,2,182,8071,0.00024780076818238137
be,kitty,2,183,8071,0.00024780076818238137
be,bike,2,184,8071,0.00024780076818238137
be,emmy,2,185,8071,0.00024780076818238137
be,leg,2,186,8071,0.00024780076818238137
be,rice,2,187,8071,0.00024780076818238137
be,container,2,188,8071,0.00024780076818238137
be,brontosaurus,2,189,8071,0.00024780076818238137
be,zebra,2,190,8071,0.00024780076818238137
be,jacket,2,191,8071,0.00024780076818238137
be,garbage,1,192,8071,0.00012390038409119069
be,cake,1,193,8071,0.00012390038409119069
be,recorder,1,194,8071,0.00012390038409119069
be,david,1,195,8071,0.00012390038409119069
be,banana,1,196,8071,0.00012390038409119069
be,carrot,1,197,8071,0.00012390038409119069
be,banjo,1,198,8071,0.00012390038409119069
be,sliding_stairs,1,199,8071,0.00012390038409119069
be,shrimp,1,200,8071,0.00012390038409119069
be,arrow,1,201,8071,0.00012390038409119069
be,six,1,202,8071,0.00012390038409119069
be,head,1,203,8071,0.00012390038409119069
be,outfit,1,204,8071,0.00012390038409119069
be,squealer,1,205,8071,0.00012390038409119069
be,bowf,1,206,8071,0.00012390038409119069
be,pen,1,207,8071,0.00012390038409119069
be,shadow,1,208,8071,0.00012390038409119069
be,westinghouse,1,209,8071,0.00012390038409119069
be,wanna,1,210,8071,0.00012390038409119069
be,giraffe,1,211,8071,0.00012390038409119069
be,basket,1,212,8071,0.00012390038409119069
be,seamstress,1,213,8071,0.00012390038409119069
be,anyone,1,214,8071,0.00012390038409119069
be,good,1,215,8071,0.00012390038409119069
be,place,1,216,8071,0.00012390038409119069
be,terra,1,217,8071,0.00012390038409119069
be,geary,1,218,8071,0.00012390038409119069
be,kerra,1,219,8071,0.00012390038409119069
be,leo,1,220,8071,0.00012390038409119069
be,frank,1,221,8071,0.00012390038409119069
be,accident,1,222,8071,0.00012390038409119069
be,klunk,1,223,8071,0.00012390038409119069
be,wheel,1,224,8071,0.00012390038409119069
be,nothing,1,225,8071,0.00012390038409119069
be,andrea,1,226,8071,0.00012390038409119069
be,ava,1,227,8071,0.00012390038409119069
be,ship,1,228,8071,0.00012390038409119069
be,pear,1,229,8071,0.00012390038409119069
be,leaf,1,230,8071,0.00012390038409119069
be,everyone,1,231,8071,0.00012390038409119069
be,becky,1,232,8071,0.00012390038409119069
be,fairy,1,233,8071,0.00012390038409119069
be,picnic,1,234,8071,0.00012390038409119069
be,carle,1,235,8071,0.00012390038409119069
be,keeper,1,236,8071,0.00012390038409119069
be,race,1,237,8071,0.00012390038409119069
be,toy,1,238,8071,0.00012390038409119069
be,racer,1,239,8071,0.00012390038409119069
be,lamb,1,240,8071,0.00012390038409119069
be,king,1,241,8071,0.00012390038409119069
be,queen,1,242,8071,0.00012390038409119069
be,maid,1,243,8071,0.00012390038409119069
be,body,1,244,8071,0.00012390038409119069
be,stripe,1,245,8071,0.00012390038409119069
be,sky,1,246,8071,0.00012390038409119069
be,jack,1,247,8071,0.00012390038409119069
be,his,1,248,8071,0.00012390038409119069
be,cinderella,1,249,8071,0.00012390038409119069
be,cloth,1,250,8071,0.00012390038409119069
be,clothesline,1,251,8071,0.00012390038409119069
be,gremlin,1,252,8071,0.00012390038409119069
be,monster,1,253,8071,0.00012390038409119069
be,oh_goodness,1,254,8071,0.00012390038409119069
be,miss,1,255,8071,0.00012390038409119069
be,duffy,1,256,8071,0.00012390038409119069
be,macaroni_and_cheese,1,257,8071,0.00012390038409119069
be,second,1,258,8071,0.00012390038409119069
be,where,1,259,8071,0.00012390038409119069
be,yolk,1,260,8071,0.00012390038409119069
be,home,1,261,8071,0.00012390038409119069
be,adam,1,262,8071,0.00012390038409119069
be,melissa,1,263,8071,0.00012390038409119069
be,celery,1,264,8071,0.00012390038409119069
be,those↑,1,265,8071,0.00012390038409119069
be,macaroni,1,266,8071,0.00012390038409119069
be,stroller,1,267,8071,0.00012390038409119069
be,joe,1,268,8071,0.00012390038409119069
be,tv,1,269,8071,0.00012390038409119069
be,planning,1,270,8071,0.00012390038409119069
be,moore,1,271,8071,0.00012390038409119069
be,hadta,1,272,8071,0.00012390038409119069
be,advice,1,273,8071,0.00012390038409119069
be,kiss,1,274,8071,0.00012390038409119069
be,lunch,1,275,8071,0.00012390038409119069
be,bead,1,276,8071,0.00012390038409119069
be,area,1,277,8071,0.00012390038409119069
be,sandwich,1,278,8071,0.00012390038409119069
be,noise,1,279,8071,0.00012390038409119069
