rank,verb,frequency
1,be,37414
2,go,10156
3,do,7362
4,have,6284
5,know,6163
6,get,5296
7,say,3995
8,think,3832
9,see,3757
10,want,3412
11,like,2501
12,wanna,2423
13,come,2395
14,eat,2198
15,make,1998
16,put,1838
17,look,1836
18,take,1605
19,tell,1484
20,hear,1135
21,happen,1115
22,play,1013
23,mean,987
24,give,955
25,need,825
26,talk,816
27,find,689
28,remember,673
29,try,663
30,sit,595
31,can,527
32,start,508
33,ask,495
34,call,494
35,use,478
36,read,473
37,leave,446
38,run,433
39,fall,429
40,bring,410
41,feel,406
42,work,401
43,finish,398
44,let,378
45,turn,372
46,stay,369
47,guess,362
48,walk,344
49,buy,343
50,will,335
51,keep,328
52,help,324
53,love,319
54,watch,319
55,pick,307
56,show,296
57,wait,281
58,hold,269
59,fly,264
60,stop,260
61,wear,243
62,write,237
63,hafta,236
64,forget,235
65,hurt,227
66,break,221
67,move,221
68,listen,219
69,cut,212
70,live,212
71,build,212
72,throw,209
73,drink,184
74,grow,181
75,jump,181
76,sound,176
77,understand,175
78,catch,175
79,open,174
80,win,172
81,sing,168
82,taste,166
83,fix,166
84,lose,163
85,sleep,157
86,miss,155
87,laugh,155
88,hit,155
89,pull,149
90,bet,146
91,would,145
92,could,143
93,wash,143
94,cry,142
95,hadta,141
96,learn,140
97,wonder,140
98,stand,137
99,needta,136
100,hope,134
