rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.35271197044871083,0.3602810741250271,5.729133046282412e-05,100
2,0.1611571806439816,0.13187059178659447,0.0008577042869016324,100
3,0.08697217993877965,0.07325134940978881,0.00018826119040528706,100
4,0.05377002737372472,0.048267461787659435,3.027822802895002e-05,100
5,0.03712394553422394,0.03492488160795789,4.83588215180466e-06,100
6,0.027534773602149783,0.026811563219896715,5.230332569986286e-07,100
7,0.021263209539152412,0.021441210020699472,3.168417143098534e-08,100
8,0.015416358636371115,0.017666925095728567,5.065049387984738e-06,100
9,0.011737019099577976,0.014893261333213706,9.961865037385865e-06,100
10,0.00870468132733565,0.012783254898701404,1.66347623770432e-05,100
11,0.007119131215476131,0.011133252409888678,1.6113168963432018e-05,99
12,0.005759350817528265,0.009813606549048157,1.6436989536561896e-05,99
13,0.004937437647910827,0.008738232341479486,1.4446040302659674e-05,98
14,0.004185049883890283,0.007847942223768029,1.3416780293535067e-05,98
15,0.0037324189325010568,0.0071008301281799595,1.1346193983174975e-05,97
16,0.0033035378696975623,0.00646647308099975,1.0004159150895214e-05,97
17,0.002959114089406403,0.005922301494988793,8.780479600602094e-06,96
18,0.002720630418515091,0.0054512527209845665,7.4562981587436996e-06,96
19,0.0025148891394252324,0.005040211111868645,6.377251064505487e-06,96
20,0.002354946055634932,0.004678945161203894,5.400971842685337e-06,96
21,0.002204763397344284,0.004359367393386541,4.642318379761261e-06,96
22,0.0020516629388061206,0.0040750089006675455,4.093928881380934e-06,96
23,0.001998967489533231,0.003820639722328359,3.318489723736786e-06,96
24,0.0018879300630245386,0.0035919902435249313,2.903821098767031e-06,96
25,0.001787767697798882,0.0033855437960268494,2.5528884600685874e-06,95
26,0.0017160899523753887,0.003198380244752392,2.1971845108751026e-06,95
27,0.0016277556455233204,0.0030280566150192646,1.960842805171281e-06,95
28,0.0015997451824203911,0.0028725149881066196,1.6199429782665598e-06,95
29,0.0015051064800173008,0.0027300107168971256,1.5003903895261458e-06,95
30,0.0014690926233708623,0.0025990559550020066,1.2768171308309555e-06,95
31,0.0014163676177539424,0.002478374847066526,1.1278593551121907e-06,95
32,0.001355355619681326,0.0023668676852772936,1.0231566588462212e-06,95
33,0.0013229779477734564,0.002263582022243888,8.847360249103768e-07,95
34,0.0012930728922664044,0.002167689226472622,7.64953732060322e-07,95
35,0.0012624312673166838,0.0020784653296676498,6.659115909170202e-07,95
36,0.0012029773104500678,0.0019952752834445442,6.277360780111561e-07,95
37,0.0011824607072830101,0.0019175599432898584,5.403708867778521e-07,95
38,0.001138385609768203,0.0018448252483582702,4.990569629712648e-07,95
39,0.001111147531613625,0.001776633180147297,4.42871148404282e-07,95
40,0.0010922847352380718,0.0017125941706581556,3.8478379567118307e-07,95
41,0.0010807157709325785,0.001652360698151864,3.2677792281554227e-07,94
42,0.0010469000380337356,0.0015956218610072507,3.010956390073777e-07,94
43,0.001022759762751828,0.0015420987611324943,2.6971299523903355e-07,94
44,0.0009918617796586537,0.0014915405605796157,2.4967888410265867e-07,94
45,0.0009718435261728859,0.0014437211004826788,2.226684451364942e-07,94
46,0.0009511338252190245,0.0013984359917056544,2.0007922814363281e-07,94
47,0.0009490276867743454,0.0013555001027966854,1.6521982498703825e-07,94
48,0.0009459430853250148,0.0013147453838802741,1.360151354196426e-07,94
49,0.0009387687620762296,0.0012760189756517895,1.1373770655676077e-07,94
50,0.0009128625784081899,0.0012391815611900918,1.0648407852381519e-07,94
51,0.0008721787941884042,0.0012041059252781978,1.1017562035350104e-07,94
52,0.0008557470512480911,0.001170675691634262,9.918004853548213e-08,93
53,0.0008487789844736504,0.0011387842131534362,8.410303266161486e-08,93
54,0.0008358959691437744,0.0011083335941408088,7.422225951402475e-08,92
55,0.0008292381842723484,0.0010792338267314602,6.249782124854405e-08,92
56,0.000805969600751589,0.0010514020263690804,6.023707554448545e-08,91
57,0.0007980978492660033,0.0010247617534482735,5.137652545914936e-08,91
58,0.0007881338790507597,0.0009992424100968363,4.456681188043228e-08,90
59,0.0007871932605041445,0.000974778702646956,3.518829810391408e-08,90
60,0.0007606636530391704,0.0009513101616701839,3.634609125319508e-08,89
61,0.0007520239767428098,0.0009287807125723241,3.124294366110471e-08,89
62,0.0007362092071182273,0.0009071382906953824,2.9216751612526065e-08,87
63,0.0007341342644108715,0.0008863344956826178,2.316491039917307e-08,87
64,0.0007269894308592764,0.0008663242805526048,1.9414200339062437e-08,87
65,0.000717166622859022,0.0008470656715181589,1.687376284254881e-08,86
66,0.0007157230315819314,0.0008285195150917374,1.2723046692177925e-08,86
67,0.0007146188689931111,0.0008106492494536017,9.22183397138659e-09,86
68,0.0007091920380270147,0.000793420697433501,7.0944670654138784e-09,86
69,0.0007105569162241355,0.0007768018787799878,4.388395064026276e-09,85
70,0.000709105742871141,0.000760762839671329,2.6684556498239896e-09,85
71,0.0006984024211859603,0.0007452754976646921,2.1970852985810383e-09,84
72,0.0006978358423690077,0.000730313500491253,1.0547982771054412e-09,84
73,0.0006958138184980135,0.0007158520972886101,4.0153261688967433e-10,84
74,0.0006785487488236991,0.0007018680210222469,5.437884558699655e-10,83
75,0.0006767059143264234,0.0006883393809879796,1.3533754656554022e-10,83
76,0.0006646010549266445,0.0006752455644101701,1.1330558214486531e-10,82
77,0.0006499662353690081,0.0006625671462582651,1.5878295523899603e-10,81
78,0.0006342085572230028,0.0006502858064990114,2.584779442829176e-10,80
79,0.000625346823016471,0.0006383842540851598,1.6997460887081212e-10,79
80,0.0006234617907803086,0.0006268461570551169,1.1453935082059633e-11,79
81,0.0006210326763184277,0.000615656078183071,2.8907807509120543e-11,78
82,0.0006195544169328227,0.000604799415676718,2.177100620676507e-10,78
83,0.0006110347389315815,0.0005942623484707642,2.813130817701149e-10,76
84,0.0006096316520237638,0.0005840317857097138,6.553531552972302e-10,76
85,0.0006045277609854187,0.0005740953200537483,9.261334610596049e-10,75
86,0.0006044673563112411,0.0005644411844773889,1.6020944316730579e-09,75
87,0.0006012393267671925,0.0005550582122626349,2.1326953368830596e-09,74
88,0.0005957689501221039,0.0005459357999168339,2.483342859381e-09,73
89,0.0005901447109619352,0.0005370638727710916,2.8175753830425215e-09,72
90,0.000589643933223808,0.000528432853037892,3.7467963375266375e-09,72
91,0.0005803872434415323,0.0005200336301271043,3.6425586401074967e-09,72
92,0.0005796457539856533,0.0005118575330379462,4.595242899255143e-09,72
93,0.000586668850991183,0.0005038963046610141,6.851294425979971e-09,71
94,0.0005705303223995919,0.0004961420778393631,5.5336109287524144e-09,69
95,0.0005700077717163286,0.0004885873530510224,6.629284575633745e-09,69
96,0.0005638966718746291,0.0004812249775874126,6.834609036318988e-09,69
97,0.0005638310146200882,0.00047404812611304543,8.060967068668076e-09,69
98,0.0005372241706191175,0.00046705028250174373,4.924374573509686e-09,66
99,0.0005312708559983488,0.00046022522285354,5.047481988946758e-09,64
100,0.0005246362483234786,0.00045356699960449567,5.0508381134806606e-09,63
101,0.0005218309271481752,0.0004470699266490045,5.589207195637002e-09,63
102,0.0005085686240884539,0.0004407285654007955,4.6022735627449375e-09,62
103,0.0005085686240884539,0.00043453771172488744,5.480575985382059e-09,62
104,0.0005085686240884539,0.00042849238367824384,6.412204278233761e-09,62
105,0.0005081027654473992,0.00042258781000187085,7.312807604850704e-09,62
106,0.0004987076667704631,0.0004168194193116601,6.705685071874151e-09,61
107,0.0004917132508934316,0.0004111828299394273,6.485148699029141e-09,60
108,0.0004794981584417498,0.0004056738403793908,5.4500299373723464e-09,59
109,0.00048208944916077823,0.00040028842029879463,6.691408322879074e-09,58
110,0.00047935125072624796,0.0003950227020745478,7.111304117702165e-09,58
111,0.0004821158378546149,0.00038987297282064716,8.508746149674794e-09,57
112,0.00048127847236170983,0.00038483566687380415,9.301214730378008e-09,57
113,0.00047927345251425497,0.0003799073587071275,9.873620598486856e-09,57
114,0.00047835901442324903,0.00037508475624394385,1.0665572402485782e-08,57
115,0.0004781205749199165,0.00037036469454588503,1.1611329755182577e-08,57
116,0.00047191799267748874,0.0003657441298512528,1.1272889147444369e-08,55
117,0.0004626528643931983,0.00036122013394140044,1.0288598806907085e-08,54
118,0.0004600148306520785,0.0003567898888144607,1.0655388617379574e-08,52
119,0.0004596859210082128,0.0003524506816472167,1.1499396560810138e-08,52
120,0.0004596859210082128,0.00034819990002725925,1.242913287416562e-08,52
121,0.0004534081965597229,0.00034403502743882223,1.1962490123549141e-08,49
122,0.00045331574042577774,0.0003399536389868314,1.2850966042653955e-08,49
123,0.0004496443460541458,0.0003359533973447672,1.2925631818438552e-08,48
124,0.00044881791314710194,0.00033203204891291865,1.3638938084925094e-08,47
125,0.00044452110657758033,0.00032818742017451,1.353352659212791e-08,46
126,0.00044442262069576907,0.0003244174142380252,1.4401249576965731e-08,46
127,0.00042991975918275146,0.00032072000755482344,1.1924585755601166e-08,45
128,0.00042953968581650666,0.00031709324680186357,1.2644201647073848e-08,45
129,0.000429439011359544,0.00031353524592001855,1.3433682843060534e-08,45
130,0.0004148797992287346,0.00031004418329907816,1.0990506367350439e-08,43
131,0.0004119172459356516,0.0003066182991011132,1.108786820446294e-08,42
132,0.0004123554161017819,0.00030325589271440473,1.1902706003352852e-08,41
