rank,verb,frequency
1,be,62524
2,go,15605
3,do,12704
4,have,7326
5,get,5995
6,know,5702
7,see,5664
8,think,5295
9,want,4986
10,put,4325
11,wanna,3992
12,say,3453
13,like,2919
14,look,2805
15,make,2690
16,come,2176
17,take,1902
18,eat,1729
19,play,1679
20,happen,1598
21,tell,1271
22,give,1251
23,need,1209
24,sit,1006
25,fall,998
26,find,990
27,read,779
28,remember,760
29,talk,678
30,turn,664
31,help,637
32,hold,627
33,try,603
34,mean,601
35,show,593
36,bring,560
37,hurt,552
38,use,535
39,hear,535
40,can,512
41,draw,503
42,wear,500
43,work,479
44,fix,449
45,open,441
46,write,431
47,fit,416
48,sleep,411
49,break,400
50,sing,399
51,drive,398
52,drink,390
53,leave,389
54,cry,386
55,pick,384
56,let,381
57,throw,377
58,call,364
59,finish,356
60,buy,356
61,stand,350
62,love,348
63,wait,339
64,build,336
65,run,332
66,live,326
67,ask,324
68,guess,315
69,feel,311
70,cut,303
71,move,302
72,stay,293
73,push,291
74,will,266
75,hit,261
76,jump,261
77,pull,259
78,watch,255
79,keep,253
80,bet,245
81,catch,240
82,walk,235
83,start,232
84,fly,231
85,needta,228
86,wash,226
87,ride,220
88,hafta,208
89,miss,200
90,blow,199
91,close,198
92,taste,194
93,drop,186
94,bite,180
95,stop,179
96,stick,177
97,pretend,171
98,feed,158
99,forget,156
100,hide,153
