rank,verb,frequency
1,go,9235
2,do,6919
3,have,4828
4,want,4759
5,know,4407
6,get,4233
7,be,4105
8,think,3698
9,see,2502
10,like,2236
11,say,2234
12,put,1640
13,look,1598
14,come,1596
15,make,1553
16,eat,1412
17,tell,1138
18,take,1047
19,play,870
20,happen,847
21,need,729
22,give,668
23,remember,648
24,find,597
25,mean,582
26,fall,516
27,try,458
28,sit,441
29,bring,402
30,use,396
31,can,389
32,talk,364
33,show,364
34,hear,353
35,help,343
36,work,332
37,call,328
38,run,321
39,turn,304
40,read,300
41,ask,286
42,hurt,285
43,buy,274
44,live,270
45,hold,269
46,walk,264
47,stay,257
48,leave,253
49,fit,251
50,break,244
51,feel,243
52,guess,239
53,watch,220
54,will,219
55,wear,218
56,sleep,212
57,start,203
58,keep,202
59,open,197
60,build,185
61,pick,183
62,forget,181
63,let,176
64,love,175
65,jump,175
66,wait,172
67,bet,167
68,drink,167
69,finish,166
70,fix,164
71,drive,161
72,fly,155
73,wonder,151
74,move,145
75,stand,145
76,ride,144
77,pretend,143
78,cry,143
79,miss,140
80,throw,140
81,catch,136
82,lose,135
83,blow,134
84,draw,134
85,learn,130
86,push,127
87,sing,127
88,hit,126
89,sound,126
90,teach,120
91,cut,113
92,pull,110
93,hide,110
94,grow,110
95,haft,107
96,hope,106
97,wash,105
98,stop,105
99,write,104
100,knock,103
