rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3363276694765478,0.3455174172283582,8.445146374190463e-05,100
2,0.1739221181752846,0.129124112883524,0.0020068612781206125,100
3,0.08752146027875564,0.07260353438885774,0.00022254451285648618,100
4,0.05332404664011175,0.04825527078114722,2.5692488708421598e-05,100
5,0.03786332420216501,0.03515058348371807,7.358962205520015e-06,99
6,0.027784601225630378,0.027132834707356234,4.2479959434319996e-07,98
7,0.020399873994743772,0.02179870669108273,1.956732912346919e-06,98
8,0.013033050528341012,0.01803358881746836,2.500538318102866e-05,98
9,0.009788181104377918,0.015256172172270483,2.9898926318552873e-05,98
10,0.00745286058517559,0.013136205827428913,3.230041314264349e-05,97
11,0.006354896988448347,0.011473405203753352,2.6199126350144825e-05,97
12,0.0052487560568892835,0.010139874393906867,2.3923038586709655e-05,95
13,0.004455832960983266,0.00905045439642609,2.1110546135030672e-05,95
14,0.003933936209972775,0.008146445079594609,1.774523097664262e-05,95
15,0.003682386669860998,0.007386187987917966,1.3718144203640533e-05,95
16,0.0034013397976550715,0.006739374173496005,1.1142473494295771e-05,95
17,0.003255083318158596,0.006183473107007848,8.575466755436566e-06,93
18,0.00307910417127639,0.005701419377190948,6.8765370391707105e-06,93
19,0.002811294498206997,0.005280071837328515,6.09486155015992e-06,93
20,0.0026057734667945566,0.004909161852761504,5.30559805660742e-06,93
21,0.002429191336872361,0.0045805596822710674,4.628385757583568e-06,93
22,0.002365147354202913,0.004287752787028725,3.696411650331328e-06,92
23,0.002224057033501249,0.004025468360577184,3.245082769317483e-06,92
24,0.0021556744983941994,0.0037893959047460833,2.6690456335723775e-06,91
25,0.0020467018962081257,0.0035759804213552253,2.3386928074760884e-06,89
26,0.0019624096235019445,0.0033822662385755795,2.0159928073683603e-06,89
27,0.0019121268703371718,0.0032057776705934006,1.6735323930035813e-06,89
28,0.0018934372815073565,0.00304442682656945,1.3247769328422446e-06,89
29,0.0018334224450408968,0.0028964416751027992,1.1300098834813997e-06,89
30,0.0018007661800844249,0.002760309391003896,9.20723173621649e-07,88
31,0.001756535876797568,0.002634731352348291,7.712272932777608e-07,88
32,0.0017465822386420972,0.0025185871048800535,5.959915134950848e-07,87
33,0.001694586406699721,0.0024109052908249076,5.131127437543525e-07,85
34,0.001690413920944611,0.0023108400319912584,3.849285592684669e-07,85
35,0.0016249652787097616,0.0022176516180530733,3.512770968441753e-07,83
36,0.0015945526807619897,0.002130690618036643,2.8744388778512e-07,82
37,0.0015544924147022584,0.0020493847325562804,2.4491840627092633e-07,81
38,0.0015118920043448256,0.001973227854692258,2.1283076681578858e-07,80
39,0.0014885980939522941,0.0019017709216419191,1.7071178554104056e-07,79
40,0.0014688381941284816,0.00183461422675696,1.337921060454297e-07,78
41,0.001462380645114231,0.0017714009290696806,9.549353589590667e-08,78
42,0.0014416230561321575,0.0017118115498426,7.300182213351784e-08,77
43,0.0014177948981285644,0.0016555592866796065,5.6531904463050944e-08,76
44,0.0014114896612529584,0.0016023860080055634,3.644141520349081e-08,73
45,0.0013907882441868934,0.0015520588162678487,2.6008197419318612e-08,72
46,0.0013436448339005978,0.001504367088553131,2.583164314059369e-08,70
47,0.0013373773241177817,0.0014591199195947801,1.4821259553476078e-08,69
48,0.0013361149749568446,0.0014161439052474995,6.404629683466492e-09,69
49,0.0013295988888536389,0.0013752812150994935,2.0868749312326928e-09,67
50,0.001336461337995295,0.0013363879114990276,5.391450354123085e-15,66
51,0.0012726317032438748,0.00129933247929585,7.12931441777734e-10,64
52,0.0012438026178325336,0.0012639945363545064,4.077135735979885e-10,63
53,0.00124078246446232,0.001230263699634202,1.106444135092498e-10,63
54,0.0012386751642897555,0.0011980385855443025,1.6513315321353995e-09,63
55,0.0012260217159762658,0.001167225926531258,3.456944856461689e-09,61
56,0.0012047168263855075,0.0011377397885553482,4.4859235965025936e-09,60
57,0.001192340871971776,0.0011095008763733509,6.862464870747112e-09,58
58,0.001133934998752029,0.001082435915435586,2.6521555824339527e-09,52
59,0.0010933364741473799,0.0010564771007971503,1.3586134037716175e-09,51
60,0.0010933364741473799,0.001031561604785535,3.816134484672989e-09,51
61,0.0010457613632100149,0.0010076311363026568,1.4539142040066136e-09,50
62,0.0009994577832676177,0.00098463154560319,2.1981732328209613e-10,49
63,0.000964195685213705,0.0009625124692113136,2.8332161107067335e-12,47
64,0.0009537121323485054,0.0009412270103378985,1.5587827161974155e-10,46
65,0.0009534521450625553,0.0009207314507589696,1.0706438357087078e-09,46
66,0.0009505660600436086,0.0009009849906299029,2.4582824442066944e-09,46
67,0.0009208220138362351,0.0008819495131514607,1.5110713094877834e-09,45
