rank,average_proportion,num_verbs,sd_proportion
1,0.4105794736979192,100,0.16462269000628788
2,0.179583840495931,100,0.07193742464044514
3,0.0964297039574502,100,0.04222393783947034
4,0.05773569316528746,99,0.025944336502492334
5,0.04009838656795839,99,0.01883285295256573
6,0.031026143893133355,99,0.015617526250230232
7,0.02252503984699222,99,0.012461931235598692
8,0.01615163989385813,99,0.009498984192483751
9,0.012176662021376662,99,0.006906516465210905
10,0.009636966867523565,99,0.0056708495471968975
11,0.007750357067067653,99,0.0045955141283323
12,0.006312491010397383,99,0.0034928823706552145
13,0.0054008337363155605,99,0.002941602721738999
14,0.004658361896641477,99,0.002659272563605002
15,0.004057540868674876,99,0.0022825542722972104
16,0.003576828229959729,99,0.00207200366254906
17,0.0031777143278928924,97,0.0017976560845880494
18,0.00293275663210772,97,0.0016920641033786581
19,0.0026899842495742175,97,0.0015451545301045481
20,0.002474259611482923,96,0.0014045348026662124
21,0.0023114153706304936,96,0.0012801125470747901
22,0.0021976699782700186,96,0.0012270432392120054
23,0.0020595975237069075,96,0.0011376398631812669
24,0.0019792847668736978,95,0.0010893543330327139
25,0.0018983281271546543,95,0.0010708931172704818
26,0.0017668949508674264,95,0.0009727866344348971
27,0.0016706189771350272,95,0.0009119788717872457
28,0.0015810398189371056,95,0.0008798542646995589
29,0.0015336490202519238,95,0.0008553404408068695
30,0.001503577456731921,95,0.0008457276077774525
31,0.0014499244376576534,95,0.0008106158141358283
32,0.0014209317378287539,95,0.0007861921056011384
33,0.0013684527137840293,95,0.0007416745828947246
34,0.001329107864001015,95,0.0006986732074180127
35,0.001300724629676208,95,0.0006753721074005646
36,0.0012685289794624082,95,0.0006690104485982954
37,0.0012073338516380024,95,0.0006333548797104816
38,0.0011688847922672304,93,0.0006137147567137311
39,0.0011330228105775825,92,0.000594696232220279
40,0.001092899178493571,92,0.0005642164344744264
41,0.0010457278984680677,92,0.000547459224088141
42,0.0010202037194379085,92,0.0005313987557381716
43,0.0009951339280714507,91,0.0005258183531587227
44,0.0009475585696760619,91,0.0004984220178821625
45,0.0009365233386783851,91,0.0005000952094995915
46,0.0009289343368893909,91,0.000502310430455653
47,0.0009124427308255036,91,0.0004882005291298535
48,0.000871476793175434,91,0.00044577678210307197
49,0.0008655987912009307,91,0.0004379734681881517
50,0.000842507721389062,91,0.00043666838892854717
51,0.0008250532557592919,91,0.00042070414286658184
52,0.0008157944981048786,91,0.00042039625180180956
53,0.0008169526014205947,90,0.0004165929740147751
54,0.0008132344871476739,90,0.00041543172926385255
55,0.000812089985919878,90,0.0004161745359923647
56,0.0007883092325505145,90,0.0004035434045807501
57,0.0007869089083542701,90,0.00040346540526014065
58,0.000778837127853738,89,0.0003989746919914831
59,0.0007755227512961681,89,0.00040192217901724686
60,0.0007706446043954692,88,0.00039652557823362727
61,0.0007694677313890663,88,0.00039743377811074493
62,0.00075454415167522,87,0.00039228525350465697
63,0.0007403826810075029,87,0.0003778366422617981
64,0.0007361901234302024,87,0.0003783624226486504
65,0.0007223019604135038,86,0.0003711761098793863
66,0.0007135080180346857,86,0.0003662781427022219
67,0.0007130893386279078,86,0.0003666780649657167
68,0.0007042990954498176,85,0.0003617801537781759
69,0.0006991799396492198,83,0.00036575386044046185
70,0.0006982277483097326,83,0.0003666957692629331
71,0.0006905224963342267,82,0.0003631555285306515
72,0.0006829364059557082,81,0.0003539738188544135
73,0.0006829364059557082,81,0.0003539738188544135
74,0.0006746077872033086,80,0.0003507343800716816
75,0.0006540169226815031,76,0.00031913721419574425
76,0.0006448202376609747,76,0.0003199917499622455
77,0.0006418281497639716,76,0.00032327593611109303
78,0.0006322687747434074,76,0.00031293445043492987
79,0.0006138102014816483,73,0.00030087926666606303
80,0.0006130874734353147,73,0.0003015379019423512
81,0.0006105494848642351,73,0.000301776296934325
82,0.0006071350834398437,73,0.00029615675564418693
83,0.0006062946067214308,73,0.0002974533788866349
84,0.0006029641179299726,73,0.0003001658681916605
85,0.0006010182275981629,73,0.0002988213781295293
86,0.0005978973144653014,73,0.00029927420745539085
87,0.0005989221519623882,72,0.0003012453811382772
88,0.0005972696695367659,71,0.00030474960491062777
89,0.0005972696695367659,71,0.00030474960491062777
90,0.0005951237023744254,71,0.00030305614817507036
91,0.0005945705996780339,71,0.00030358571045095093
92,0.0005898831013775914,70,0.00030428457692867637
93,0.0005889296227484078,70,0.0003052985726098193
94,0.0005840706028180878,69,0.00030547159921321076
95,0.0005758656680672025,68,0.00030070412030653736
96,0.0005729872100809134,67,0.00030211646788673045
97,0.0005678968917097237,66,0.0003026428931167034
98,0.0005572108059438561,63,0.0002925440221325879
99,0.0005487248189252571,62,0.000294230818433881
100,0.0005461001433365954,61,0.0002960281987743959
101,0.0005378707937269883,60,0.00029216461115815585
102,0.0005373308767783085,60,0.00029271027409164446
103,0.000527479629401369,59,0.00028612855223738535
104,0.0005266658226820925,59,0.00028744210726179006
105,0.0005188347005424588,58,0.0002896379358255539
106,0.0005208054134459993,57,0.0002918199691910209
107,0.0005202028084087703,57,0.00029242271810915073
108,0.0005152496770981303,55,0.0002926446684021195
109,0.0005074658218356894,54,0.00028974831814477137
110,0.00047725332009149375,52,0.00026135510548842166
111,0.00047725332009149375,52,0.00026135510548842166
112,0.00047725332009149375,52,0.00026135510548842166
113,0.000468497390744311,50,0.0002611769916325874
114,0.0004769115684869496,49,0.00025673431246355557
115,0.00048470046143681456,48,0.00025322548895131156
116,0.0004763248281766472,46,0.00026093902248588307
117,0.0004757240124250249,45,0.0002639355774211467
118,0.000473610228224892,45,0.0002651500477064767
119,0.0004723371132307802,45,0.0002667643994162922
120,0.00046989261263294575,45,0.0002653789802169663
121,0.0004650796434120951,44,0.00026645293167036887
122,0.0004708331198378493,43,0.0002667426307381242
123,0.00046872993298594873,42,0.0002697208637951129
124,0.00045271586268885695,40,0.0002745408641504755
125,0.0004410351101054347,39,0.00026787115850444474
126,0.00044094250979614973,39,0.00026794624363210345
127,0.0004403150471488264,39,0.00026853895531870416
128,0.0004256373994004895,37,0.00026629796607750155
129,0.00042553979366908093,37,0.0002663759705215955
130,0.00042513981398804873,37,0.00026663257457414536
131,0.00042513981398804873,37,0.00026663257457414536
