rank,verb,frequency
1,be,18485
2,go,4552
3,do,3916
4,have,2823
5,get,2639
6,know,2408
7,think,2038
8,see,1627
9,like,1431
10,say,1388
11,want,1156
12,put,1076
13,wanna,1010
14,look,949
15,eat,903
16,tell,872
17,make,810
18,come,784
19,play,736
20,happen,717
21,take,473
22,find,387
23,remember,375
24,give,327
25,sound,323
26,need,315
27,read,290
28,sit,268
29,try,253
30,start,239
31,live,237
32,use,232
33,stick,218
34,fall,213
35,call,213
36,talk,209
37,run,195
38,mean,192
39,help,181
40,hear,174
41,work,173
42,can,169
43,fly,167
44,watch,159
45,show,156
46,turn,156
47,bet,152
48,leave,150
49,stay,149
50,open,145
51,drink,144
52,keep,141
53,ask,138
54,feel,133
55,finish,131
56,bring,130
57,jump,128
58,pick,127
59,walk,119
60,hold,118
61,guess,116
62,love,108
63,build,103
64,hafta,97
65,stand,97
66,let,96
67,wonder,92
68,buy,92
69,move,91
70,fit,89
71,drive,87
72,ride,83
73,pull,83
74,learn,80
75,fix,79
76,sleep,79
77,wave,79
78,will,78
79,lose,72
80,win,72
81,lie,72
82,wear,68
83,wait,67
84,pretend,66
85,grow,64
86,break,62
87,hurt,61
88,forget,61
89,stop,61
90,belong,60
91,would,59
92,could,57
93,catch,57
94,miss,56
95,end,56
96,roll,55
97,wash,55
98,cut,55
99,listen,53
100,count,53
