rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3316693518491945,0.34455565681244404,0.00016605685560587002,100
2,0.1644130703382775,0.12876469117474998,0.001270806936986624,100
3,0.09149737348770517,0.07240143978537639,0.00036465468396373646,100
4,0.056704159988633235,0.04812095046332123,7.367148575540672e-05,100
5,0.03962591867551711,0.03505274054409983,2.091395822167328e-05,100
6,0.03024294744839222,0.027057309465814413,1.014828935604239e-05,100
7,0.02252125372762552,0.021738029190707258,6.134406752308265e-07,99
8,0.01533044378032257,0.017983391660923713,7.038132457186098e-06,99
9,0.010988575782367435,0.015213706056925671,1.7851725836988555e-05,99
10,0.008908505002565683,0.013099640716235771,1.7565618570400883e-05,99
11,0.006803286412275151,0.011441468559142987,2.1512733627523527e-05,97
12,0.005757777068257551,0.010111649681263926,1.8956206730286958e-05,96
13,0.004880447841841474,0.00902526212434226,1.7179485436422504e-05,96
14,0.0042882911737299675,0.008123769150633278,1.4710891311310311e-05,96
15,0.0038028025255609217,0.007365628262482808,1.2693727231672982e-05,96
16,0.0034635087613390106,0.006720614878059912,1.060874025558071e-05,96
17,0.00327308384852994,0.006166261182599246,8.370475086372375e-06,95
18,0.0029608249459451438,0.005685549267037039,7.424122625949689e-06,95
19,0.0027864937161797675,0.00526537456352084,6.144850255314393e-06,95
20,0.0025676602498647624,0.004895497020513174,5.418824030782826e-06,95
21,0.002394842582275672,0.004567809526228343,4.7217853395110104e-06,93
22,0.002284932928756036,0.004275817669728793,3.96362205183816e-06,93
23,0.0022346618733832054,0.004014263321607588,3.1669813145223213e-06,93
24,0.002085908850420524,0.0037788479821242744,2.8660429036538485e-06,93
25,0.0019453534892301012,0.0035660265485666057,2.626581165259145e-06,93
26,0.0018707445752406768,0.0033728515763265994,2.2563254427113434e-06,93
27,0.0018176232215741472,0.0031968542707528635,1.9022782870186225e-06,93
28,0.0017488925769668098,0.0030359525527269638,1.6565233812037283e-06,91
29,0.001724119626678684,0.0028883793233624327,1.3555006413221343e-06,90
30,0.001661252582294183,0.0027526259684741744,1.191095868061981e-06,90
31,0.001590688557463342,0.002627397480899542,1.0747653919322449e-06,89
32,0.0015068233608568078,0.0025115765252081623,1.00952892127406e-06,89
33,0.001481028427462997,0.0024041944474357856,8.522355004323992e-07,89
34,0.00147843392253606,0.0023044077239238185,6.822327205789443e-07,88
35,0.0013970165225535703,0.0022114787033570772,6.633486439592044e-07,87
36,0.0013632062951518544,0.0021247597624768117,5.799636835946647e-07,87
37,0.001319919377561345,0.0020436801949136854,5.23829720734528e-07,87
38,0.0013075711246979713,0.001967735302515162,4.358167416730476e-07,87
39,0.001288689636121416,0.001896477272461383,3.6940581088772406e-07,87
40,0.0012723932819961113,0.0018295075107021754,3.103762638267527e-07,86
41,0.0012520991323534806,0.0017664701695497725,2.6457756390638905e-07,86
42,0.001240523265006968,0.0017070466595474887,2.1764407765361028e-07,86
43,0.0012043819665693923,0.0016509509766242116,1.9942388074134136e-07,85
44,0.001188757212243376,0.0015979257077235202,1.674188576934848e-07,83
45,0.0011745980160455447,0.0015477386035716812,1.392338980593504e-07,82
46,0.0011566527385705174,0.0015001796275319744,1.180107234395372e-07,81
47,0.0011524968245073491,0.0014550584057295888,9.154351043170191e-08,80
48,0.001113498300662936,0.001412202016696032,8.922390997198037e-08,77
49,0.0010978647286086247,0.001371453069346254,7.485058018756913e-08,77
50,0.0010892127007376886,0.0013326680266842587,5.927049573175071e-08,77
51,0.0010848574813807084,0.001295715739637043,4.4461205074895136e-08,77
52,0.0010840639947609198,0.0012604761611572466,3.112125245264528e-08,77
53,0.0010382415502668252,0.001226839215459321,3.55690793160607e-08,75
54,0.0010260756381968979,0.0011947038011575787,2.8435457343493936e-08,74
55,0.0010069747494441052,0.001163976910312129,2.464967851722883e-08,73
56,0.000992184102431664,0.0011345728480838064,2.0274554888390523e-08,73
57,0.0009823555671480667,0.0011064125399506092,1.5390132500930772e-08,72
58,0.0009716396332469553,0.0010794229153252566,1.1617235895570673e-08,69
59,0.0009716396332469553,0.0010535363580003987,6.707073525341283e-09,69
60,0.0009687854366874247,0.0010286902151866602,3.588582487042469e-09,69
61,0.0009642892328863429,0.0010048263580413686,1.6432585158342142e-09,67
62,0.0009568889450855397,0.000981890787547003,6.250921264678239e-10,65
63,0.0009563577744765521,0.000959833280416326,1.2079141537403458e-11,65
64,0.0009538591056608071,0.000938607070399143,2.3262457962304286e-10,65
65,0.0009522439424120775,0.0009181685609627602,1.1611316209164765e-09,65
66,0.0009349774508037846,0.0008984770658304191,1.3322781032038892e-09,63
67,0.0009280324076396904,0.0008794945743023918,2.3559212650793812e-09,62
68,0.0009291137363353598,0.0008611855386640174,4.614240038876979e-09,61
69,0.0009290007485467921,0.0008435166813128927,7.307525750849827e-09,61
70,0.0009279991342890263,0.0008264568195213739,1.0310841688373002e-08,61
71,0.0009186075252972758,0.0008099767059969199,1.1800654901866583e-08,59
72,0.0009157833632275146,0.0007940488836170533,1.4819283526029802e-08,59
73,0.0009129137746152084,0.000778647552902395,1.8027418293034344e-08,59
74,0.0009129137746152084,0.000763748450954207,2.2250293782891293e-08,59
75,0.0008871135562337534,0.000749328740725449,1.8984655384657477e-08,58
76,0.0008170433870863658,0.0007353669096193086,6.67104697142671e-09,55
77,0.0008016444855232933,0.0007218426765188635,6.368328720379502e-09,54
78,0.0007956865784359553,0.0007087369064480342,7.560245458807062e-09,53
79,0.0007931545270849546,0.0006960315321489991,9.43287614532964e-09,53
80,0.0007762209394249119,0.000683709481936281,8.55836976667075e-09,51
81,0.0007751474551926402,0.000671754613254045,1.0690079764139337e-08,51
82,0.0007719628772902198,0.0006601516514218777,1.2501750230181417e-08,51
83,0.0007663202052598597,0.0006488861331064018,1.3790761302543563e-08,51
84,0.0007582473899075033,0.0006379443541023365,1.4472820423939236e-08,50
