rank,average_proportion,num_verbs,sd_proportion
1,0.3749778820243715,100,0.17021187077702485
2,0.18588170582792737,100,0.06987853323091746
3,0.10344486498352318,100,0.04496561925964996
4,0.06410844323106678,100,0.027535242340855456
5,0.04480016913040402,100,0.020378041934595893
6,0.03419199367425672,100,0.01718884139795741
7,0.025462021064757024,99,0.013421613894137766
8,0.017332253665249285,99,0.01063269379571068
9,0.012423435721036909,99,0.007650373246984723
10,0.010071754653364757,99,0.006208435931700765
11,0.007691642038846155,97,0.004117562356002485
12,0.006509612776055947,96,0.003433601887852832
13,0.005517724157691343,96,0.0029271249191323923
14,0.004848245196198325,96,0.0025051834865115106
15,0.004299362690105092,96,0.0021850500743293656
16,0.003915764819567276,96,0.0020019352276808267
17,0.0037004747118388782,95,0.0019434940875370779
18,0.0033474418455771184,95,0.0017215321371590398
19,0.003150346892595608,95,0.0016038420176441325
20,0.0029029387155742876,95,0.0015139713474542108
21,0.0027075549618218037,93,0.0014967751882065808
22,0.002583293588677007,93,0.001426127604503517
23,0.002526458268302259,93,0.0014189363231396582
24,0.0023582814585238537,93,0.0012412256143058589
25,0.002199372740089358,93,0.0011402680437778716
26,0.002115021586170821,93,0.0011496274863168302
27,0.0020549637828884727,93,0.0011309875989253594
28,0.001977258467635987,91,0.0010917118385812103
29,0.0019492507292702182,90,0.0010999342059208519
30,0.0018781746680634804,90,0.0010814603974621444
31,0.0017983965745174272,89,0.0010545632093649198
32,0.0017035804764253296,89,0.0008876736428712893
33,0.0016744173070307427,89,0.0008773691780819877
34,0.0016714840183292682,88,0.000859121120893067
35,0.0015794353438432199,87,0.0008189542381855189
36,0.0015412102639822916,87,0.0007878585719333285
37,0.0014922710521227856,87,0.0007579614328036397
38,0.0014783103961876103,87,0.000756554141256927
39,0.0014569634114378004,87,0.0007524481402559113
40,0.0014385391213411853,86,0.0007435429260354734
41,0.0014155950138797899,86,0.0007317760403103003
42,0.0014025075995739782,86,0.0007341068694973545
43,0.001361647063422013,85,0.0007222791911620923
44,0.001343982068897633,83,0.0007235385509003779
45,0.0013279740013091496,82,0.0007183079914485729
46,0.0013076854756964938,81,0.0007212004343162596
47,0.0013029868930731867,80,0.0007194064941177048
48,0.001258896042375881,77,0.0006972086941816899
49,0.0012412210787269438,77,0.0006771136687358732
50,0.0012314392913288287,77,0.0006854801413583121
51,0.0012265153786394992,77,0.0006870286945718543
52,0.0012256182805795064,77,0.0006879516053067908
53,0.0011738124592403447,75,0.0006564567217248744
54,0.0011600579536900388,74,0.0006527061022015431
55,0.0011384629200537624,73,0.0006337752276939738
56,0.0011217409484287897,73,0.0006429319193957649
57,0.001110629028308655,72,0.0006418384963769994
58,0.0010985138353438889,69,0.0006268728643348664
59,0.0010985138353438889,69,0.0006268728643348664
60,0.0010952869451449395,69,0.0006245784390925324
61,0.0010902036386257223,67,0.0006240175147186011
62,0.001081837040293846,65,0.0006274549107397973
63,0.0010812365107940858,65,0.0006280194711740456
64,0.0010784115722364995,65,0.0006258183953380342
65,0.0010765855051285335,65,0.0006260216464765123
66,0.0010570643994937472,63,0.0006220006017474319
67,0.0010492124904713422,62,0.0006313739739503796
68,0.0010504350162845162,61,0.0006369279345391268
69,0.0010503072748413724,61,0.0006370586788107607
70,0.0010491748723722013,61,0.0006382660101270209
71,0.0010385569312543592,59,0.0006475251225656448
72,0.0010353639973715379,59,0.0006492680270352785
73,0.001032119705265184,59,0.0006477257665828598
74,0.001032119705265184,59,0.0006477257665828598
75,0.0010029505607828712,58,0.0006326490727939701
76,0.0009237308093241243,55,0.000548380456493783
77,0.0009063211588350788,54,0.0005399246483099591
78,0.0008995852835772292,53,0.0005498085112822595
79,0.0008967226034788675,53,0.0005533556639255843
80,0.0008775778715329265,51,0.0005551031819743288
81,0.0008763642144929875,51,0.0005564361495014597
82,0.0008727638026058675,51,0.0005543269668527723
83,0.0008663843249872522,51,0.0005589557214743242
84,0.0008572573821873735,50,0.0005620837745002091
85,0.0008485241488109968,49,0.0005695629443649605
86,0.0008483651237491239,49,0.0005697059193471008
87,0.0008309103367975959,47,0.0005752405584933893
88,0.0007713375870399824,44,0.0005348417585147757
89,0.0006851899073970301,40,0.0004703127023609444
90,0.0006912880233494725,39,0.0004749597989194827
91,0.0006794732119852969,38,0.0004754919718782838
92,0.0006794732119852969,38,0.0004754919718782838
93,0.0006778526818126456,38,0.00047689542352659636
94,0.0006533468266060388,37,0.00047359670136740703
95,0.0006523242763042331,37,0.00047458260854489186
96,0.0006344779085617659,36,0.0004690208696611015
97,0.0005914773845928006,35,0.0004400840929293922
98,0.0005914773845928006,35,0.0004400840929293922
99,0.0005914773845928006,35,0.0004400840929293922
100,0.0005685280329118924,33,0.00044314182324589434
101,0.000550333940357961,32,0.0004381937570139248
102,0.0005483996744505581,32,0.0004397072471677399
103,0.0005483996744505581,32,0.0004397072471677399
104,0.0005481561673245656,32,0.000439858059915206
105,0.0005471798489041707,32,0.0004403609821256643
106,0.0005471798489041707,32,0.0004403609821256643
107,0.0005469363417781782,32,0.0004405153213524375
108,0.0005594717429932405,30,0.0004464106661168309
109,0.0005552555233249215,30,0.00044679723434842405
110,0.0005409238590806856,29,0.0004476330707180164
111,0.0005409238590806856,29,0.0004476330707180164
112,0.0005409238590806856,29,0.0004476330707180164
113,0.0005263982164731418,28,0.00044927194128777304
114,0.0005033053804741961,27,0.0004474900515150813
115,0.0005019041078383882,27,0.0004485695002404112
116,0.0005019041078383882,27,0.0004485695002404112
117,0.0004500768483636042,26,0.00036719349965267533
118,0.000424836679054905,25,0.0003509916700877562
119,0.000424836679054905,25,0.0003509916700877562
120,0.00042452498993363465,25,0.0003511574192103271
121,0.0004426775712712266,23,0.0003584657589591231
122,0.0004426775712712266,23,0.0003584657589591231
123,0.0004426775712712266,23,0.0003584657589591231
124,0.00040988362660628763,22,0.0003297022717133215
125,0.00040011711771102617,22,0.00031898435292549766
126,0.0003997629255277643,22,0.00031917306586542267
127,0.0003997629255277643,22,0.00031917306586542267
128,0.0003997629255277643,22,0.00031917306586542267
129,0.00039401353507096597,22,0.0003190388520860008
130,0.00039401353507096597,22,0.0003190388520860008
131,0.0003912000573874709,22,0.00032122886537958294
132,0.0003912000573874709,22,0.00032122886537958294
133,0.0003912000573874709,22,0.00032122886537958294
134,0.000390845865204209,22,0.000321423957574908
135,0.0003576977387025461,21,0.0002882651349298061
136,0.0003576977387025461,21,0.0002882651349298061
137,0.0003576977387025461,21,0.0002882651349298061
138,0.0003573266802248432,21,0.0002884586503009663
139,0.0003075340155892653,20,0.00018105798562810435
140,0.0003059719061166335,20,0.00018171464634706845
141,0.00029670062853458267,20,0.00018295628221492365
142,0.00029670062853458267,20,0.00018295628221492365
143,0.0002963110171329946,20,0.0001831579426940923
144,0.0002963110171329946,20,0.0001831579426940923
145,0.0002963110171329946,20,0.0001831579426940923
146,0.0002963110171329946,20,0.0001831579426940923
147,0.0002963110171329946,20,0.0001831579426940923
148,0.00029274609937114286,19,0.00018783511993646754
149,0.00029274609937114286,19,0.00018783511993646754
150,0.00029274609937114286,19,0.00018783511993646754
151,0.00029274609937114286,19,0.00018783511993646754
152,0.0002810905537179889,19,0.0001693318566504744
153,0.0002810905537179889,19,0.0001693318566504744
154,0.00028068043645315937,19,0.00016956172651383318
155,0.00028068043645315937,19,0.00016956172651383318
156,0.00028068043645315937,19,0.00016956172651383318
157,0.00028068043645315937,19,0.00016956172651383318
158,0.00028068043645315937,19,0.00016956172651383318
159,0.00028068043645315937,19,0.00016956172651383318
160,0.00027903611069249426,19,0.00017034589434322998
161,0.0002753849330823621,19,0.00017303920149931338
162,0.0002753849330823621,19,0.00017303920149931338
163,0.0002753849330823621,19,0.00017303920149931338
164,0.0002749748158175326,19,0.00017328883346499164
165,0.0002749748158175326,19,0.00017328883346499164
166,0.00027190997441610393,18,0.00017778206486707178
167,0.00027190997441610393,18,0.00017778206486707178
168,0.00026531584319289264,18,0.00017667414035771195
169,0.00026488294163557255,18,0.00017692708742201107
170,0.00026488294163557255,18,0.00017692708742201107
171,0.00025599853664115785,16,0.00016435599502879626
172,0.00025599853664115785,16,0.00016435599502879626
173,0.00025599853664115785,16,0.00016435599502879626
174,0.00025551152238917276,16,0.00016465918903873987
175,0.00025551152238917276,16,0.00016465918903873987
176,0.00025551152238917276,16,0.00016465918903873987
177,0.00025551152238917276,16,0.00016465918903873987
178,0.00025355888554838297,16,0.00016570201844137952
179,0.00025355888554838297,16,0.00016570201844137952
180,0.00025355888554838297,16,0.00016570201844137952
181,0.00025355888554838297,16,0.00016570201844137952
182,0.00025355888554838297,16,0.00016570201844137952
183,0.0002530718712963979,16,0.00016601950331777046
184,0.0002530718712963979,16,0.00016601950331777046
185,0.0002530718712963979,16,0.00016601950331777046
186,0.0002530718712963979,16,0.00016601950331777046
