rank,verb,frequency
1,be,70129
2,go,18914
3,do,9823
4,get,7294
5,want,6758
6,have,6131
7,see,5980
8,wanna,5941
9,put,5437
10,say,4774
11,know,3807
12,think,3281
13,like,3105
14,look,2633
15,come,2406
16,make,1865
17,play,1717
18,take,1638
19,find,1377
20,sit,1297
21,eat,1240
22,need,1025
23,give,1010
24,turn,997
25,fall,916
26,read,916
27,try,894
28,open,877
29,throw,739
30,hear,738
31,tell,697
32,help,674
33,fit,614
34,talk,554
35,push,547
36,hold,546
37,happen,518
38,show,490
39,draw,486
40,love,463
41,call,409
42,drink,378
43,pick,377
44,bring,376
45,let,366
46,pull,365
47,can,363
48,stay,358
49,work,350
50,move,350
51,fix,346
52,feel,333
53,leave,332
54,mean,326
55,close,319
56,use,318
57,sleep,316
58,hurt,313
59,remember,313
60,build,306
61,walk,288
62,cry,287
63,keep,283
64,color,277
65,sing,273
66,stand,269
67,needta,266
68,wear,263
69,break,257
70,roll,255
71,finish,247
72,feed,234
73,write,230
74,catch,226
75,stop,225
76,touch,215
77,wash,215
78,run,213
79,s,211
80,drive,208
81,stick,204
82,jump,204
83,blow,200
84,cook,194
85,drop,188
86,smell,182
87,will,181
88,miss,181
89,brush,174
90,hafta,169
91,wipe,161
92,watch,160
93,pop,160
94,bet,159
95,ride,159
96,rid,159
97,guess,158
98,sound,157
99,clean,152
100,live,149
