rank,verb,frequency
1,do,1461
2,go,1404
3,want,895
4,know,883
5,have,880
6,think,824
7,be,823
8,get,792
9,like,484
10,see,462
11,say,452
12,put,326
13,look,287
14,make,280
15,tell,276
16,play,245
17,happen,232
18,come,226
19,take,174
20,eat,145
21,remember,129
22,find,119
23,need,114
24,can,99
25,help,81
26,fall,78
27,read,78
28,give,73
29,try,63
30,fix,63
31,use,63
32,sit,62
33,talk,60
34,live,59
35,show,58
36,win,58
37,pick,56
38,drive,55
39,bring,54
40,call,54
41,start,51
42,hear,50
43,mean,47
44,sound,46
45,ask,46
46,write,44
47,will,43
48,turn,43
49,watch,42
50,hold,41
51,jump,41
52,guess,39
53,draw,38
54,walk,35
55,haft,35
56,finish,34
57,bet,34
58,love,34
59,sleep,33
60,run,33
61,learn,31
62,work,31
63,sew,30
64,open,30
65,forget,30
66,wonder,29
67,catch,28
68,stick,28
69,feed,27
70,wear,27
71,break,26
72,stand,26
73,lose,25
74,could,25
75,feel,25
76,fit,25
77,knit,24
78,cut,24
79,leave,24
80,sing,24
81,stay,23
82,hurt,23
83,paint,22
84,wake,22
85,build,22
86,keep,21
87,deliver,21
88,pretend,21
89,ride,20
90,let,18
91,wait,18
92,pull,17
93,move,17
94,fight,17
95,drink,17
96,color,17
97,match,17
98,knock,16
99,push,16
100,cry,16
