collection,transcript,reason
Eng-NA,Bates/Free20/amy.cha,weak_text_identity
Eng-NA,Bates/Free20/chuck.cha,weak_text_identity
Eng-NA,Bates/Free20/gloria.cha,weak_text_identity
Eng-NA,Bates/Free20/hank.cha,weak_text_identity
Eng-NA,Bates/Free20/ivy.cha,weak_text_identity
Eng-NA,Bates/Free20/kathy.cha,weak_text_identity
Eng-NA,Bates/Free20/mandy.cha,weak_text_identity
Eng-NA,Bates/Free20/pete.cha,weak_text_identity
Eng-NA,Bates/Free20/steve.cha,weak_text_identity
Eng-NA,Bates/Free20/tom.cha,weak_text_identity
Eng-NA,Bates/Free20/vicki.cha,weak_text_identity
Eng-NA,Bates/Free28/amy28.cha,weak_text_identity
Eng-NA,Bates/Free28/betty28.cha,weak_text_identity
Eng-NA,Bates/Free28/linda28.cha,weak_text_identity
Eng-NA,Bates/Snack28/rick.cha,weak_text_identity
Eng-NA,Bates/Snack28/sue.cha,weak_text_identity
Eng-NA,Bates/Story28/amyst.cha,weak_text_identity
Eng-NA,Bates/Story28/frankst.cha,weak_text_identity
Eng-NA,Bates/Story28/georgest.cha,weak_text_identity
Eng-NA,Bates/Story28/rickst.cha,weak_text_identity
Eng-NA,Bernstein/Children/Amelia/011000.cha,missing_chat_age
Eng-NA,Bernstein/Children/Cindy/010800.cha,missing_chat_age
Eng-NA,Bernstein/Children/Kay/010400.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Alice/alice1.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Amelia/amelia1.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Amelia/amelia2.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Anne/anne3.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Cindy/cindy1.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Dale/dale1.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Gail/gail2.cha,missing_chat_age
Eng-NA,Bernstein/Interview/Gail/gail3.cha,missing_chat_age
Eng-NA,Bliss/nortrevo.cha,weak_text_identity
Eng-NA,Bloom/Gia/010707.cha,weak_text_identity
Eng-NA,Bloom/Gia/010815.cha,weak_text_identity
Eng-NA,Bloom/Gia/011000.cha,weak_text_identity
Eng-NA,Bloom/Gia/020000.cha,weak_text_identity
Eng-NA,Bloom/Gia/020600.cha,weak_text_identity
Eng-NA,Braunwald/010512.cha,weak_text_identity
Eng-NA,Braunwald/010519.cha,weak_text_identity
Eng-NA,Braunwald/010616a.cha,weak_text_identity
Eng-NA,Braunwald/010629.cha,weak_text_identity
Eng-NA,Braunwald/010706.cha,weak_text_identity
Eng-NA,Braunwald/010905.cha,weak_text_identity
Eng-NA,Braunwald/011014.cha,weak_text_identity
Eng-NA,Braunwald/011024.cha,weak_text_identity
Eng-NA,Braunwald/011118.cha,weak_text_identity
Eng-NA,Braunwald/020024.cha,weak_text_identity
Eng-NA,Braunwald/020217.cha,weak_text_identity
Eng-NA,Braunwald/020228.cha,weak_text_identity
Eng-NA,Braunwald/020308.cha,weak_text_identity
Eng-NA,Braunwald/020426.cha,weak_text_identity
Eng-NA,Braunwald/030000.cha,weak_text_identity
Eng-NA,Braunwald/030006.cha,weak_text_identity
Eng-NA,Braunwald/030007.cha,weak_text_identity
