rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.33371540482754586,0.33921700601545635,3.026761563081809e-05,100
2,0.1547810622121956,0.12853920891492118,0.0006886348644756717,100
3,0.08153254842546614,0.07286313615162116,7.515870917389416e-05,100
4,0.052509074980023565,0.048707252099621796,1.44538572139464e-05,100
5,0.03760776032227373,0.03563851592104787,3.877923511759396e-06,98
6,0.028739353016440525,0.02760996563822873,1.2755158500641105e-06,98
7,0.02019312802924478,0.022250530024232242,4.2329029689783835e-06,96
8,0.01472440444926498,0.01845659722914879,1.3929262946216834e-05,95
9,0.011909704382655496,0.015650856282859168,1.3996217540397545e-05,93
10,0.009830261421735632,0.013504472246844215,1.3499825187345093e-05,91
11,0.008441373062901788,0.011817561128738894,1.1398645855900894e-05,89
12,0.007262442260691416,0.010462220579661534,1.0238581290551229e-05,88
13,0.006165210487792775,0.009353128982698924,1.016282433016469e-05,86
14,0.005912397573654315,0.008431374242841459,6.345243459909159e-06,86
15,0.005446024042032618,0.007655082120731617,4.8799375950653145e-06,84
16,0.00497686776690247,0.006993742545407684,4.067783872170458e-06,82
17,0.0047893326527207,0.006424644873463886,2.6742460593120097e-06,80
18,0.004612027092212545,0.005930565537000749,1.7385436303844952e-06,79
19,0.0043675270996610905,0.005498225850073556,1.27847966418431e-06,76
20,0.004200514048020125,0.00511723807663042,8.403829446314896e-07,73
21,0.0040570122435954386,0.0047793694592289885,5.21799946977855e-07,70
22,0.003996963211584447,0.004478018294644716,2.3141399293812224e-07,67
23,0.0037979486965053146,0.004207834462991689,1.6800634156812265e-07,63
24,0.003805522769184687,0.003964440263769753,2.525477008519455e-08,62
25,0.003733641890395855,0.003744222118972746,1.1194123673926038e-10,61
26,0.003619193387361574,0.003544173136946328,5.628037972366236e-09,59
27,0.003492086474497979,0.003361772705981203,1.698167826504382e-08,57
28,0.003316738170371882,0.0031948934045809667,1.4846146950643015e-08,55
29,0.0031623600004374044,0.0030417283083034883,1.4552005147091917e-08,52
30,0.003058883699166622,0.0029007336970976166,2.5011423154426366e-08,51
31,0.0028636420564107025,0.002770583511651373,8.659892752724168e-09,47
32,0.0027580137953014915,0.002650132859495758,1.1638296310320804e-08,44
33,0.002509569141821282,0.002538388554329064,8.305585372937061e-10,41
34,0.002357575698823477,0.0024344851671638285,5.915066320395501e-09,38
35,0.002356494732312161,0.0023376654308546745,3.5454259337691197e-10,38
36,0.002389556067948858,0.0022472641083019183,2.0247001780166323e-08,36
37,0.0018835145229793042,0.002162694635475487,7.794153521338134e-08,32
38,0.0017217527217448902,0.0020834380018430517,1.3081624183968554e-07,30
39,0.0017148670512005986,0.002009033445920495,8.653386778250184e-08,30
40,0.0015623572882416357,0.0019390706318816342,1.419129432764276e-07,29
41,0.0014000020475560758,0.0018731830412600516,2.2390025280268199e-07,26
42,0.0014422615814305548,0.0018110423667068059,1.3599926758896844e-07,25
43,0.0014318917615908516,0.0017523537361838044,1.0269587716001429e-07,25
44,0.001300271802637551,0.00169685162858241,1.572755583464546e-07,24
45,0.0012652598299011729,0.001644296367586281,1.4366869690031441e-07,23
46,0.0012492576388750502,0.0015944711011724726,1.1917233455137386e-07,23
47,0.0012424328633645716,0.0015471791906229962,9.287032397749884e-08,23
48,0.0011727919145913506,0.0015022419461841673,1.0853732331650792e-07,22
49,0.0011727919145913506,0.0014594966572421843,8.219960945848076e-08,22
50,0.0011727919145913506,0.001418794873605415,6.05174558436754e-08,22
51,0.0010933512185516282,0.0013800009016048094,8.216804079448925e-08,21
52,0.0009660921156247681,0.0013429904845626691,1.4205238050805016e-07,20
53,0.0009501201174119022,0.001307649641987276,1.2782736094309282e-07,20
54,0.0009137575305368352,0.0012738736458245503,1.296836164899149e-07,20
55,0.0009137575305368352,0.001241566115394956,1.074584683066837e-07,20
56,0.0009137575305368352,0.0012106382153895452,8.813814103861407e-08,20
57,0.0009013751883488978,0.0011810079435935425,7.819447780571133e-08,20
58,0.0009013751883488978,0.0011525994969298116,6.311365322195816e-08,20
