rank,verb,frequency
1,be,20196
2,go,5285
3,do,4016
4,have,3200
5,know,2827
6,get,2597
7,think,2415
8,say,2254
9,see,1985
10,want,1545
11,eat,1426
12,like,1388
13,wanna,1242
14,come,1209
15,look,1169
16,make,1055
17,put,874
18,tell,825
19,take,748
20,happen,724
21,play,595
22,remember,510
23,find,477
24,mean,470
25,need,428
26,give,424
27,talk,399
28,try,394
29,read,338
30,call,299
31,start,292
32,hear,285
33,fall,273
34,use,272
35,can,258
36,fly,240
37,bring,239
38,feel,237
39,ask,236
40,walk,229
41,sit,228
42,stay,209
43,guess,208
44,love,207
45,turn,203
46,run,202
47,buy,202
48,help,191
49,leave,184
50,work,183
51,build,177
52,keep,166
53,show,159
54,let,154
55,watch,140
56,finish,131
57,pick,130
58,write,130
59,forget,126
60,jump,122
61,cut,118
62,sleep,117
63,stop,114
64,hold,114
65,drive,113
66,break,111
67,live,111
68,wear,108
69,cry,106
70,wait,106
71,will,105
72,hurt,103
73,hafta,102
74,drink,101
75,laugh,101
76,wonder,101
77,wave,97
78,win,96
79,fix,96
80,grow,95
81,sound,95
82,bet,94
83,catch,93
84,needta,91
85,useta,91
86,open,91
87,learn,90
88,understand,86
89,move,86
90,fit,85
91,draw,85
92,lie,84
93,miss,81
94,lose,81
95,would,79
96,throw,78
97,spell,76
98,nibble,75
99,pretend,74
100,hadta,72
