rank,verb,frequency
1,be,171736
2,go,47223
3,do,33734
4,have,21817
5,get,20338
6,know,18494
7,see,16910
8,think,15394
9,want,14748
10,say,13137
11,wanna,12624
12,put,10992
13,like,9922
14,look,7800
15,come,7274
16,make,7226
17,eat,6552
18,take,5320
19,play,5138
20,tell,4386
21,happen,4227
22,need,3428
23,give,3291
24,find,3082
25,sit,2706
26,try,2640
27,read,2616
28,fall,2489
29,remember,2351
30,mean,2252
31,talk,2112
32,turn,2041
33,hear,1977
34,help,1810
35,can,1686
36,use,1631
37,bring,1611
38,show,1536
39,hold,1469
40,call,1438
41,work,1420
42,love,1338
43,feel,1301
44,leave,1273
45,hurt,1239
46,open,1222
47,run,1183
48,throw,1177
49,stay,1149
50,start,1136
51,walk,1133
52,ask,1118
53,pick,1108
54,let,1103
55,write,1096
56,wear,1070
57,fix,1054
58,guess,1052
59,build,1042
60,drink,1018
61,fit,1011
62,buy,1001
63,draw,1000
64,live,978
65,keep,968
66,sleep,943
67,finish,938
68,break,927
69,move,907
70,sing,898
71,cry,889
72,fly,884
73,stand,869
74,watch,858
75,needta,840
76,push,838
77,will,830
78,wait,795
79,drive,788
80,jump,781
81,pull,737
82,hafta,727
83,cut,717
84,bet,681
85,catch,668
86,miss,651
87,stop,649
88,wash,648
89,stick,607
90,hit,585
91,sound,580
92,close,572
93,blow,553
94,forget,528
95,ride,515
96,taste,499
97,wonder,494
98,drop,493
99,hide,484
100,learn,476
