rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.34212343035626785,0.3434871298417624,1.8596762867380443e-06,100
2,0.14015486639007907,0.12925822124296896,0.00011873687546203836,100
3,0.08212588668831848,0.07297422643178715,8.375288545097508e-05,99
4,0.05269820309350635,0.04864137927552981,1.645781949010171e-05,99
5,0.03655324989432265,0.035510988603774565,1.086308597774952e-06,99
6,0.027367394572754725,0.027461054245321595,8.772134265333238e-09,98
7,0.02046729263683201,0.022096436100150874,2.6541084240745874e-06,98
8,0.016151089903566004,0.018304319486019845,4.636397634754345e-06,97
9,0.012836538463636553,0.015503456347173686,7.112450997530184e-06,97
10,0.0104651205802178,0.01336320002329579,8.398864458391226e-06,96
11,0.009410013281740353,0.011682795723014321,5.1655400253632574e-06,96
12,0.007976210124951293,0.010333915645812305,5.558775323098497e-06,95
13,0.006943093871407289,0.00923103382449637,5.234669228941265e-06,94
14,0.006379874012489253,0.00831514714228215,3.7452820868983928e-06,93
15,0.0057808681690121695,0.007544349403665453,3.10986606497427e-06,91
16,0.0053370686488635214,0.006888129342476099,2.4057892752699313e-06,90
17,0.005070009159344522,0.006323790734615064,1.5719682384878816e-06,88
18,0.004598709026806719,0.005834131810053166,1.5262694533643992e-06,83
19,0.004364412261481985,0.005405898556129057,1.0846937019376874e-06,82
20,0.0040747948792819195,0.0050287283425173735,9.099890522803873e-07,77
21,0.0039651138737109674,0.0046944126612567935,5.318767215158119e-07,76
22,0.003643292212003071,0.00439637256568381,5.671300190999061e-07,72
23,0.0036095105159341468,0.0041292789311618535,2.701592054683217e-07,71
24,0.003523681396315159,0.0038887732284698297,1.3329204590605431e-07,68
25,0.0034636660728697404,0.0036712592759977304,4.3094937984938904e-08,67
26,0.003438178285993029,0.0034737459098911775,1.2650558697601557e-09,66
27,0.0033765156552205086,0.003293726709571831,6.854009521619715e-09,63
28,0.0033635716613769633,0.0031290870475411603,5.4983034125725664e-08,61
29,0.0032549766018506064,0.0029780315333398405,7.669857097243279e-08,59
30,0.003114449951727712,0.0028390268503000133,7.585788480005235e-08,54
31,0.002909490396292957,0.0027107563311176966,3.949522866108468e-08,49
32,0.0029008284311096105,0.0025920835721272217,9.532338794805515e-08,49
33,0.002793611801241434,0.0024820230698026765,9.708753755961412e-08,45
34,0.002543213103262304,0.002379716358646893,2.673118549983691e-08,40
35,0.002432668081653294,0.002284412492828976,2.1979719617645307e-08,38
36,0.0023518852654983166,0.002195451982762493,2.4471371947506113e-08,34
37,0.001994991852510378,0.0021122534986740826,1.3750293661021855e-08,31
38,0.0018593784230100307,0.002034302804611863,3.059853927878337e-08,29
39,0.0017180517321316825,0.001961143501413316,5.909360829247498e-08,27
40,0.0015563417174584292,0.0018923692452970315,1.1291449946532263e-07,25
41,0.001377507943510515,0.001827617176762594,2.0259832185877454e-07,24
42,0.001375639957683885,0.0017665623473405309,1.5282031473486245e-07,24
43,0.0013747059647705696,0.0017089129730819988,1.1169432440447572e-07,24
44,0.001322755019809102,0.0016544063762257016,1.0999262221297042e-07,23
45,0.001242354747259736,0.0016028055022533896,1.2992474677549485e-07,23
46,0.0012290212732723848,0.0015538959200711076,1.055435361325949e-07,23
47,0.0012290212732723848,0.0015074832294882136,7.754106105954614e-08,23
48,0.0012290212732723848,0.001463390813393362,5.492908133651831e-08,23
49,0.0010900631587209954,0.0014214578827246856,1.0982246309748198e-07,21
50,0.0010889957382486353,0.0013815377710245738,8.558084094067824e-08,21
51,0.0010889957382486353,0.0013434964424653378,6.477060844679749e-08,21
52,0.0010703813907265284,0.0013072111830490488,5.6088350531528115e-08,20
53,0.0010703813907265284,0.0012725694494731946,4.0880011099745355e-08,20
54,0.0010703813907265284,0.0012394678541109891,2.8590232099864577e-08,20
55,0.00106926059923055,0.0012078112678379216,1.9196287771549706e-08,20
56,0.0010539271041450963,0.001177512025169358,1.5273232704573022e-08,20
57,0.001052806312649118,0.0011484892184576677,9.15521846396778e-09,20
58,0.0010182304782763915,0.0011206680698118473,1.0493460159584875e-08,20
59,0.0010182304782763915,0.0010939793710128874,5.73789475080516e-09,20
60,0.0010140054683114717,0.0010683589830566957,2.9543045651592736e-09,20
61,0.0010140054683114717,0.0010437473881061568,8.845817930734808e-10,20
62,0.0009986719732260178,0.0010200892876097182,4.5870135541026077e-10,20
63,0.0009564658021650953,0.0009973332411744725,1.6701475711851678e-09,19
64,0.0009552860216430131,0.0009754313414905405,4.058339117591825e-10,19
65,0.0008029231086219092,0.0009543389212101204,2.2926748301748314e-08,18
66,0.0008029231086219092,0.0009340142882049281,1.7184897364467304e-08,18
67,0.0007645844091512618,0.0009144184860732408,2.24502506070615e-08,18
68,0.0007498228800095043,0.0008955150771535365,2.122621630865555e-08,18
69,0.0007498228800095043,0.0008772699456350236,1.6242754536555416e-08,18
70,0.0007379365090266691,0.0008596511186440062,1.481444619430076e-08,18
71,0.0007366911851422488,0.0008426286034355301,1.1222736594645644e-08,18
72,0.0007366911851422488,0.0008261742390376058,8.007216934439373e-09,18
73,0.0007351726454178357,0.0008102615608851674,5.638345226060082e-09,17
74,0.0007351726454178357,0.0007948656771467027,3.5632580369835253e-09,17
75,0.0007487063300840286,0.0007799631555915264,9.76989140806163e-10,16
76,0.0007146993801596045,0.0007655319199728049,2.5839471038606077e-09,14
77,0.0007502782013561078,0.0007515511550130728,1.6204110127805648e-12,13
78,0.0007082334454804817,0.0007380012191771867,8.86120350858242e-10,12
79,0.0006826776203380585,0.0007248635645041989,1.7796538851887132e-09,12
80,0.0006826776203380585,0.0007121206628460234,8.668927521258283e-10,12
81,0.0006826776203380585,0.0006997559379282937,2.916689317129356e-10,12
82,0.0007255733894408678,0.0006877537027086234,1.4303287045250983e-09,11
83,0.0007477024662760475,0.0006760991015605179,5.127041838585155e-09,10
84,0.0007477024662760475,0.0006647780568582988,6.876457677282424e-09,10
