rank,average_proportion,num_verbs,sd_proportion
1,0.3928097897626948,100,0.16631587759666866
2,0.1761164250749899,100,0.06903793430361714
3,0.09783141680525725,100,0.04617674829592145
4,0.06062221112080581,100,0.02603078797897194
5,0.0421152195040771,100,0.018972602155521556
6,0.031059429579715574,100,0.01500944559319515
7,0.02407900567218517,100,0.01219576546973629
8,0.017381297339957354,100,0.009204937827274247
9,0.01346652452786613,99,0.007365826631996627
10,0.009992837551685198,99,0.005391641400920833
11,0.008193723688147376,99,0.0044954879556580694
12,0.006715707872168247,99,0.0035462037347187493
13,0.00563953099674479,98,0.002868239238757868
14,0.004789609194719763,98,0.002525371784828077
15,0.004228458882767957,97,0.0021454811154787362
16,0.003773816152693163,97,0.0019168059958679106
17,0.0033828015507953117,96,0.0016754856021483858
18,0.0031257020925754045,96,0.0015259492550757303
19,0.0029062450393198863,96,0.001433229879352755
20,0.0027323165211024917,95,0.001271770285240051
21,0.002532427226146255,95,0.0012118642218639966
22,0.0023969248703252237,95,0.0011585819588783549
23,0.0023024361447403574,95,0.0011433919907659158
24,0.0021441327412145667,95,0.0010512507015866769
25,0.002002232022409572,94,0.0009758359553221774
26,0.0019006257679127052,94,0.0009439332706207365
27,0.0018651773470779634,94,0.000928006980187443
28,0.0018031948672752515,94,0.0009225893434987478
29,0.001756428603881771,94,0.0008960714548628803
30,0.0017086626828372805,94,0.0008783159755155011
31,0.0016303846019800649,94,0.0008395300998421557
32,0.0015929427447687924,94,0.0008054918723526284
33,0.0015139305369399926,94,0.0007526849063298821
34,0.0014647848440843207,94,0.0007193801364798088
35,0.0014490041376774097,93,0.000721437454220548
36,0.0014018106180000655,93,0.0007204607934164458
37,0.0013398650408907508,92,0.0006758825536054327
38,0.0013091944933723504,92,0.0006722297842418258
39,0.0012573034767886734,92,0.0006352027644837843
40,0.0012437825032511622,92,0.0006315703849905346
41,0.001214865607226728,92,0.0006309780127164388
42,0.0011969101520330296,92,0.0006154156462907954
43,0.0011643574107245947,92,0.0006220169628730191
44,0.0011503635765661483,92,0.000620360226673343
45,0.0011380585826021624,92,0.0006166646718536571
46,0.0011227814214444455,91,0.0006126207519803866
47,0.0011201421816553199,90,0.0006148875010496072
48,0.001074632589910202,90,0.0005735157380305469
49,0.0010588123630476873,90,0.0005701449492444258
50,0.0010200423500275027,90,0.0005222113043914768
51,0.0009892756277561233,90,0.0005094839897360754
52,0.0009745085838114794,90,0.0004891357112512362
53,0.0009685994431874379,90,0.0004914322174071448
54,0.0009588706108910023,88,0.000488974058193057
55,0.0009495424519070244,88,0.0004908076104523512
56,0.0009296882213113082,86,0.00048357550973829376
57,0.0009161208324485638,86,0.0004701755316690248
58,0.0009025591278398161,85,0.00045795645331485346
59,0.0008958211758246463,85,0.0004581536734593464
60,0.0008792667658160155,84,0.0004541253658240754
61,0.000868573781641548,83,0.0004461201237943332
62,0.0008707251637122072,82,0.0004485718428863784
63,0.000862793053429364,82,0.00045105174910467174
64,0.0008622911423956973,82,0.00045148114263688564
65,0.0008597714629837978,81,0.00045436507240773874
66,0.0008380174909549665,80,0.0004308128393564155
67,0.0008129581591775662,79,0.00041107490741371235
68,0.0008128873498589182,79,0.00041112938239882976
69,0.0007935037193840006,78,0.00039712897054775236
70,0.0007867977188292807,78,0.00039458197611671493
71,0.000765703064701561,76,0.0003790725038479419
72,0.0007656294602782296,76,0.00037912904507698866
73,0.0007656294602782296,76,0.00037912904507698866
74,0.0007641641810602505,76,0.0003807001908560108
75,0.000760338165989654,76,0.0003844302685027975
76,0.0007529206344672028,75,0.0003853592172360853
77,0.0007479711878751969,74,0.00038571333326706156
78,0.0007478955941431267,74,0.0003857724568921783
79,0.0007563541663371303,73,0.00038100178223607735
80,0.0007546566904837243,73,0.00038189461562033165
81,0.0007535160899483023,73,0.00038156444239037914
82,0.0007488886708767717,72,0.0003859715799809042
83,0.000752244223407097,71,0.00038767493745357057
84,0.0007518221271759096,71,0.00038815763296874445
85,0.0007206210248334067,68,0.00036582658702982956
86,0.0007126237864540122,67,0.0003654542497799683
87,0.0007040141443124961,66,0.00036261671283460364
88,0.0007039293877038114,66,0.0003626848737666239
89,0.0007032327663175349,66,0.0003633838715057473
90,0.0006794574452152288,63,0.00035850515202494836
91,0.0006767068921130638,63,0.0003611623832803712
92,0.0006675733901712737,63,0.00035757194183030103
93,0.0006604898099572429,63,0.0003591575702785925
94,0.0006464807425732051,62,0.00034429947732073844
95,0.0006363799963428271,61,0.0003377674521438002
96,0.0006344459975199138,60,0.0003403745028664037
97,0.0006339989232337443,60,0.00034080852623124934
98,0.0006247610018294666,59,0.000344002279186308
99,0.0006093252993321275,58,0.0003382966864014876
100,0.0006069959267520411,58,0.0003395508454169303
101,0.0006063627532438268,57,0.00034253458801883243
102,0.0005998916423929335,55,0.00033949494593913277
103,0.0005906196004036118,53,0.00034396130748810317
104,0.0005777381240041355,51,0.0003456370345406734
105,0.0005557333726072247,48,0.0003396622956840723
106,0.0005557333726072247,48,0.0003396622956840723
107,0.0005556168322702833,48,0.0003397344907303166
108,0.0005605506082280945,47,0.00034166477842160185
109,0.0005599798750968142,47,0.00034216839049559875
110,0.0005571687702506655,46,0.0003457395040517033
111,0.0005563956665857202,46,0.00034645680614746327
112,0.0005561524519694947,46,0.0003466191133802972
113,0.0005561524519694947,46,0.0003466191133802972
114,0.000550750401350506,45,0.000348745197058852
115,0.0005369869576911037,44,0.0003405097047268397
116,0.0005144557002864132,43,0.0003138974441012083
117,0.0005141955172085906,43,0.0003140727690568484
118,0.0005099909920772416,43,0.00031689681632930233
119,0.0005023284171551164,42,0.00031996048266504833
120,0.0004999258137108605,40,0.0003266334524176814
121,0.0004997859653065308,40,0.0003267215211975703
122,0.0005109357721309102,39,0.0003231911103302828
123,0.0005057016934568094,39,0.00032275649223517894
124,0.0004977764608223545,39,0.0003239997270013869
125,0.0004977764608223545,39,0.0003239997270013869
126,0.0004929648590882532,39,0.00032724351086511183
127,0.0004929648590882532,39,0.00032724351086511183
128,0.0004928214248274022,39,0.0003273356285913935
129,0.0004922770524941461,39,0.0003278316926498329
130,0.0004889270094941715,38,0.0003315551129779825
131,0.0004482306081472011,36,0.0003100818842133175
132,0.0004482306081472011,36,0.0003100818842133175
133,0.0004444837165731976,35,0.0003161069596646177
134,0.0004444837165731976,35,0.0003161069596646177
135,0.00041945373527279265,33,0.0003074073777534914
136,0.00037413602997163835,31,0.00027348434280639807
137,0.00037413602997163835,31,0.00027348434280639807
138,0.00037395558041766454,31,0.0002735505699414387
139,0.00037395558041766454,31,0.0002735505699414387
140,0.00037395558041766454,31,0.0002735505699414387
141,0.0003571553289132958,30,0.00026145523585944597
142,0.0003571553289132958,30,0.00026145523585944597
143,0.0003488187429241328,29,0.00026450736061379
144,0.00033607240152690263,28,0.0002601332294754966
145,0.0003374954530301382,27,0.0002650011676732122
146,0.0003168498133663428,26,0.0002499804768494963
147,0.00030287490516815176,25,0.0002445499464749332
148,0.00030287490516815176,25,0.0002445499464749332
149,0.00030287490516815176,25,0.0002445499464749332
150,0.00029512975316371297,24,0.00024665764021503193
151,0.00029512975316371297,24,0.00024665764021503193
152,0.00029489667248983016,24,0.000246697560925371
153,0.00029489667248983016,24,0.000246697560925371
154,0.0002892169196726727,24,0.0002388525072877027
155,0.0002475984463832249,22,0.00018312944381724427
156,0.0002459819569019759,22,0.00018376394068030222
157,0.0002457276870759219,22,0.00018376759151807502
158,0.0002457276870759219,22,0.00018376759151807502
159,0.00024194296711747598,22,0.00018163713928083533
160,0.0002356828727152524,22,0.00018279712524471478
161,0.0002354286028891984,22,0.00018280209053181677
162,0.00023320251221607309,22,0.00018422387613723843
163,0.00023320251221607309,22,0.00018422387613723843
164,0.00023198321870833793,22,0.00018463475332373172
165,0.00023172894888228392,22,0.0001846504720598696
166,0.00023172894888228392,22,0.0001846504720598696
167,0.0002314746790562299,22,0.00018467389167747982
168,0.0002314746790562299,22,0.00018467389167747982
169,0.0002314746790562299,22,0.00018467389167747982
170,0.0002314746790562299,22,0.00018467389167747982
171,0.0002312204092301759,22,0.0001847050092472693
172,0.0002312204092301759,22,0.0001847050092472693
173,0.0002312204092301759,22,0.0001847050092472693
174,0.0002312204092301759,22,0.0001847050092472693
175,0.0002312204092301759,22,0.0001847050092472693
176,0.00023096613940412188,22,0.00018474382087939383
177,0.00023096613940412188,22,0.00018474382087939383
178,0.00023096613940412188,22,0.00018474382087939383
179,0.0002288762752452922,22,0.00018555975129292695
180,0.0002288762752452922,22,0.00018555975129292695
181,0.0002288762752452922,22,0.00018555975129292695
182,0.0002288762752452922,22,0.00018555975129292695
183,0.0002288762752452922,22,0.00018555975129292695
184,0.0002288762752452922,22,0.00018555975129292695
185,0.0002288762752452922,22,0.00018555975129292695
186,0.00022862200541923819,22,0.0001856030483667384
187,0.00023693309430106342,21,0.00018594435231568667
188,0.00023666671638805444,21,0.00018601023814065497
189,0.00023666671638805444,21,0.00018601023814065497
190,0.0002364003384750455,21,0.00018608410848396697
191,0.0002364003384750455,21,0.00018608410848396697
192,0.00023270177166968256,21,0.00018530417254170376
193,0.00023270177166968256,21,0.00018530417254170376
194,0.00023270177166968256,21,0.00018530417254170376
195,0.00022594424767992228,21,0.00017603033902582318
196,0.00022594424767992228,21,0.00017603033902582318
197,0.00022493327048958963,21,0.00017655684842056492
198,0.0002246668925765807,21,0.00017663380840306063
199,0.0002246668925765807,21,0.00017663380840306063
200,0.0002246668925765807,21,0.00017663380840306063
201,0.0002232398053187574,21,0.00017738800804160412
202,0.0002232398053187574,21,0.00017738800804160412
203,0.0002232398053187574,21,0.00017738800804160412
204,0.00019192091198231634,20,0.00010695877573188938
205,0.00019164121517365693,20,0.00010701702201949449
206,0.00018544542830872509,20,0.00010717959758674899
207,0.00018544542830872509,20,0.00010717959758674899
208,0.00018544542830872509,20,0.00010717959758674899
209,0.00018544542830872509,20,0.00010717959758674899
210,0.00018544542830872509,20,0.00010717959758674899
211,0.00018544542830872509,20,0.00010717959758674899
212,0.00018544542830872509,20,0.00010717959758674899
213,0.00018544542830872509,20,0.00010717959758674899
214,0.00018516573150006567,20,0.00010723530364740225
215,0.00018516573150006567,20,0.00010723530364740225
216,0.00018516573150006567,20,0.00010723530364740225
217,0.00018516573150006567,20,0.00010723530364740225
218,0.00018516573150006567,20,0.00010723530364740225
219,0.00018488603469140626,20,0.00010730556262391362
220,0.00018382450864155698,20,0.00010800707172823668
221,0.00018382450864155698,20,0.00010800707172823668
222,0.00018382450864155698,20,0.00010800707172823668
223,0.00018354481183289757,20,0.00010808841340810546
224,0.00018354481183289757,20,0.00010808841340810546
225,0.00018354481183289757,20,0.00010808841340810546
226,0.00018354481183289757,20,0.00010808841340810546
227,0.00018354481183289757,20,0.00010808841340810546
228,0.00018354481183289757,20,0.00010808841340810546
229,0.00018354481183289757,20,0.00010808841340810546
230,0.00018354481183289757,20,0.00010808841340810546
231,0.00018354481183289757,20,0.00010808841340810546
232,0.00017380529400455938,19,0.0001016346611610298
233,0.00017380529400455938,19,0.0001016346611610298
234,0.00017351087631123368,19,0.00010171235593988693
235,0.00017351087631123368,19,0.00010171235593988693
236,0.00017351087631123368,19,0.00010171235593988693
237,0.00017351087631123368,19,0.00010171235593988693
238,0.00017351087631123368,19,0.00010171235593988693
239,0.00017351087631123368,19,0.00010171235593988693
240,0.00016800987544658778,18,0.00010522938786362582
241,0.00016800987544658778,18,0.00010522938786362582
242,0.00016800987544658778,18,0.00010522938786362582
243,0.000167699101214744,18,0.00010530818792908376
244,0.000167699101214744,18,0.00010530818792908376
245,0.00016620786051854108,17,0.00010835311576228875
246,0.0001598761702051934,17,0.00010796285538830272
247,0.0001598761702051934,17,0.00010796285538830272
248,0.0001598761702051934,17,0.00010796285538830272
249,0.0001598761702051934,17,0.00010796285538830272
250,0.0001598761702051934,17,0.00010796285538830272
251,0.0001598761702051934,17,0.00010796285538830272
252,0.00015152864057078365,17,9.227863588267132e-05
253,0.00015152864057078365,17,9.227863588267132e-05
254,0.00015152864057078365,17,9.227863588267132e-05
255,0.0001532269806856847,16,9.530089249518969e-05
256,0.0001532269806856847,16,9.530089249518969e-05
257,0.0001532269806856847,16,9.530089249518969e-05
258,0.0001501661060101374,16,9.794451375003604e-05
259,0.00014981648499931313,16,9.801505678325937e-05
260,0.00014981648499931313,16,9.801505678325937e-05
261,0.00014981648499931313,16,9.801505678325937e-05
262,0.00014981648499931313,16,9.801505678325937e-05
263,0.00014981648499931313,16,9.801505678325937e-05
264,0.00014981648499931313,16,9.801505678325937e-05
265,0.00014981648499931313,16,9.801505678325937e-05
266,0.00015375244722850965,15,0.00010013784737003595
267,0.00015375244722850965,15,0.00010013784737003595
268,0.00015375244722850965,15,0.00010013784737003595
269,0.00015375244722850965,15,0.00010013784737003595
270,0.0001533795181502971,15,0.0001002483237436641
271,0.0001533795181502971,15,0.0001002483237436641
272,0.0001533795181502971,15,0.0001002483237436641
273,0.0001533795181502971,15,0.0001002483237436641
274,0.0001533795181502971,15,0.0001002483237436641
275,0.0001533795181502971,15,0.0001002483237436641
276,0.0001533795181502971,15,0.0001002483237436641
277,0.0001533795181502971,15,0.0001002483237436641
278,0.0001533795181502971,15,0.0001002483237436641
279,0.00015300658907208456,15,0.00010037946320759868
280,0.00015971233714827347,14,0.00010062169472792778
281,0.00015971233714827347,14,0.00010062169472792778
282,0.00016018720341392804,13,0.00010471405119752596
283,0.00016018720341392804,13,0.00010471405119752596
284,0.00016018720341392804,13,0.00010471405119752596
285,0.00016018720341392804,13,0.00010471405119752596
286,0.00016018720341392804,13,0.00010471405119752596
287,0.00016788488697524288,12,0.00010545861505978013
288,0.00016788488697524288,12,0.00010545861505978013
289,0.00016788488697524288,12,0.00010545861505978013
290,0.00016788488697524288,12,0.00010545861505978013
291,0.00015504859735992408,11,0.00010135618122240119
292,0.00015504859735992408,11,0.00010135618122240119
293,0.00015504859735992408,11,0.00010135618122240119
294,0.00015504859735992408,11,0.00010135618122240119
295,0.00015504859735992408,11,0.00010135618122240119
296,0.00015504859735992408,11,0.00010135618122240119
297,0.00015504859735992408,11,0.00010135618122240119
298,0.00015504859735992408,11,0.00010135618122240119
299,0.00015504859735992408,11,0.00010135618122240119
300,0.00015504859735992408,11,0.00010135618122240119
301,0.00015504859735992408,11,0.00010135618122240119
302,0.00015504859735992408,11,0.00010135618122240119
303,0.00013048935453181392,10,6.35815747314455e-05
304,0.0001235163490572224,9,6.414615006700486e-05
305,0.0001235163490572224,9,6.414615006700486e-05
306,0.0001235163490572224,9,6.414615006700486e-05
307,0.0001235163490572224,9,6.414615006700486e-05
308,0.0001235163490572224,9,6.414615006700486e-05
309,0.0001235163490572224,9,6.414615006700486e-05
310,0.0001235163490572224,9,6.414615006700486e-05
311,0.0001235163490572224,9,6.414615006700486e-05
312,0.00012115740227977958,9,6.610336092996427e-05
313,0.00012115740227977958,9,6.610336092996427e-05
314,0.00012115740227977958,9,6.610336092996427e-05
315,0.00012115740227977958,9,6.610336092996427e-05
316,0.00012115740227977958,9,6.610336092996427e-05
317,0.00012053585381609198,9,6.628672826000721e-05
318,0.00012053585381609198,9,6.628672826000721e-05
319,0.00012053585381609198,9,6.628672826000721e-05
320,0.00012053585381609198,9,6.628672826000721e-05
321,0.00012053585381609198,9,6.628672826000721e-05
322,0.00012053585381609198,9,6.628672826000721e-05
323,0.00012053585381609198,9,6.628672826000721e-05
324,0.00011720598354783764,9,6.872557152160901e-05
325,0.00011720598354783764,9,6.872557152160901e-05
326,0.00011720598354783764,9,6.872557152160901e-05
327,0.00011720598354783764,9,6.872557152160901e-05
328,0.00011720598354783764,9,6.872557152160901e-05
329,0.00011658443508415006,9,6.891862761679986e-05
330,0.00011658443508415006,9,6.891862761679986e-05
331,0.00011658443508415006,9,6.891862761679986e-05
332,0.00011658443508415006,9,6.891862761679986e-05
333,0.00011658443508415006,9,6.891862761679986e-05
334,0.00011658443508415006,9,6.891862761679986e-05
335,0.00011658443508415006,9,6.891862761679986e-05
336,0.00011658443508415006,9,6.891862761679986e-05
337,0.00011658443508415006,9,6.891862761679986e-05
338,0.00011658443508415006,9,6.891862761679986e-05
339,0.00011658443508415006,9,6.891862761679986e-05
340,0.00011658443508415006,9,6.891862761679986e-05
341,0.00011658443508415006,9,6.891862761679986e-05
342,0.00011658443508415006,9,6.891862761679986e-05
343,0.00011658443508415006,9,6.891862761679986e-05
344,0.00011658443508415006,9,6.891862761679986e-05
345,0.00011658443508415006,9,6.891862761679986e-05
346,0.00011658443508415006,9,6.891862761679986e-05
347,0.00011658443508415006,9,6.891862761679986e-05
348,0.00011596288662046246,9,6.916143498412452e-05
349,0.00011596288662046246,9,6.916143498412452e-05
350,0.00011596288662046246,9,6.916143498412452e-05
351,0.00011596288662046246,9,6.916143498412452e-05
352,0.00011596288662046246,9,6.916143498412452e-05
353,0.00011596288662046246,9,6.916143498412452e-05
354,0.00011596288662046246,9,6.916143498412452e-05
355,0.00011596288662046246,9,6.916143498412452e-05
356,0.00011596288662046246,9,6.916143498412452e-05
357,0.00011596288662046246,9,6.916143498412452e-05
358,0.00011596288662046246,9,6.916143498412452e-05
359,0.00011596288662046246,9,6.916143498412452e-05
360,0.00011596288662046246,9,6.916143498412452e-05
361,0.00011596288662046246,9,6.916143498412452e-05
362,0.00011596288662046246,9,6.916143498412452e-05
363,0.00011596288662046246,9,6.916143498412452e-05
364,0.00011596288662046246,9,6.916143498412452e-05
365,0.00011596288662046246,9,6.916143498412452e-05
366,0.00011596288662046246,9,6.916143498412452e-05
367,0.00011596288662046246,9,6.916143498412452e-05
368,0.00011596288662046246,9,6.916143498412452e-05
369,0.00011534133815677489,9,6.945347183843485e-05
370,0.00011534133815677489,9,6.945347183843485e-05
371,0.00011534133815677489,9,6.945347183843485e-05
372,0.0001067113489442614,9,6.868337425876275e-05
373,0.0001067113489442614,9,6.868337425876275e-05
374,0.00010160279211156663,9,7.156749619805194e-05
375,0.00010160279211156663,9,7.156749619805194e-05
376,0.00010160279211156663,9,7.156749619805194e-05
377,0.00010160279211156663,9,7.156749619805194e-05
378,0.00010160279211156663,9,7.156749619805194e-05
379,0.00010160279211156663,9,7.156749619805194e-05
380,0.00010160279211156663,9,7.156749619805194e-05
381,0.00010160279211156663,9,7.156749619805194e-05
382,0.00010160279211156663,9,7.156749619805194e-05
383,0.00010160279211156663,9,7.156749619805194e-05
384,0.00010160279211156663,9,7.156749619805194e-05
385,0.00010160279211156663,9,7.156749619805194e-05
386,0.00010160279211156663,9,7.156749619805194e-05
387,0.00010160279211156663,9,7.156749619805194e-05
