rank,verb,frequency
1,be,37282
2,go,9890
3,do,5265
4,want,3964
5,get,3906
6,have,3435
7,see,3314
8,wanna,3248
9,say,2940
10,put,2779
11,know,2448
12,like,1925
13,think,1757
14,come,1249
15,look,1211
16,play,1096
17,make,1007
18,take,937
19,eat,789
20,sit,666
21,turn,607
22,find,605
23,need,563
24,read,561
25,try,538
26,give,509
27,tell,447
28,hear,442
29,fall,426
30,throw,417
31,open,365
32,talk,355
33,love,335
34,help,330
35,happen,316
36,hold,289
37,push,284
38,show,249
39,draw,244
40,mean,239
41,leave,237
42,walk,228
43,let,226
44,pick,225
45,fix,224
46,bring,223
47,feel,221
48,call,213
49,stay,210
50,fit,205
51,sing,205
52,move,204
53,work,200
54,pull,197
55,build,196
56,close,194
57,can,194
58,hurt,192
59,needta,188
60,remember,188
61,drink,183
62,use,182
63,cry,182
64,keep,175
65,stop,168
66,write,168
67,run,159
68,touch,158
69,stand,158
70,wear,144
71,break,143
72,roll,139
73,finish,135
74,wash,133
75,blow,131
76,sleep,128
77,guess,125
78,jump,119
79,miss,117
80,rid,115
81,smell,111
82,sound,109
83,catch,106
84,will,105
85,drop,105
86,hafta,103
87,ride,102
88,start,101
89,bite,101
90,wipe,99
91,climb,95
92,change,95
93,bounce,94
94,live,92
95,watch,90
96,bet,89
97,feed,88
98,hit,88
99,dance,87
100,stick,86
