rank,verb,frequency
1,be,178765
2,go,47102
3,do,33368
4,have,21750
5,get,20419
6,know,18488
7,see,16913
8,think,15398
9,want,14746
10,say,12875
11,wanna,12623
12,put,11016
13,like,9697
14,look,8070
15,come,7336
16,make,7261
17,eat,6513
18,take,5329
19,play,5180
20,tell,4414
21,happen,4214
22,need,3424
23,give,3295
24,find,3089
25,sit,2713
26,try,2647
27,read,2600
28,fall,2496
29,remember,2355
30,mean,2228
31,talk,2116
32,turn,2046
33,hear,1980
34,help,1827
35,use,1635
36,bring,1614
37,show,1555
38,can,1503
39,call,1501
40,hold,1479
41,work,1417
42,love,1339
43,feel,1313
44,leave,1280
45,hurt,1260
46,open,1250
47,throw,1191
48,run,1180
49,let,1177
50,stay,1145
51,start,1139
52,walk,1127
53,ask,1113
54,pick,1106
55,write,1094
56,wear,1071
57,fix,1057
58,guess,1054
59,build,1042
60,fit,1020
61,drink,1009
62,buy,1003
63,draw,1002
64,finish,980
65,live,979
66,keep,970
67,break,969
68,sleep,950
69,move,902
70,sing,898
71,cry,878
72,fly,878
73,stand,869
74,watch,860
75,push,847
76,needta,834
77,wait,797
78,drive,792
79,jump,771
80,will,753
81,pull,744
82,hafta,731
83,cut,723
84,stop,685
85,bet,678
86,catch,668
87,miss,661
88,stick,654
89,wash,645
90,sound,588
91,hit,588
92,forget,577
93,close,566
94,blow,557
95,ride,512
96,taste,499
97,drop,497
98,wonder,493
99,learn,477
100,pretend,462
