rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3407927413918101,0.3453915826535817,2.1149340950973228e-05,100
2,0.14918679452190464,0.1299748890931162,0.00036909731020471113,100
3,0.08721844972211218,0.07337882957014165,0.0001915350859508288,100
4,0.04991993422056512,0.04891106976313186,1.0178074934721122e-06,100
5,0.034485143066883966,0.03570787808294689,1.4950809195064e-06,100
6,0.02596039770744095,0.0276133111348217,2.732122798415582e-06,99
7,0.018906114900786884,0.02221894904519631,1.0974870068364934e-05,98
8,0.013220518686235793,0.018405807168337514,2.688721664261677e-05,98
9,0.010110238117182263,0.015589414738240317,3.0021376444749158e-05,98
10,0.00811212112750724,0.01343729183532669,2.8357443067418298e-05,98
11,0.006606745874492834,0.011747570590051859,2.642807875610253e-05,98
12,0.005685681384262806,0.010391211692735046,2.2142015483950848e-05,98
13,0.004872086015329972,0.009282214980341015,1.9449237488029377e-05,98
14,0.004334153458005543,0.008361250195293497,1.621750813147529e-05,97
15,0.004039363751786617,0.007586178794600063,1.2579896947927743e-05,96
16,0.003674011949451101,0.00692632034340384,1.0577509889375443e-05,96
17,0.0034589453333785125,0.006358852779156421,8.409463194078152e-06,96
18,0.003307084966954896,0.0058664789571946,6.5504975972751145e-06,95
19,0.0032159904161313314,0.005435871378430646,4.927871486778932e-06,95
20,0.0030579508457145733,0.0050566099572847,3.99463824426229e-06,91
21,0.002856603131612605,0.004720440673999773,3.4738903844118377e-06,91
22,0.0028109531980957682,0.004420748105164369,2.5914396428240046e-06,89
23,0.0027087843429416817,0.004152173578990028,2.083372486740229e-06,87
24,0.002600574414899595,0.003910334400537321,1.7154712199777354e-06,85
25,0.0025027936334421916,0.0036916144492885393,1.4132949321895756e-06,83
26,0.0024178316978836645,0.00349300597698215,1.1559997304349481e-06,81
27,0.0023774358459167006,0.0033119886662754143,8.733889740404261e-07,79
28,0.0023116457404832084,0.003146436165188923,6.968750531803477e-07,79
29,0.0022825586020190267,0.0029945431287814756,5.069219663491483e-07,78
30,0.002183610400653298,0.00285476773896264,4.5045217276648033e-07,75
31,0.0020540746878059788,0.002725786028210954,4.511961248286485e-07,73
32,0.002065033268122557,0.0026064552921089353,2.9313780805750626e-07,70
33,0.0020280607390477192,0.0024957845630395954,2.1876557552958362e-07,68
34,0.0020222726925021093,0.0023929106157727577,1.37372470166379e-07,65
35,0.001977346668121403,0.0022970783408836834,1.0222834256736604e-07,61
36,0.0019597367410748635,0.0022076245922681608,6.14483867692303e-08,59
37,0.0019109694983246012,0.002123964816989497,4.53670057731606e-08,56
38,0.0018823734138334704,0.0020455819279319117,2.6637019074221115e-08,55
39,0.0018304919581831477,0.001972016995443117,2.0029336171435665e-08,54
40,0.001711795757412219,0.001902861422782303,3.650608848331289e-08,51
41,0.0016582407275385503,0.001837750338586789,3.222370045868994e-08,50
42,0.0016191392087792666,0.0017763569927212665,2.4717431587633373e-08,47
43,0.0015469004107817683,0.0017183879834506254,2.9407987579856548e-08,44
44,0.0014939921675353885,0.0016635791766055768,2.875975364537213e-08,43
45,0.0014442598035346985,0.0016116922033270866,2.803360850023809e-08,41
46,0.0013616730539561983,0.0015625114436152278,4.033605876083217e-08,39
47,0.0013884683806098606,0.0015158414194340547,1.622389101930967e-08,38
48,0.0013823084199634295,0.0014715045344246024,7.955946834970657e-09,38
49,0.0013763683961805601,0.0014293391080354705,2.8058963144159412e-09,38
50,0.0013653467764525142,0.0013891976606218183,5.688646756575626e-10,38
51,0.001318693765632148,0.0013509454131988294,1.0401687707654221e-09,37
52,0.0012861208493101948,0.0013144589713849502,8.030491627237393e-10,36
53,0.0012504985387435544,0.001279625167885122,8.483605251504147e-10,35
54,0.0012067228339295599,0.001246340041843347,1.5695231628842382e-09,34
55,0.001172813026397081,0.0012145079366948906,1.7384655447423953e-09,33
56,0.0011527598010543252,0.001184040700896795,9.78494694954621e-10,32
57,0.0011021567917519825,0.001154856978211704,2.7773096528894135e-09,30
58,0.001046248551043685,0.0011268815761451194,6.501684737008563e-09,29
59,0.0009848227766166156,0.0011000449027553942,1.32761383519406e-08,28
60,0.0009782110519480271,0.0010742824634218905,9.229716102580356e-09,28
61,0.0009328918854468781,0.0010495344103128507,1.3605478607109049e-08,26
62,0.0008600801182062326,0.001025745138275768,2.7444898874639567e-08,25
63,0.0008600801182062326,0.0010028629217082108,2.0386928975884522e-08,25
64,0.0008433272562196031,0.0009808395876798348,1.8909641303628618e-08,25
65,0.0008267483175488855,0.0009596302211862345,1.7657600314285715e-08,25
66,0.0008267483175488855,0.000939192898938526,1.2643783883891484e-08,25
67,0.0008211761760683067,0.0009194884485425304,9.665302919045996e-09,25
68,0.0008211761760683067,0.0009004802303093398,6.2891330190647184e-09,25
69,0.0007858208792217891,0.0008821339392741997,9.276205536659236e-09,25
70,0.000781322676948772,0.000864417425290894,6.90473720204059e-09,25
71,0.0007405323655905339,0.000847300529320705,1.1399440786312637e-08,24
72,0.0007275714449129111,0.0008307549342540836,1.0646832472619854e-08,24
73,0.000729385587645838,0.0008147540287940749,7.28777074407999e-09,23
74,0.0007558410287517389,0.0007992727830972461,1.8863172855284836e-09,22
75,0.0007311754845395332,0.0007842876350136987,2.8209005279903963e-09,22
