verb,subject,frequency,rank,total,proportion
go,you,3113,1,9073,0.3431059186597597
go,we,1541,2,9073,0.16984459384988426
go,i,1126,3,9073,0.12410448583709908
go,it,726,4,9073,0.08001763474043866
go,he,469,5,9073,0.051691832910834346
go,mommy,185,6,9073,0.020390168632205444
go,that,178,7,9073,0.01961864873801389
go,they,169,8,9073,0.01862669458833903
go,she,161,9,9073,0.01774495756640582
go,daddy,142,10,9073,0.01565083213931445
go,one,128,11,9073,0.014107792350931335
go,this,78,12,9073,0.008596935963848782
go,who,39,13,9073,0.004298467981924391
go,car,36,14,9073,0.003967816598699438
go,piggy,29,15,9073,0.0031962967045078804
go,ball,28,16,9073,0.0030860795767662296
go,bunny,24,17,9073,0.0026452110657996255
go,what,23,18,9073,0.0025349939380579743
go,man,19,19,9073,0.00209412542709137
go,wheel,18,20,9073,0.001983908299349719
go,pop,18,21,9073,0.001983908299349719
go,mama,17,22,9073,0.0018736911716080678
go,baby,15,23,9073,0.0016532569161247658
go,cow,13,24,9073,0.0014328226606414637
go,kitty,13,25,9073,0.0014328226606414637
go,spider,12,26,9073,0.0013226055328998127
go,person,11,27,9073,0.0012123884051581616
go,dog,11,28,9073,0.0012123884051581616
go,fta,11,29,9073,0.0012123884051581616
go,lady,10,30,9073,0.0011021712774165104
go,eve,10,31,9073,0.0011021712774165104
go,laura,9,32,9073,0.0009919541496748595
go,dinosaur,8,33,9073,0.0008817370219332085
go,bird,8,34,9073,0.0008817370219332085
go,doggie,7,35,9073,0.0007715198941915574
go,truck,7,36,9073,0.0007715198941915574
go,train,7,37,9073,0.0007715198941915574
go,bear,7,38,9073,0.0007715198941915574
go,something,7,39,9073,0.0007715198941915574
go,ernie,7,40,9073,0.0007715198941915574
go,money,7,41,9073,0.0007715198941915574
go,hand,7,42,9073,0.0007715198941915574
go,rachel,7,43,9073,0.0007715198941915574
go,block,6,44,9073,0.0006613027664499064
go,thing,6,45,9073,0.0006613027664499064
go,hat,6,46,9073,0.0006613027664499064
go,timmy,6,47,9073,0.0006613027664499064
go,guy,6,48,9073,0.0006613027664499064
go,papa,6,49,9073,0.0006613027664499064
go,fraser,6,50,9073,0.0006613027664499064
go,piggie,6,51,9073,0.0006613027664499064
go,michael,5,52,9073,0.0005510856387082552
go,cat,5,53,9073,0.0005510856387082552
go,airplane,5,54,9073,0.0005510856387082552
go,horse,5,55,9073,0.0005510856387082552
go,water,5,56,9073,0.0005510856387082552
