rank,verb,frequency
1,go,45102
2,do,30274
3,want,27844
4,have,21922
5,be,21570
6,get,19952
7,know,18368
8,think,15296
9,say,12237
10,see,11796
11,like,10775
12,put,9008
13,look,7065
14,come,6808
15,make,6786
16,eat,6283
17,take,4739
18,play,4337
19,tell,4147
20,need,3459
21,give,3112
22,happen,3003
23,find,2903
24,fall,2340
25,sit,2326
26,remember,2298
27,mean,2169
28,try,2135
29,talk,1911
30,hear,1867
31,read,1837
32,turn,1682
33,can,1648
34,use,1577
35,bring,1517
36,help,1487
37,love,1377
38,work,1369
39,call,1325
40,hold,1293
41,hurt,1227
42,show,1217
43,feel,1149
44,stay,1146
45,leave,1106
46,run,1095
47,throw,1089
48,ask,1083
49,guess,1045
50,open,1033
51,start,1029
52,wear,1019
53,live,1018
54,fit,1013
55,walk,1012
56,write,1006
57,let,988
58,buy,981
59,pick,969
60,drink,958
61,keep,930
62,fix,913
63,break,881
64,build,872
65,draw,867
66,sleep,856
67,fly,818
68,cry,805
69,watch,803
70,sing,802
71,will,799
72,forget,765
73,wait,753
74,drive,748
75,push,748
76,ride,740
77,finish,728
78,stand,727
79,move,706
80,jump,700
81,bet,677
82,pull,630
83,miss,628
84,catch,603
85,stop,593
86,sound,568
87,hit,562
88,stick,541
89,cut,538
90,blow,529
91,wash,524
92,wonder,497
93,drop,483
94,learn,469
95,lose,468
96,hide,466
97,taste,465
98,close,458
99,bite,437
100,pretend,417
