collection,corpus,transcript,original_transcript_id,status,unique_matching_utterances,runner_up_matches,total_matching_utterances,original_target_child,original_age_months,original_n_utterances,chat_target_child,chat_age_months,original_id_used_by_multiple_current_transcripts,original_age_raw,original_metadata_join,current_age_raw,current_age_status,parse_status,current_metadata_join,current_age_months,original_age_usable,current_age_usable,age_combination,absolute_age_difference_months,age_conflict_gt_0_1_month
Clinical-Eng,Rescorla,Rescorla/LT/36/mol36.cha,32868,high_confidence_text_match,6,0,6,NA,60.0012320581531,242,,,False,60.0012320581531,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Bernstein,Bernstein/Children/Kay/010400.cha,3737,high_confidence_text_match,37,0,37,NA,16.0003285488408,392,,,False,16.0003285488408,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Demetras2,Demetras2/Jimmy/father/020922.cha,8241,high_confidence_text_match,13,0,13,Jimmy,33.7234850818292,224,,,False,33.7234850818292,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Feldman,Feldman/010306.cha,7111,high_confidence_text_match,12,0,12,Steven,14.3288363210744,1062,,,True,14.3288363210744,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Feldman,Feldman/011100.cha,7157,high_confidence_text_match,7,0,7,Steven,23.0004722889587,883,,,False,23.0004722889587,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Feldman,Feldman/020123.cha,7164,high_confidence_text_match,23,0,23,Steven,25.7561756914926,1601,,,False,25.7561756914926,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Feldman,Feldman/020220.cha,7159,high_confidence_text_match,6,0,6,Steven,26.6576315735436,295,,,False,26.6576315735436,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Feldman,Feldman/020311.cha,7166,high_confidence_text_match,16,0,16,Steven,27.3619581510914,626,,,False,27.3619581510914,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Feldman,Feldman/020326.cha,7170,high_confidence_text_match,5,0,5,Steven,27.8547814123493,399,,,False,27.8547814123493,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/BR/chaact1.cha,5051,high_confidence_text_match,13,1,16,NA,46.6251873755108,200,,,True,46.6251873755108,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/BR/sambr1.cha,5036,high_confidence_text_match,6,0,6,NA,48.4609540236966,197,,,True,48.4609540236966,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/BR/seaact1.cha,5051,high_confidence_text_match,13,1,15,NA,46.6251873755108,200,,,True,46.6251873755108,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/BR/shabr1.cha,5107,high_confidence_text_match,7,1,8,NA,48.9537772849545,199,,,True,48.9537772849545,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/MT/josmt1.cha,5256,high_confidence_text_match,7,0,7,NA,48.9866321690384,139,,,True,48.9866321690384,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/TP/cal_jaktp1.cha,5314,high_confidence_text_match,5,0,5,Connor,51.4281607425204,289,,,True,51.4281607425204,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/TP/samtp1.cha,5297,high_confidence_text_match,5,0,5,NA,50.4938499763856,265,,,True,50.4938499763856,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV1/TP/tamtp1.cha,5283,high_confidence_text_match,14,0,14,NA,48.2309698351095,626,,,True,48.2309698351095,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV2/MT/brimt2.cha,5588,high_confidence_text_match,5,0,5,NA,66.822727366065,169,,,True,66.822727366065,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV3/MT/maymt3pt2.cha,5856,high_confidence_text_match,6,1,7,NA,69.2971108236309,277,,,True,69.2971108236309,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV7/MT/jammt7.cha,6297,high_confidence_text_match,8,0,8,NA,123.889607589478,257,,,True,123.889607589478,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,HSLLD,HSLLD/HV7/MT/tammt7.cha,6350,high_confidence_text_match,7,0,7,NA,113.068030144356,271,,,True,113.068030144356,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/anc.cha,4127,high_confidence_text_match,30,0,30,Tony,57.0011704552455,2276,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/bom.cha,4129,high_confidence_text_match,57,0,57,Bobby,57.0011704552455,2894,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/brd.cha,4133,high_confidence_text_match,18,0,18,Brett,57.0011704552455,4696,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/chj.cha,4136,high_confidence_text_match,18,2,20,Chris,57.0011704552455,4802,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/ded.cha,4128,high_confidence_text_match,10,0,10,Dexter,57.0011704552455,2909,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/jaf.cha,4130,high_confidence_text_match,38,0,38,Jason,57.0011704552455,3574,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/kif.cha,4137,high_confidence_text_match,56,0,56,Kip,57.0011704552455,4504,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/mim.cha,4142,high_confidence_text_match,19,1,21,Mia,57.0011704552455,5304,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/ref.cha,4134,high_confidence_text_match,24,0,24,Remi,57.0011704552455,4015,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/trh.cha,4141,high_confidence_text_match,26,0,26,Tracy,57.0011704552455,4257,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackPro/voh.cha,4131,high_confidence_text_match,19,0,19,Von,57.0011704552455,2194,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/anl.cha,4138,high_confidence_text_match,7,0,7,Anthony,57.0011704552455,4127,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/kig.cha,4140,high_confidence_text_match,37,0,37,Keisha,57.0011704552455,3509,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
