original_transcript_id,n_current_transcripts,current_transcripts
10632,2,NewmanRatner/24/5585ME.cha;NewmanRatner/Interviews/24/5585ME.cha
10699,2,NewmanRatner/07/4273WC.cha;NewmanRatner/Interviews/07/4273WC.cha
10700,2,NewmanRatner/07/4269LP.cha;NewmanRatner/Interviews/07/4269LP.cha
10702,2,NewmanRatner/07/4592HVG.cha;NewmanRatner/Interviews/07/4592HVG.cha
10703,2,NewmanRatner/07/4452CM.cha;NewmanRatner/Interviews/07/4452CM.cha
10704,2,NewmanRatner/07/4619WZ.cha;NewmanRatner/Interviews/07/4619WZ.cha
10705,2,NewmanRatner/07/4629AB.cha;NewmanRatner/Interviews/07/4629AB.cha
10706,2,NewmanRatner/07/4641CC.cha;NewmanRatner/Interviews/07/4641CC.cha
10707,2,NewmanRatner/07/4650KS.cha;NewmanRatner/Interviews/07/4650KS.cha
10708,2,NewmanRatner/07/4664AM.cha;NewmanRatner/Interviews/07/4664AM.cha
10709,2,NewmanRatner/07/4687NH.cha;NewmanRatner/Interviews/07/4687NH.cha
10710,2,NewmanRatner/07/4697JK.cha;NewmanRatner/Interviews/07/4697JK.cha
10711,2,NewmanRatner/07/4708IB.cha;NewmanRatner/Interviews/07/4708IB.cha
10712,2,NewmanRatner/07/4724LM.cha;NewmanRatner/Interviews/07/4724LM.cha
10713,2,NewmanRatner/07/4731SA.cha;NewmanRatner/Interviews/07/4731SA.cha
10714,2,NewmanRatner/07/4734ES.cha;NewmanRatner/Interviews/07/4734ES.cha
10715,2,NewmanRatner/07/4743NA.cha;NewmanRatner/Interviews/07/4743NA.cha
10716,2,NewmanRatner/07/4801RB.cha;NewmanRatner/Interviews/07/4801RB.cha
10717,2,NewmanRatner/07/4767JC.cha;NewmanRatner/Interviews/07/4767JC.cha
10719,2,NewmanRatner/07/4814BS.cha;NewmanRatner/Interviews/07/4814BS.cha
10720,2,NewmanRatner/07/4825GG.cha;NewmanRatner/Interviews/07/4825GG.cha
10721,2,NewmanRatner/07/4802JP.cha;NewmanRatner/Interviews/07/4802JP.cha
10722,2,NewmanRatner/07/4858CM.cha;NewmanRatner/Interviews/07/4858CM.cha
10723,2,NewmanRatner/07/4903LS.cha;NewmanRatner/Interviews/07/4903LS.cha
10724,2,NewmanRatner/07/4866AC.cha;NewmanRatner/Interviews/07/4866AC.cha
10725,2,NewmanRatner/07/4929MM.cha;NewmanRatner/Interviews/07/4929MM.cha
10726,2,NewmanRatner/07/4946RC.cha;NewmanRatner/Interviews/07/4946RC.cha
10727,2,NewmanRatner/07/5039MB.cha;NewmanRatner/Interviews/07/5039MB.cha
10728,2,NewmanRatner/07/4997LM.cha;NewmanRatner/Interviews/07/4997LM.cha
10729,2,NewmanRatner/07/5013LA.cha;NewmanRatner/Interviews/07/5013LA.cha
10730,2,NewmanRatner/07/5057MS.cha;NewmanRatner/Interviews/07/5057MS.cha
10731,2,NewmanRatner/07/5066WT.cha;NewmanRatner/Interviews/07/5066WT.cha
10733,2,NewmanRatner/07/5111CG.cha;NewmanRatner/Interviews/07/5111CG.cha
10734,2,NewmanRatner/07/5118PM.cha;NewmanRatner/Interviews/07/5118PM.cha
10735,2,NewmanRatner/07/5193HB.cha;NewmanRatner/Interviews/07/5193HB.cha
10737,2,NewmanRatner/07/5224EZS.cha;NewmanRatner/Interviews/07/5224EZS.cha
10738,2,NewmanRatner/07/5244RE.cha;NewmanRatner/Interviews/07/5244RE.cha
10739,2,NewmanRatner/07/5266EC.cha;NewmanRatner/Interviews/07/5266EC.cha
10740,2,NewmanRatner/07/5244SE.cha;NewmanRatner/Interviews/07/5244SE.cha
10742,2,NewmanRatner/07/5346GG.cha;NewmanRatner/Interviews/07/5346GG.cha
10743,2,NewmanRatner/07/5365DL.cha;NewmanRatner/Interviews/07/5365DL.cha
10744,2,NewmanRatner/07/5440JJ.cha;NewmanRatner/Interviews/07/5440JJ.cha
10745,2,NewmanRatner/07/5449NG.cha;NewmanRatner/Interviews/07/5449NG.cha
10746,2,NewmanRatner/07/5443AO.cha;NewmanRatner/Interviews/07/5443AO.cha
10747,2,NewmanRatner/07/5474ES.cha;NewmanRatner/Interviews/07/5474ES.cha
10749,2,NewmanRatner/07/5540LD.cha;NewmanRatner/Interviews/07/5540LD.cha
10750,2,NewmanRatner/07/5543EF.cha;NewmanRatner/Interviews/07/5543EF.cha
10751,2,NewmanRatner/07/5550VS.cha;NewmanRatner/Interviews/07/5550VS.cha
10752,2,NewmanRatner/07/5563DB.cha;NewmanRatner/Interviews/07/5563DB.cha
10753,2,NewmanRatner/07/5561AC.cha;NewmanRatner/Interviews/07/5561AC.cha
10754,2,NewmanRatner/07/5571FW.cha;NewmanRatner/Interviews/07/5571FW.cha
10756,2,NewmanRatner/07/5573IH.cha;NewmanRatner/Interviews/07/5573IH.cha
10757,2,NewmanRatner/07/5593SH.cha;NewmanRatner/Interviews/07/5593SH.cha
10758,2,NewmanRatner/07/5609DW.cha;NewmanRatner/Interviews/07/5609DW.cha
10761,2,NewmanRatner/07/5694MC.cha;NewmanRatner/Interviews/07/5694MC.cha
10762,2,NewmanRatner/07/5630WS.cha;NewmanRatner/Interviews/07/5630WS.cha
10763,2,NewmanRatner/07/5707RT.cha;NewmanRatner/Interviews/07/5707RT.cha
10765,2,NewmanRatner/07/5777FC.cha;NewmanRatner/Interviews/07/5777FC.cha
10766,2,NewmanRatner/07/5794ES.cha;NewmanRatner/Interviews/07/5794ES.cha
10767,2,NewmanRatner/07/5820CP.cha;NewmanRatner/Interviews/07/5820CP.cha
10768,2,NewmanRatner/07/5837AK.cha;NewmanRatner/Interviews/07/5837AK.cha
10769,2,NewmanRatner/07/5837JK.cha;NewmanRatner/Interviews/07/5837JK.cha
10770,2,NewmanRatner/07/5859ME.cha;NewmanRatner/Interviews/07/5859ME.cha
10771,2,NewmanRatner/07/5878SC.cha;NewmanRatner/Interviews/07/5878SC.cha
10772,2,NewmanRatner/07/5903AE.cha;NewmanRatner/Interviews/07/5903AE.cha
10773,2,NewmanRatner/07/5928RL.cha;NewmanRatner/Interviews/07/5928RL.cha
10774,2,NewmanRatner/07/5929LD.cha;NewmanRatner/Interviews/07/5929LD.cha
10775,2,NewmanRatner/07/5923MW.cha;NewmanRatner/Interviews/07/5923MW.cha
10776,2,NewmanRatner/07/5936SR.cha;NewmanRatner/Interviews/07/5936SR.cha
