original_corpus,n_utterances_total,n_utterances_age_usable,n_utterances_age_le_96,n_utterances_age_gt_96,n_utterances_age_missing_or_invalid,exact_archive_ids,leaf_archive_ids,mapping_status,candidate_archive_count,candidate_archive_ids,represented_in_current_manifest,mapping_ambiguous
Avram,12294,12294,12294,0,0,,,not_represented,0,,False,False
Bates,8775,8775,8775,0,0,Eng-NA/Bates.zip,Eng-NA/Bates.zip,exact_source_corpus_match,1,Eng-NA/Bates.zip,True,False
Beijing,3465,3386,3386,0,79,,,not_represented,0,,False,False
Belfast,82227,81350,81350,0,877,Eng-UK/Belfast.zip,Eng-UK/Belfast.zip,exact_source_corpus_match,1,Eng-UK/Belfast.zip,True,False
BermanLong,16853,16853,16853,0,0,,,not_represented,0,,False,False
Bernstein,12522,10832,10832,0,1690,Eng-NA/Bernstein.zip,Eng-NA/Bernstein.zip,exact_source_corpus_match,1,Eng-NA/Bernstein.zip,True,False
Bliss,2027,2027,1759,268,0,Clinical-Eng/Bliss.zip;Eng-NA/Bliss.zip,Clinical-Eng/Bliss.zip;Eng-NA/Bliss.zip,ambiguous_exact_match,2,Clinical-Eng/Bliss.zip;Eng-NA/Bliss.zip,True,True
Bloom,36351,36351,36351,0,0,Eng-NA/Bloom.zip,Eng-NA/Bloom.zip,exact_source_corpus_match,1,Eng-NA/Bloom.zip,True,False
Bohannon,6707,6707,6707,0,0,Eng-NA/Bohannon.zip,Eng-NA/Bohannon.zip,exact_source_corpus_match,1,Eng-NA/Bohannon.zip,True,False
Braunwald,47993,47984,47984,0,9,Eng-NA/Braunwald.zip,Eng-NA/Braunwald.zip,exact_source_corpus_match,1,Eng-NA/Braunwald.zip,True,False
Brent,155795,124510,124510,0,31285,Eng-NA/Brent.zip,Eng-NA/Brent.zip,exact_source_corpus_match,1,Eng-NA/Brent.zip,True,False
Brown,87485,87485,87485,0,0,Eng-NA/Brown.zip,Eng-NA/Brown.zip,exact_source_corpus_match,1,Eng-NA/Brown.zip,True,False
CHCC,68363,67601,67601,0,762,,,not_represented,0,,False,False
CUHK,957,810,810,0,147,,,not_represented,0,,False,False
Chiat-Ruth,118,118,0,118,0,Clinical-Eng/Chiat-Ruth.zip,Clinical-Eng/Chiat-Ruth.zip,exact_source_corpus_match,1,Clinical-Eng/Chiat-Ruth.zip,True,False
Clark,24283,24283,24283,0,0,Eng-NA/Clark.zip,Eng-NA/Clark.zip,exact_source_corpus_match,1,Eng-NA/Clark.zip,True,False
Conti1,7422,7422,7422,0,0,,Clinical-Eng/Conti/Conti1.zip,unique_leaf_match,1,Clinical-Eng/Conti/Conti1.zip,True,False
Conti2,7874,7874,7874,0,0,,Clinical-Eng/Conti/Conti2.zip,unique_leaf_match,1,Clinical-Eng/Conti/Conti2.zip,True,False
Conti3,68622,68622,68622,0,0,,Clinical-Eng/Conti/Conti3.zip,unique_leaf_match,1,Clinical-Eng/Conti/Conti3.zip,True,False
Conti4,1055,1055,0,1055,0,,Clinical-Eng/Conti/Conti4.zip,unique_leaf_match,1,Clinical-Eng/Conti/Conti4.zip,True,False
DS,19450,19450,14540,4910,0,,Clinical-Eng/Rondal/DS.zip,unique_leaf_match,1,Clinical-Eng/Rondal/DS.zip,True,False
DeHouwerBornstein,111,0,0,0,111,,,not_represented,0,,False,False
Demetras1,8294,8294,8294,0,0,Eng-NA/Demetras1.zip,Eng-NA/Demetras1.zip,exact_source_corpus_match,1,Eng-NA/Demetras1.zip,True,False
Demetras2,11119,11119,11119,0,0,Eng-NA/Demetras2.zip,Eng-NA/Demetras2.zip,exact_source_corpus_match,1,Eng-NA/Demetras2.zip,True,False
Deuchar,6267,6267,6267,0,0,,,not_represented,0,,False,False
ENNI,650,650,592,58,0,Clinical-Eng/ENNI.zip,Clinical-Eng/ENNI.zip,exact_source_corpus_match,1,Clinical-Eng/ENNI.zip,True,False
EisenbergGuo,5126,5126,5126,0,0,Clinical-Eng/EisenbergGuo.zip,Clinical-Eng/EisenbergGuo.zip,exact_source_corpus_match,1,Clinical-Eng/EisenbergGuo.zip,True,False
EllisWeismer,104132,103582,103582,0,550,Clinical-Eng/EllisWeismer.zip,Clinical-Eng/EllisWeismer.zip,exact_source_corpus_match,1,Clinical-Eng/EllisWeismer.zip,True,False
English-ECSC,1561,0,0,0,1561,,,not_represented,0,,False,False
English-WolfHemp,2891,2727,1802,925,164,,,not_represented,0,,False,False
Evans,10,0,0,0,10,Eng-NA/Evans.zip,Eng-NA/Evans.zip,exact_source_corpus_match,1,Eng-NA/Evans.zip,True,False
Feldman,6670,6670,6670,0,0,Eng-NA/Feldman.zip,Eng-NA/Feldman.zip,exact_source_corpus_match,1,Eng-NA/Feldman.zip,True,False
Fletcher,26383,26383,26383,0,0,Eng-UK/Fletcher.zip,Eng-UK/Fletcher.zip,exact_source_corpus_match,1,Eng-UK/Fletcher.zip,True,False
