rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.33711674081476456,0.34648935574431844,8.784591061769628e-05,100
2,0.15974723358775572,0.12948733827359962,0.0009156612644236862,100
3,0.09153479737663917,0.07280776771530895,0.0003507016399363418,100
4,0.055706305787026074,0.04839101258150714,5.35135146827115e-05,100
5,0.039970157770252215,0.03524946187375802,2.2284969747177134e-05,100
6,0.029542746511786615,0.02720915921600418,5.445629667037177e-06,100
7,0.021528453962391274,0.021860026328168292,1.0994023374696896e-07,99
8,0.013797008935591114,0.018084317199537455,1.8381012150102585e-05,99
9,0.009681261864558224,0.015299087697222298,3.1559967086147803e-05,99
10,0.007242968015805508,0.013173157899193277,3.5167152053034643e-05,99
11,0.005760255294985443,0.011505679826885813,3.300990305176258e-05,98
12,0.004737962767589382,0.010168397802508071,2.9489624668472346e-05,97
13,0.004191116778742835,0.00907591327281325,2.3861236788482628e-05,97
14,0.0037942962104731714,0.00816936098295059,1.9141191763372886e-05,96
15,0.003396520838940375,0.007406965292428886,1.608366471451676e-05,96
16,0.0029939312254908704,0.006758331994451119,1.417071314934851e-05,96
17,0.0028044909747572252,0.006200867181446455,1.153537133736472e-05,96
18,0.0025650862171839465,0.005717457437248196,9.937444309089368e-06,96
19,0.002408732227737975,0.005294924649169096,8.33010669352644e-06,95
20,0.0022145828735747612,0.0049229712969396195,7.335367851816783e-06,95
21,0.0020225740346281945,0.004593444770425427,6.609376340178604e-06,95
22,0.0019427403023872397,0.004299814211063608,5.555797410962895e-06,95
23,0.0019271113920907798,0.004036791980022506,4.450752183095957e-06,93
24,0.0018649849649018636,0.0038000554537250875,3.744497796714551e-06,93
25,0.001793627627851896,0.0035860396338016354,3.2127407990727686e-06,92
26,0.0017404872152234486,0.003391780534135189,2.7267696250825503e-06,92
27,0.0016804987599931766,0.003214795504821988,2.3540665011922866e-06,92
28,0.0016142190585286844,0.0030529907817978194,2.0700640716788364e-06,92
29,0.0015621537354160117,0.0029045893489475713,1.802133376477855e-06,92
30,0.001528263500540794,0.0027680741255130983,1.537130385794216e-06,91
31,0.0015148443883309225,0.002642142836553913,1.2708017913659625e-06,91
32,0.001443706177688767,0.0025256718759826802,1.1706497722846352e-06,91
33,0.0013967934208785075,0.0024176871536012675,1.04222401351261e-06,91
34,0.001339137631884859,0.002317340411767571,9.56880678570266e-07,91
35,0.00130610585967919,0.0022238898593546475,8.423274700602804e-07,91
36,0.001297735926394655,0.002136684238543178,7.038342704568557e-07,91
37,0.0012589834378362267,0.0020551496400725805,6.338806215834586e-07,91
38,0.001224726583557478,0.0019787785333472605,5.685943429817728e-07,91
39,0.0012083162242570561,0.0019071205923534692,4.883275448706272e-07,90
40,0.0011967616770825814,0.0018397749860703905,4.1346611553545166e-07,89
41,0.0011598457985392348,0.0017763838697387256,3.8011919323838835e-07,89
42,0.0011456048514967621,0.0017166268659291346,3.2606614096640454e-07,88
43,0.0011297717538190056,0.0016602163654720083,2.8137148603170484e-07,86
44,0.001119011427907167,0.0016068935106695668,2.3802892668057715e-07,85
45,0.0011054328392539484,0.0015564247488297068,2.0339370250278908e-07,85
46,0.0010947841921547332,0.0015085988645580476,1.7124258309626245e-07,83
