z,mse
0.1,4.500249787523863e-05
0.11,4.4988591341226545e-05
0.12,4.4973795447909585e-05
0.13,4.495805372365136e-05
0.13999999999999999,4.4941306315890894e-05
0.14999999999999997,4.49234898114102e-05
0.15999999999999998,4.490453704953765e-05
0.16999999999999998,4.4884376928300874e-05
0.17999999999999997,4.4862934203585575e-05
0.18999999999999995,4.4840129281407564e-05
0.19999999999999996,4.481587800345986e-05
0.20999999999999996,4.479009142616146e-05
0.21999999999999995,4.4762675593503846e-05
0.22999999999999995,4.473353130407164e-05
0.23999999999999994,4.4702553872700125e-05
0.24999999999999992,4.4669632887330944e-05
0.2599999999999999,4.4634651961733325e-05
0.2699999999999999,4.4597488484876315e-05
0.2799999999999999,4.455801336786559e-05
0.2899999999999999,4.451609078949921e-05
0.29999999999999993,4.4471577941647815e-05
0.30999999999999994,4.4424324775829535e-05
0.3199999999999999,4.4374173752526777e-05
0.32999999999999985,4.432095959498115e-05
0.33999999999999986,4.4264509049405176e-05
0.34999999999999987,4.420464065376414e-05
0.3599999999999999,4.414116451750819e-05
0.3699999999999999,4.4073882114872605e-05
0.3799999999999999,4.4002586094614135e-05
0.3899999999999999,4.3927060109308123e-05
0.3999999999999998,4.384707866759875e-05
0.4099999999999998,4.376240701306539e-05
0.4199999999999998,4.367280103364469e-05
0.4299999999999998,4.35780072058232e-05
0.43999999999999984,4.3477762578089126e-05
0.44999999999999984,4.337179479839792e-05
0.45999999999999985,4.3259822190661555e-05
0.46999999999999986,4.31415538855097e-05
0.47999999999999976,4.3016690010786494e-05
0.48999999999999977,4.288492194743393e-05
0.4999999999999998,4.274593265656234e-05
0.5099999999999998,4.2599397083615267e-05
0.5199999999999998,4.244498264558894e-05
0.5299999999999998,4.22823498072581e-05
0.5399999999999998,4.2111152752279694e-05
0.5499999999999998,4.1931040154885224e-05
0.5599999999999997,4.174165605761876e-05
0.5699999999999997,4.154264086022388e-05
0.5799999999999997,4.133363242431621e-05
0.5899999999999997,4.111426729789014e-05
0.5999999999999998,4.088418206299156e-05
0.6099999999999998,4.0643014809031257e-05
0.6199999999999998,4.039040673321434e-05
0.6299999999999997,4.012600386841137e-05
0.6399999999999997,3.984945893749621e-05
0.6499999999999997,3.9560433331723715e-05
0.6599999999999997,3.925859920912179e-05
0.6699999999999997,3.894364170713145e-05
0.6799999999999997,3.8615261261859784e-05
0.6899999999999997,3.827317602432635e-05
0.6999999999999996,3.791712436200512e-05
0.7099999999999996,3.754686743181578e-05
0.7199999999999996,3.716219180852916e-05
0.7299999999999996,3.676291215035725e-05
0.7399999999999997,3.6348873881337104e-05
0.7499999999999997,3.5919955868032146e-05
0.7599999999999997,3.547607306611491e-05
0.7699999999999997,3.501717911060668e-05
0.7799999999999997,3.454326882198936e-05
0.7899999999999996,3.405438059912219e-05
0.7999999999999996,3.355059866894574e-05
0.8099999999999996,3.3032055162385935e-05
0.8199999999999996,3.249893198573168e-05
0.8299999999999996,3.195146245708874e-05
0.8399999999999996,3.138993267834707e-05
0.8499999999999996,3.081468261446278e-05
0.8599999999999995,3.022610685376492e-05
0.8699999999999996,2.962465502545412e-05
0.8799999999999996,2.901083185345562e-05
0.8899999999999996,2.8385196829299496e-05
0.8999999999999996,2.7748363490688354e-05
0.9099999999999996,2.7100998296825384e-05
0.9199999999999996,2.6443819096348217e-05
0.9299999999999996,2.5777593188768065e-05
0.9399999999999996,2.510313498556031e-05
0.9499999999999995,2.4421303282393186e-05
0.9599999999999995,2.373299815931116e-05
0.9699999999999995,2.3039157530899933e-05
