rank,verb,frequency
1,go,39532
2,do,29633
3,be,22928
4,get,21536
5,have,20185
6,want,18434
7,think,17002
8,know,15978
9,say,10053
10,see,9851
11,like,9294
12,put,8286
13,look,6203
14,come,6136
15,make,5278
16,need,4166
17,eat,3935
18,take,3699
19,play,3378
20,happen,3235
21,tell,3226
22,find,2594
23,remember,2306
24,give,2300
25,sit,2136
26,mean,2116
27,can,2015
28,fall,1969
29,try,1676
30,use,1381
31,hear,1363
32,fit,1278
33,bring,1260
34,will,1232
35,help,1209
36,show,1206
37,buy,1203
38,work,1185
39,start,1161
40,talk,1138
41,finish,1093
42,turn,1060
43,hurt,1048
44,read,1044
45,run,1030
46,open,1020
47,love,1006
48,call,992
49,keep,971
50,leave,947
51,hold,917
52,live,915
53,feel,891
54,stay,890
55,watch,830
56,break,824
57,move,791
58,sleep,782
59,ask,778
60,walk,767
61,wonder,710
62,drive,668
63,wear,664
64,pick,655
65,bet,641
66,wait,634
67,stand,628
68,let,619
69,draw,617
70,would,601
71,sing,595
72,pretend,594
73,forget,592
74,miss,591
75,cry,586
76,build,575
77,guess,570
78,hide,560
79,throw,544
80,lose,543
81,jump,523
82,catch,506
83,drink,498
84,sound,490
85,cut,488
86,push,481
87,fix,474
88,stop,474
89,pull,465
90,fly,461
91,wash,436
92,ride,430
93,stick,419
94,hope,406
95,could,399
96,drop,394
97,knock,388
98,blow,382
99,grow,377
100,haft,352
