rank,verb,frequency
1,go,197279
2,do,138203
3,be,112713
4,get,101725
5,want,101449
6,have,100998
7,think,79290
8,know,69365
9,say,50464
10,like,50148
11,see,49904
12,put,40370
13,look,28595
14,come,28176
15,make,25744
16,need,19597
17,eat,19576
18,play,19442
19,take,16975
20,tell,15537
21,find,13293
22,give,11084
23,happen,10906
24,sit,10539
25,remember,10051
26,fall,9840
27,mean,9295
28,try,8709
29,can,8490
30,hear,7103
31,use,6300
32,fit,6136
33,read,6131
34,talk,5866
35,help,5691
36,love,5479
37,start,5462
38,will,5383
39,turn,5169
40,show,5119
41,bring,5101
42,work,5053
43,open,4787
44,keep,4603
45,hold,4590
46,call,4588
47,hurt,4467
48,finish,4301
49,buy,4279
50,feel,4193
51,wear,4008
52,run,3967
53,leave,3912
54,stay,3841
55,watch,3791
56,pick,3765
57,move,3692
58,live,3688
59,ask,3654
60,throw,3542
61,break,3521
62,draw,3515
63,walk,3291
64,sing,3287
65,sleep,3200
66,build,3152
67,let,3147
68,guess,3136
69,sound,3056
70,stand,2999
71,drink,2992
72,wonder,2895
73,drive,2856
74,bet,2826
75,cry,2785
76,pull,2778
77,hide,2737
78,stop,2648
79,push,2627
80,wait,2619
81,jump,2568
82,forget,2508
83,pretend,2504
84,write,2496
85,would,2467
86,wash,2430
87,drop,2425
88,lose,2371
89,fix,2323
90,miss,2307
91,blow,2214
92,hit,2189
93,cut,2151
94,fly,2095
95,catch,2084
96,seem,2055
97,ride,1985
98,knock,1978
99,stick,1940
100,cook,1839
