rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.34511318519519885,0.34816635775193916,9.321862661232182e-06,100
2,0.15114790050823282,0.13101906939101615,0.00040516984214543,100
3,0.08365652810794315,0.07396833365554392,9.386111174749914e-05,99
4,0.05408742300019869,0.04930400701241301,2.288106851220364e-05,99
5,0.03820897278421816,0.035994744746455365,4.902805803214893e-06,99
6,0.027682045622487775,0.027835148411606028,2.344046403578797e-08,98
7,0.02018643956554181,0.022397449592455217,4.888565339111631e-06,98
8,0.015792536070168638,0.018553674047441793,7.6238829295400904e-06,97
9,0.01215795474013665,0.01571465554312994,1.2650120602013122e-05,97
10,0.009313575852797233,0.013545243113373389,1.7907007804232107e-05,97
11,0.007760058778696108,0.011841947141121913,1.6661812603307223e-05,95
12,0.0064587284506025045,0.01047469165256858,1.6127960439545616e-05,94
13,0.005964835262143249,0.009356785584485945,1.1505326989240722e-05,92
14,0.005531013276360653,0.008428422037336639,8.394977528180398e-06,91
15,0.00472128617054151,0.007647123939381012,8.560526649567717e-06,86
16,0.004498295179870856,0.006981964378109225,6.16861268627802e-06,84
17,0.004200157647909137,0.006409937945187873,4.883128962241299e-06,82
18,0.00400396447707867,0.005913608535745413,3.6467404308011933e-06,79
19,0.003769913632212949,0.005479541581458934,2.9228277248430332e-06,73
20,0.003533740884788345,0.005097233284824366,2.444508484970397e-06,70
21,0.0034370908065912216,0.004758363315700701,1.7457610433284583e-06,70
22,0.003401468290286027,0.004456263104296887,1.1125920996642055e-06,69
23,0.003176427842873591,0.004185530928820394,1.01828903806736e-06,66
24,0.0030232413185170143,0.00394174888504068,8.436561497612258e-07,62
25,0.002973443730281432,0.0037212718015839376,5.592468242280252e-07,60
26,0.0027090737452001427,0.003521067766817559,6.593342911424248e-07,55
27,0.002492237425621891,0.003338596215905367,7.163232018901089e-07,50
28,0.0024888633421043587,0.003171713714377185,4.662846309131375e-07,50
29,0.0023321452012963336,0.0030186004136778313,4.712207586057271e-07,48
30,0.0022188618148099824,0.0028777021092006453,4.3407053351277527e-07,46
31,0.002067425348207295,0.002747684197055782,4.6275210143666887e-07,43
32,0.0018659937278520107,0.0026273947926722125,5.797315815093371e-07,39
33,0.001793214592122947,0.0025158349672885407,5.221802066044634e-07,38
34,0.0017105430353546247,0.0024121345607752073,4.9223066854198e-07,37
35,0.0016097827845997705,0.0023155323973788966,4.980825159378865e-07,36
36,0.0015403223589112685,0.0022253600034732772,4.6927657446706497e-07,34
37,0.001392624986907735,0.0021410281299940903,5.601072645815354e-07,32
38,0.001361740145702143,0.0020620155356986893,4.903856218348151e-07,30
39,0.001361740145702143,0.0019878596040279976,3.920255760942615e-07,30
40,0.0013410894628089203,0.001918148455694327,3.3299708126991994e-07,30
41,0.0012965180459664429,0.001852514288065034,3.091318212277552e-07,29
42,0.0011545334927005704,0.001790627725989656,4.046158736236296e-07,27
43,0.0010775125771022428,0.0017321930106292344,4.2860647004308966e-07,26
44,0.0010775125771022428,0.0016769438858377094,3.593178938923142e-07,26
45,0.0010775125771022428,0.001624640067770252,2.9934849104467243e-07,26
46,0.0010411913606183662,0.0015750642041988307,2.8502021311269114e-07,25
47,0.0010291440344861243,0.0015280192466740519,2.4887647733554974e-07,25
48,0.0010232996618893566,0.0014833261720796716,2.1162439007788e-07,24
49,0.0010049747488780577,0.001440822000969961,1.8996282715606301e-07,24
50,0.0010049747488780577,0.0014003580688916864,1.563279697449995e-07,24
51,0.0009347806797146485,0.0013617985140850317,1.8234423087037206e-07,23
52,0.0009062600503774248,0.0013250189508540206,1.7535901672836748e-07,23
53,0.0008961205149252933,0.0012899053027505983,1.5506645912262048e-07,22
54,0.0009303888724887642,0.0012563527737276133,1.062524649108502e-07,21
55,0.0009160468175694287,0.0012242649387434277,9.499841022002992e-08,21
56,0.000883875095494918,0.0011935529380713336,9.590036618278325e-08,19
57,0.0008762758500212268,0.0011641347618817253,8.286275313751022e-08,19
58,0.0008704719641355432,0.0011359346136055645,7.047041826364341e-08,19
