rank,average_proportion,num_verbs,sd_proportion
1,0.46327175468621334,100,0.19949823249295315
2,0.16637676433223766,100,0.07059493776960958
3,0.09452205776057938,98,0.044083478332717516
4,0.061752484284919536,98,0.03171866580032203
5,0.04304321785417447,96,0.02122068477525723
6,0.03250036269416398,95,0.018862818484975917
7,0.023990183249533777,92,0.013938827017990074
8,0.018449584163979075,91,0.010594069731501475
9,0.014954554587736596,87,0.008201842931641057
10,0.013140450376053044,85,0.007307115244018518
11,0.011510831043375856,82,0.006863999972529121
12,0.010680024561660185,79,0.006562405187438686
13,0.009667927434719116,77,0.005454367814442503
14,0.009086610188969224,74,0.0052948598844757165
15,0.008282541242477596,68,0.005031606691257057
16,0.007667376230309796,63,0.005005423091490171
17,0.007002307936306745,56,0.004846775301606513
18,0.006684116977261801,52,0.004812788782475304
19,0.005935905506402964,48,0.004323051533225909
20,0.005942098861229117,47,0.004387190940269458
21,0.005328801880071453,44,0.003946834372658493
22,0.004698564546535549,40,0.003363925865840856
23,0.004492888589926694,37,0.003479018053813399
24,0.004167538933987009,33,0.003501345286123329
25,0.003587695399611777,29,0.0029440139536948268
26,0.003512217097988648,29,0.0029764672588224153
27,0.003177693452765195,28,0.0025638928905288797
28,0.002991803532072224,27,0.0024128034685474654
29,0.002975770182705541,27,0.0024020027043736873
30,0.002888479839017361,27,0.002445107902724161
31,0.002843734585409998,26,0.002421344831740588
32,0.002624150635493064,25,0.002191191149287604
33,0.0025857734827134586,25,0.0022128637996234202
34,0.002529369278952648,23,0.0022677410742700686
35,0.0025105475210004556,23,0.0022576559201292756
36,0.0024813401829651364,23,0.0022765920622234742
37,0.0025599181112388597,21,0.0023468228884967334
38,0.0023003171175759963,20,0.002075504117797963
39,0.002260823203763109,19,0.0021199681946776536
40,0.0022334868430725005,18,0.002194754316402675
41,0.0015851948964207305,16,0.0012808966055344471
42,0.001664792135733495,15,0.0012842415435232524
43,0.0016359321068734661,15,0.0012559150773324417
44,0.0016359321068734661,15,0.0012559150773324417
45,0.001443777009098786,13,0.0010163081151384106
46,0.001394447995402196,13,0.0009937009288520891
47,0.001311765757946651,12,0.0009900793108302832
48,0.001311765757946651,12,0.0009900793108302832
49,0.0011571584604822107,12,0.000676697594223455
50,0.0012045612379392133,11,0.0006885135363449072
51,0.001043063833956218,10,0.0005205426516455212
52,0.001043063833956218,10,0.0005205426516455212
53,0.0009633244973899745,10,0.0005830661690283068
54,0.0009633244973899745,10,0.0005830661690283068
55,0.0009633244973899745,10,0.0005830661690283068
56,0.0009386359308861591,8,0.0006409967726658531
57,0.000912588837741754,8,0.0006595221094751934
58,0.000912588837741754,8,0.0006595221094751934
59,0.000912588837741754,8,0.0006595221094751934
60,0.000912588837741754,8,0.0006595221094751934
61,0.000912588837741754,8,0.0006595221094751934
62,0.000912588837741754,8,0.0006595221094751934
63,0.0008584762836291999,8,0.0005975738154409919
64,0.0008584762836291999,8,0.0005975738154409919
65,0.0008584762836291999,8,0.0005975738154409919
66,0.0008584762836291999,8,0.0005975738154409919
67,0.0008584762836291999,8,0.0005975738154409919
68,0.0008584762836291999,8,0.0005975738154409919
69,0.0008584762836291999,8,0.0005975738154409919
70,0.0008584762836291999,8,0.0005975738154409919
71,0.0008584762836291999,8,0.0005975738154409919
72,0.0008584762836291999,8,0.0005975738154409919
73,0.0008584762836291999,8,0.0005975738154409919
74,0.0008584762836291999,8,0.0005975738154409919
75,0.0008584762836291999,8,0.0005975738154409919
76,0.0008284354280656335,8,0.0006247056960071854
77,0.0008284354280656335,8,0.0006247056960071854
78,0.0008284354280656335,8,0.0006247056960071854
79,0.0008284354280656335,8,0.0006247056960071854
80,0.0008284354280656335,8,0.0006247056960071854
81,0.0008284354280656335,8,0.0006247056960071854
82,0.0008284354280656335,8,0.0006247056960071854
83,0.0008284354280656335,8,0.0006247056960071854
84,0.0007313125426546262,7,0.0006060198805341032
85,0.0007313125426546262,7,0.0006060198805341032
86,0.0007313125426546262,7,0.0006060198805341032
87,0.0007015444362038775,7,0.000628738425125855
88,0.0007015444362038775,7,0.000628738425125855
89,0.0007015444362038775,7,0.000628738425125855
90,0.0007015444362038775,7,0.000628738425125855
91,0.0007015444362038775,7,0.000628738425125855
92,0.0007015444362038775,7,0.000628738425125855
93,0.0007015444362038775,7,0.000628738425125855
94,0.0007015444362038775,7,0.000628738425125855
95,0.0007015444362038775,7,0.000628738425125855
96,0.0007015444362038775,7,0.000628738425125855
97,0.0007015444362038775,7,0.000628738425125855
98,0.0006397015172181014,7,0.0005795808935794122
99,0.0006397015172181014,7,0.0005795808935794122
100,0.0006397015172181014,7,0.0005795808935794122
101,0.0006397015172181014,7,0.0005795808935794122
102,0.0006397015172181014,7,0.0005795808935794122
103,0.0006397015172181014,7,0.0005795808935794122
104,0.0006397015172181014,7,0.0005795808935794122
105,0.0006397015172181014,7,0.0005795808935794122
106,0.0006397015172181014,7,0.0005795808935794122
107,0.0006397015172181014,7,0.0005795808935794122
108,0.0006397015172181014,7,0.0005795808935794122
109,0.0006397015172181014,7,0.0005795808935794122
110,0.0006397015172181014,7,0.0005795808935794122
111,0.0006397015172181014,7,0.0005795808935794122
112,0.0006397015172181014,7,0.0005795808935794122
113,0.0006397015172181014,7,0.0005795808935794122
114,0.0006397015172181014,7,0.0005795808935794122
115,0.0006397015172181014,7,0.0005795808935794122
116,0.0006397015172181014,7,0.0005795808935794122
117,0.0006397015172181014,7,0.0005795808935794122
118,0.0006397015172181014,7,0.0005795808935794122
119,0.0006397015172181014,7,0.0005795808935794122
120,0.000661197565116726,6,0.0006318349009120882
121,0.000661197565116726,6,0.0006318349009120882
122,0.000661197565116726,6,0.0006318349009120882
123,0.000661197565116726,6,0.0006318349009120882
124,0.000661197565116726,6,0.0006318349009120882
125,0.000661197565116726,6,0.0006318349009120882
126,0.000661197565116726,6,0.0006318349009120882
127,0.000661197565116726,6,0.0006318349009120882
128,0.0007007586722086532,5,0.0006980552045187352
129,0.0007007586722086532,5,0.0006980552045187352
130,0.0007007586722086532,5,0.0006980552045187352
131,0.0007007586722086532,5,0.0006980552045187352
132,0.0007007586722086532,5,0.0006980552045187352
133,0.00041212644786749555,4,0.0003071118448059195
134,0.00041212644786749555,4,0.0003071118448059195
135,0.00041212644786749555,4,0.0003071118448059195
136,0.00041212644786749555,4,0.0003071118448059195
137,0.00041212644786749555,4,0.0003071118448059195
138,0.00041212644786749555,4,0.0003071118448059195
139,0.00041212644786749555,4,0.0003071118448059195
