rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.2618443482163358,0.25772484072048113,1.697034200840271e-05,100
2,0.10948893567638744,0.1083599473418436,1.2746146595360926e-06,100
3,0.057350981588386425,0.06527617701943146,6.280872262025712e-05,99
4,0.037152815295098875,0.04555974563841879,7.067647779743309e-05,99
5,0.02719642689265173,0.034470197716682895,5.2907742000527014e-05,99
6,0.021066346701930947,0.027445251628553415,4.0690428062888384e-05,99
7,0.01675380915127015,0.022635168399457648,3.4590386606240605e-05,97
8,0.013818705959021632,0.019155513393608718,2.8481513593863992e-05,94
9,0.011565861407166955,0.01653305624075815,2.4673024514855063e-05,92
10,0.009645695400276606,0.014492932846522713,2.349571086029048e-05,90
11,0.008696843011466846,0.012865166863082943,1.7374923731951654e-05,88
12,0.008123420655397225,0.011539306855093372,1.1668278529274583e-05,83
13,0.00752012132607426,0.010440639236544572,8.529424865377877e-06,75
14,0.0068306139248097055,0.009516915982884051,7.2162187472144645e-06,72
15,0.006457768098547477,0.008730562105533907,5.165592598193434e-06,68
16,0.00597399594534846,0.008053901272515046,4.326006169975941e-06,65
17,0.005825464638911593,0.007466122789820003,2.6917591681422045e-06,63
18,0.0057059637833380954,0.006951293863020793,1.5508470073625132e-06,60
19,0.005519110367104785,0.0064970211224608864,9.563094454411414e-07,57
20,0.004996805690506415,0.006093527638576885,1.2027990313794857e-06,53
21,0.004704674860868069,0.005733002900213724,1.057458556504478e-06,49
22,0.004420035318033141,0.005409136348403664,9.783208482800302e-07,47
23,0.004394209021954692,0.005116776940640676,5.221043971141954e-07,44
24,0.004380251449530895,0.004851680884480317,2.2224571213673105e-07,43
25,0.004248727670531497,0.0046103221067304205,1.307505362900171e-07,42
26,0.00400316184544558,0.0043897480534838065,1.4944889624537517e-07,40
27,0.003996059468952174,0.004187468708204272,3.663749687106697e-08,37
28,0.0039057302353071614,0.004001370267138991,9.147015688793426e-09,36
29,0.003600949160593118,0.0038296473356106246,5.230285525633819e-08,34
30,0.0034388041750432244,0.003670749188846693,5.3798489428291275e-08,33
31,0.00327887902045361,0.0035233368219303347,5.975961670283382e-08,32
32,0.0032934398173129556,0.003386248354432617,8.61342456229158e-09,30
33,0.0032600121311217043,0.003258470961477594,2.3752038719269457e-12,30
34,0.003165804955797866,0.003139117944901853,7.121965505639338e-10,30
35,0.0029847672138386496,0.0030274098837291983,1.8183972953943088e-09,29
36,0.003061930193845941,0.0029226590453946665,1.9396452790936952e-08,28
37,0.003131202272110116,0.002824256421026824,9.421575549724663e-08,26
38,0.0032276275239664642,0.0027316608858525128,2.4598290612205527e-07,25
39,0.0032276275239664642,0.0026443900909802567,3.4016590323634096e-07,25
40,0.0031675414682352083,0.002562012773764368,3.666649998275603e-07,25
41,0.0031349679796795257,0.0024841422366935675,4.235741477332245e-07,25
42,0.0028172035588437806,0.002410430793714435,1.6546408245097361e-07,24
43,0.002990155839452532,0.0023405650213649243,4.219682309437277e-07,22
44,0.002990155839452532,0.0022742616824956044,5.125044439650705e-07,22
45,0.0029785456491648776,0.0022112642145273903,5.887207999393607e-07,22
46,0.0029969046807182312,0.0021513396935188074,7.149801475775617e-07,21
47,0.0026368065290623614,0.002094276200847496,2.9433915703292945e-07,19
48,0.0026340738325468607,0.0020398805318572353,3.530656785844315e-07,19
49,0.002370648372017953,0.001987976196006201,1.464379942935691e-07,18
50,0.00195039525086505,0.0019384016663572823,1.4384606934496732e-10,17
51,0.00195039525086505,0.0018910088430539554,3.526745432705638e-09,17
52,0.001983930561726567,0.0018456617010207527,1.9118277840883827e-08,16
53,0.001983930561726567,0.001802235096748741,3.301324199350829e-08,16
54,0.00198068548461441,0.0017606137128580383,4.843158472398859e-08,16
55,0.002011428689936855,0.0017206911223181303,8.452833322485252e-08,15
56,0.0020645836682219227,0.0016823689568699883,1.4608808557384258e-07,14
57,0.002060875008665172,0.001645556166425983,1.7248974071890036e-07,14
58,0.002060875008665172,0.001610168358100457,2.031364848632642e-07,14
59,0.0020387570115442287,0.0015761272051070215,2.1402633780412776e-07,14
60,0.0020387570115442287,0.0015433599170983328,2.4541828118543584e-07,14
61,0.001834903068001487,0.001511798764661044,1.0439639083711292e-07,13
62,0.001834903068001487,0.0014813806516463172,1.2497809886559798e-07,13
63,0.001834903068001487,0.001452046729842155,1.4657897566877271e-07,13
64,0.001830909126940371,0.001423742051200589,1.657850275664852e-07,13
65,0.001830909126940371,0.0013964152534391243,1.8878492611011728e-07,13
66,0.001830909126940371,0.001370018275357417,2.1242037707286046e-07,13
67,0.0018269151858792548,0.0013445060986598484,2.327185274318609e-07,13
68,0.0018269151858792548,0.001319836513463288,2.5712878001913945e-07,13
69,0.0017682678027948285,0.0012959699050059898,2.2306530425575634e-07,13
70,0.0017682678027948285,0.0012728690593657738,2.454199149910863e-07,13
71,0.0017682678027948285,0.0012504989862498963,2.6808454738633965e-07,13
72,0.0017682678027948285,0.0012288267571406095,2.909966417365172e-07,13
73,0.0017642738617337124,0.0012078213572740346,3.096393897194478e-07,13
74,0.0017642738617337124,0.0011874535500993712,3.327216719139385e-07,13
75,0.0017642738617337124,0.0011676957530140685,3.559054398035073e-07,13
76,0.0017642738617337124,0.0011485219233010825,3.7915044968354123e-07,13
77,0.0017642738617337124,0.001129907453309226,4.0242074013738235e-07,13
78,0.0017642738617337124,0.0011118290740188713,4.256842010162641e-07,13
