subject_lemma,verb_lemma
you,go
xxx,be
that,be
that,be
that,be
it,seem
you,like
it,be
i,bet
brother,like
you,read
i,go
you,do
it,take
book,be
book,be
you,see
it,be
title,be
i,like
you,do
you,go
you,go
you,like
you,tell
that,be
you,expect
that,happen
you,do
frog,follow
that,be
that,be
that,be
us,do
it,be
it,be
you,read
you,can
you,go
you,go
i,bet
you,could
you,know
i,want
you,use
you,know
i,bet
i,doubt
i,mean
you,give
you,know
what,go
you,go
what,happen
it,call
book,have
it,have
i,want
you,do
you,be
that,be
you,remember
i,remember
you,call
i,think
that,be
you,do
that,be
he,be
i,have
you,remember
you,look
you,tell
you,be
that,be
you,see
who,come
i,go
you,tell
i,like
you,do
you,do
that,be
that,be
you,tell
you,like
it,be
you,tell
i,like
frog,be
that,be
everyone,end
you,do
everyone,smile
you,do
you,know
you,tell
you,do
you,look
you,go
that,be
that,be
you,remember
that,be
it,be
you,like
it,be
you,see
you,have
this,be
i,like
you,do
you,do
you,tell
you,be
you,tell
what,happen
you,can
you,tell
it,be
you,wanna
you,make
you,sit
we,see
you,look
you,know
you,know
you,c
you,spend
you,go
that,be
that,be
i,do
you,tell
that,be
i,bet
i,bet
it,be
that,be
we,have
you,know
i,notice
i,notice
i,get
i,notice
you,be
it,be
suit,be
it,be
it,be
it,hurt
we,go
it,start
i,know
you,remember
that,be
i,wonder
you,do
you,do
they,be
you,get
you,say
you,think
mom,say
you,do
you,find
you,find
you,get
you,say
people,give
what,happen
that,be
they,get
they,get
they,be
you,let
you,remember
this,be
that,have
it,be
you,know
i,mean
you,be
it,have
it,have
you,look
you,read
you,look
you,look
you,know
that,be
you,show
you,be
you,tell
that,be
you,remember
it,call
i,be
you,go
you,be
book,have
i,know
you,remember
it,have
it,be
i,want
you,do
that,be
you,remember
that,be
you,tell
you,read
you,read
i,bet
he,like
one,be
you,read
you,have
you,do
you,do
you,go
you,tell
you,speak
they,be
that,be
i,bet
that,be
you,know
you,remember
you,read
book,have
it,have
i,like
you,do
story,be
you,use
that,be
that,be
you,tell
you,know
us,do
you,know
you,read
you,do
you,remember
it,have
i,mean
you,remember
it,have
i,like
you,do
kind,look
you,tell
all,set
you,wanna
they,be
everyone,be
that,be
that,be
you,remember
you,remember
you,do
you,do
what,happen
name,be
i,think
they,be
it,be
us,see
all,set
you,know
you,speak
you,know
microphone,be
it,do
he,get
he,be
he,get
you,see
that,be
you,do
you,know
i,wanna
us,see
i,have
i,have
we,do
that,be
i,wonder
you,move
camera,see
you,like
that,be
this,be
this,have
it,be
you,read
you,look
we,go
you,tell
it,be
it,be
you,tell
you,do
that,be
you,smile
it,be
i,have
you,read
you,have
that,be
i,mean
that,be
i,see
book,have
i,like
you,do
we,go
you,tell
you,see
you,see
you,flip
you,needta
you,do
you,see
i,understand
i,think
you,talk
us,see
that,be
that,be
it,be
that,be
you,do
we,go
this,be
it,have
you,read
i,like
you,do
we,go
you,tell
you,think
that,be
you,tell
that,be
you,do
it,seem
i,know
picture,be
you,do
you,see
you,have
it,be
you,do
we,do
you,remember
you,read
you,wanna
it,sound
you,have
you,wanna
you,wanna
you,know
you,read
it,call
book,have
one,have
it,have
i,want
you,look
you,go
you,wanna
what,happen
you,do
you,will
you,wanna
that,be
it,call
you,go
you,look
what,happen
he,try
what,happen
he,try
they,have
you,be
you,remember
i,have
you,read
that,say
one,have
you,look
you,tell
you,be
he,be
you,remember
you,do
i,take
i,have
book,have
you,read
i,like
you,do
we,go
you,tell
what,happen
you,set
they,be
they,be
you,wanna
that,make
needta,put
needta,put
that,be
that,be
you,see
you,do
it,be
you,see
title,be
i,like
you,do
you,go
you,tell
you,do
i,go
you,wanna
it,do
he,look
that,be
you,tell
it,be
us,do
it,call
you,know
you,look
you,do
you,remember
i,want
you,tell
you,know
it,look
you,be
you,do
that,be
that,be
you,tell
that,be
you,mind
camera,hear
what,go
we,see
i,be
it,be
i,go
i,be
you,give
i,be
we,go
i,be
you,need
you,know
i,help
you,be
you,like
useta,tell
you,read
book,have
i,know
you,be
it,have
i,want
you,look
you,tell
you,remember
you,look
that,be
you,be
i,have
i,promise
that,be
i,know
you,get
i,like
you,do
you,tell
this,look
you,do
this,look
you,tell
it,look
this,look
girl,walk
that,be
you,like
that,be
you,have
you,put
it,make
you,read
you,be
that,be
you,do
you,be
what,happen
you,be
he,have
what,happen
he,get
anything,happen
you,get
that,happen
you,be
you,go
you,tell
she,do
what,happen
you,could
you,do
you,do
you,be
you,do
you,be
she,do
he,have
she,be
you,have
what,happen
you,go
you,go
you,have
what,happen
you,go
what,happen
he,do
you,do
i,see
you,do
you,visit
you,visit
i,wonder
what,happen
what,happen
she,nip
you,spill
you,do
you,be
you,do
they,be
you,be
you,be
you,want
they,wake
that,be
you,put
i,live
you,be
what,happen
you,be
you,be
what,happen
man,walk
you,want
you,paint
man,come
natalie,be
i,see
you,see
she,wake
you,be
you,have
you,get
you,have
what,happen
you,spill
you,have
what,happen
you,know
kid,fight
you,say
you,get
they,go
you,be
you,have
you,be
you,eat
that,be
you,have
anything,happen
you,remember
it,have
you,get
what,happen
you,step
you,see
you,have
they,go
you,break
bowl,fall
it,break
that,be
you,be
you,hadta
you,be
you,hadta
you,be
they,have
what,happen
anything,happen
you,remember
you,stop
you,go
you,be
anything,happen
you,remember
you,be
they,have
you,be
you,be
you,go
what,happen
you,fish
anything,happen
you,remember
you,go
you,do
it,be
you,be
you,see
you,have
what,happen
you,rip
you,go
you,like
it,do
you,be
anything,happen
you,swim
you,remember
you,spill
you,do
what,happen
you,do
you,go
what,happen
you,get
what,happen
you,get
you,be
you,have
what,happen
what,happen
what,happen
what,happen
you,be
you,be
what,happen
it,happen
he,do
