run,age_group,subject,frequency
historical_saved,72-84mo,und,126
historical_saved,72-84mo,du,71
historical_saved,72-84mo,das,49
historical_saved,72-84mo,nicht,29
historical_saved,72-84mo,ich,28
historical_saved,72-84mo,wir,13
historical_saved,72-84mo,gucken,19
historical_saved,72-84mo,wörter,2
historical_saved,72-84mo,quatsch,2
historical_saved,72-84mo,natürlich,2
historical_saved,72-84mo,machen,2
historical_saved,72-84mo,zeigen,2
historical_saved,72-84mo,mal,52
historical_saved,72-84mo,ja,31
historical_saved,72-84mo,dir,17
historical_saved,72-84mo,ist,25
historical_saved,72-84mo,auch,26
historical_saved,72-84mo,denn,48
historical_saved,72-84mo,wie,15
historical_saved,72-84mo,bisschen,14
historical_saved,84-96mo,und,60
historical_saved,84-96mo,du,47
historical_saved,84-96mo,das,14
historical_saved,84-96mo,nicht,19
historical_saved,84-96mo,ich,9
historical_saved,84-96mo,wir,9
historical_saved,84-96mo,gucken,3
historical_saved,84-96mo,wörter,0
historical_saved,84-96mo,quatsch,0
historical_saved,84-96mo,natürlich,0
historical_saved,84-96mo,machen,1
historical_saved,84-96mo,zeigen,0
historical_saved,84-96mo,mal,48
historical_saved,84-96mo,ja,20
historical_saved,84-96mo,dir,17
historical_saved,84-96mo,ist,17
historical_saved,84-96mo,auch,17
historical_saved,84-96mo,denn,16
historical_saved,84-96mo,wie,11
historical_saved,84-96mo,bisschen,10
original_refit_2021,72-84mo,und,126
original_refit_2021,72-84mo,du,71
original_refit_2021,72-84mo,das,49
original_refit_2021,72-84mo,nicht,29
original_refit_2021,72-84mo,ich,28
original_refit_2021,72-84mo,wir,13
original_refit_2021,72-84mo,gucken,19
original_refit_2021,72-84mo,wörter,2
original_refit_2021,72-84mo,quatsch,2
original_refit_2021,72-84mo,natürlich,2
original_refit_2021,72-84mo,machen,2
original_refit_2021,72-84mo,zeigen,2
original_refit_2021,72-84mo,mal,52
original_refit_2021,72-84mo,ja,31
original_refit_2021,72-84mo,dir,17
original_refit_2021,72-84mo,ist,25
original_refit_2021,72-84mo,auch,26
original_refit_2021,72-84mo,denn,48
original_refit_2021,72-84mo,wie,15
original_refit_2021,72-84mo,bisschen,14
original_refit_2021,84-96mo,und,60
original_refit_2021,84-96mo,du,47
original_refit_2021,84-96mo,das,14
original_refit_2021,84-96mo,nicht,19
original_refit_2021,84-96mo,ich,9
original_refit_2021,84-96mo,wir,9
original_refit_2021,84-96mo,gucken,3
original_refit_2021,84-96mo,wörter,0
original_refit_2021,84-96mo,quatsch,0
original_refit_2021,84-96mo,natürlich,0
original_refit_2021,84-96mo,machen,1
original_refit_2021,84-96mo,zeigen,0
