"collection_name","collection_id","corpus_name","corpus_id","n_retrieved","n_retained"
"Eng-NA","2","Valian","35",27831,27831
"Eng-NA","2","Clark","37",24283,24283
"Eng-NA","2","Gathercole","40",2820,2820
"Eng-NA","2","Hall","42",119953,119953
"Eng-NA","2","Peters","43",19149,19149
"Eng-NA","2","VanKleeck","44",8756,8756
"Eng-NA","2","Rollins","47",19684,19684
"Eng-NA","2","Kuczaj","48",25853,25853
"Eng-NA","2","HSLLD","51",202901,202901
"Eng-NA","2","Sprott","53",1616,1616
"Eng-NA","2","Post","59",29139,29139
"Eng-NA","2","Brown","60",87485,87485
"Eng-NA","2","MacWhinney","62",60794,60794
"Eng-NA","2","McMillan","64",145,145
"Eng-NA","2","Demetras2","67",11119,11119
"Eng-NA","2","Braunwald","70",47985,47985
"Eng-NA","2","Sachs","72",12227,12227
"Eng-NA","2","Morisset","75",19399,19399
"Eng-NA","2","Bliss","77",1017,1017
"Eng-NA","2","Bohannon","79",6707,6707
"Eng-NA","2","Snow","80",18609,18609
"Eng-UK","12","Tommerdahl","218",13998,13998
"Eng-UK","12","Manchester","219",374226,374226
"Eng-UK","12","Forrester","222",10459,10459
"Eng-UK","12","Thomas","223",376734,376734
"Eng-UK","12","MPI-EVA-Manchester","224",328309,328309
"Eng-UK","12","Wells","229",46321,46321
"Eng-UK","12","Gathburn","230",13993,13993
"Eng-UK","12","Belfast","233",82227,82227
"Eng-NA","21","Menn","333",2763,2763
"Eng-NA","21","Providence","336",285444,285444
"Eng-NA","2","VanHouten","65",8793,8793
"Eng-NA","2","Soderstrom","71",26993,26993
"Eng-UK","12","Howe","227",9675,9675
"Eng-NA","2","NewEngland","41",48126,48126
"Eng-NA","2","Suppes","45",35793,35793
"Eng-NA","2","Gleason","49",38505,38505
"Eng-NA","2","Gelman","52",147134,147134
"Eng-NA","2","Bloom","54",34549,34549
"Eng-NA","2","Bates","55",8775,8775
"Eng-NA","2","Feldman","56",6670,6670
"Eng-NA","2","Higginson","58",9672,9672
"Eng-NA","2","Warren","63",5853,5853
"Eng-NA","2","Nelson","69",1628,1628
"Eng-NA","2","Weist","74",65608,65608
"Eng-NA","2","Demetras1","78",8294,8294
"Eng-UK","12","KellyQuigley","220",6214,6214
"Eng-UK","12","Korman","226",13699,13699
"Eng-UK","12","Lara","232",102077,102077
"Eng-NA","2","Bernstein","36",12522,12522
"Eng-NA","2","PetersonMcCabe","38",7302,7302
"Eng-NA","2","Evans","39",10,10
"Eng-NA","2","Hicks","66",5281,5281
"Eng-NA","2","Brent","68",155795,155795
"Eng-NA","2","McCune","73",15668,15668
"Eng-NA","2","NewmanRatner","76",179694,179694
"Eng-UK","12","Fletcher","225",26383,26383
"Eng-NA","21","Penney","339",944,944
"Eng-NA","2","Tardif","57",14302,14302
"Eng-NA","2","Sawyer","50",22562,22562
"Eng-UK","12","Nuffield","231",13531,13531
"Eng-NA","2","Gopnik","46",6387,6387
"Eng-NA","2","Garvey","34",9,9
