run,age_group,alpha,n_utterances,n_pairs
historical_saved,overall,1.4299999999999995,4739189,2802071
historical_saved,0-12mo,1.4599999999999995,182023,113607
historical_saved,12-24mo,1.3999999999999997,671559,350859
historical_saved,24-36mo,1.4399999999999995,1900684,1163974
historical_saved,36-48mo,1.3799999999999994,923858,553675
historical_saved,48-60mo,1.3699999999999994,621805,399355
historical_saved,60-72mo,1.2799999999999996,237449,121409
historical_saved,72-84mo,1.2299999999999995,111117,52385
historical_saved,84-96mo,1.2499999999999996,90694,46807
original_refit_2021,overall,1.4299999999999995,4739189,2802071
original_refit_2021,0-12mo,1.4599999999999995,182023,113607
original_refit_2021,12-24mo,1.3999999999999997,671559,350859
original_refit_2021,24-36mo,1.4399999999999995,1900684,1163974
original_refit_2021,36-48mo,1.3799999999999994,923858,553675
original_refit_2021,48-60mo,1.3699999999999994,621805,399355
original_refit_2021,60-72mo,1.2799999999999996,237449,121409
original_refit_2021,72-84mo,1.2299999999999995,111117,52385
original_refit_2021,84-96mo,1.2499999999999996,90694,46807
without_german_collection_2021,overall,1.4499999999999995,4590557,2757541
without_german_collection_2021,0-12mo,1.4599999999999995,182023,113607
without_german_collection_2021,12-24mo,1.3999999999999997,669921,350578
without_german_collection_2021,24-36mo,1.4499999999999995,1858350,1151713
without_german_collection_2021,36-48mo,1.3799999999999994,895907,545454
without_german_collection_2021,48-60mo,1.3799999999999994,605965,394345
without_german_collection_2021,60-72mo,1.3399999999999994,219277,115372
without_german_collection_2021,72-84mo,1.3499999999999994,83883,44406
without_german_collection_2021,84-96mo,1.3899999999999997,75231,42066
corrected_2021,overall,1.4499999999999995,3003214,2140505
corrected_2021,0-12mo,1.4599999999999995,179773,112551
corrected_2021,12-24mo,1.3799999999999994,433642,265279
corrected_2021,24-36mo,1.4599999999999995,1384635,989328
corrected_2021,36-48mo,1.4099999999999997,499978,385482
corrected_2021,48-60mo,1.3999999999999997,372109,289471
corrected_2021,60-72mo,1.3999999999999997,81657,62555
corrected_2021,72-84mo,1.3499999999999994,16944,12846
corrected_2021,84-96mo,1.3899999999999997,34476,22993
corrected_2026,overall,1.4499999999999995,3013603,2143372
corrected_2026,0-12mo,1.4199999999999997,166385,118929
corrected_2026,12-24mo,1.3899999999999997,500683,310151
corrected_2026,24-36mo,1.4599999999999995,1399876,997455
corrected_2026,36-48mo,1.3999999999999997,512741,395375
corrected_2026,48-60mo,1.3999999999999997,211915,166322
corrected_2026,60-72mo,1.4499999999999995,118618,86211
corrected_2026,72-84mo,1.5299999999999994,44490,30417
corrected_2026,84-96mo,1.5099999999999991,58895,38512
