"collection_name","corpus_name","language","participant_language","transcript_language","n_utterances"
"Eng-NA","Bates","eng","eng","eng",8775
"Eng-NA","Bernstein","eng","eng","eng",12601
"Eng-NA","Bliss","eng","eng","eng",1017
"Eng-NA","Bloom","eng","eng","eng",32400
"Eng-NA","Bohannon","eng","eng","eng",6707
"Eng-NA","Braunwald","eng","eng","eng",42838
"Eng-NA","Brent","eng","eng","eng",176217
"Eng-NA","Brown","eng","eng","eng",86762
"Eng-NA","Champaign","eng","eng","eng",210274
"Eng-NA","Clark","eng","eng","eng",23433
"Eng-NA","Demetras1","eng","eng","eng",7973
"Eng-NA","Demetras2","eng","eng","eng",15394
"Eng-NA","EHS","eng","eng","eng",141612
"Eng-NA","Evans","eng","eng","eng",10
"Eng-NA","FMB_book","eng","eng","eng",4104
"Eng-NA","FMB_home","eng","eng","eng",26003
"Eng-NA","Feldman","eng","eng","eng",101595
"Eng-NA","Garvey","eng","eng","eng",9
"Eng-NA","Gathercole","eng","eng","eng",2636
"Eng-NA","Gelman","eng","eng","eng",37215
"Eng-NA","Gleason","eng","eng","eng",36447
"Eng-NA","Gopnik","eng","eng","eng",6156
"Eng-NA","HSLLD","eng","eng","eng",223694
"Eng-NA","Hall","eng","eng","eng",85563
"Eng-NA","Hicks","eng","eng","eng",5041
"Eng-NA","Higginson","eng","eng","eng",9672
"Eng-NA","Kuczaj","eng","eng","eng",28208
"Eng-NA","Lego","eng","eng","eng",96889
"Eng-NA","MacWhinney","eng","eng","eng",108532
"Eng-NA","McCune","eng","eng","eng",30441
"Eng-NA","McMillan","eng","eng","eng",145
"Eng-NA","Menn","eng","eng","eng",2758
"Eng-NA","Morisset","eng","eng","eng",19399
"Eng-NA","Nelson","eng","eng","eng",3919
"Eng-NA","NewEngland","eng","eng","eng",170678
"Eng-NA","NewmanRatner","eng","eng","eng",166778
"Eng-NA","Nippold","eng","eng","eng",3424
"Eng-NA","OCSC","eng","eng","eng",133171
"Eng-NA","Penney","eng","eng","eng",656
"Eng-NA","Peters","eng","eng","eng",25991
"Eng-NA","PetersonMcCabe","eng","eng","eng",7298
"Eng-NA","Post","eng","eng","eng",29139
"Eng-NA","Providence","eng","eng","eng",214898
"Eng-NA","Rollins","eng","eng","eng",68626
"Eng-NA","Rowe","eng","eng","eng",57334
"Eng-NA","Sachs","eng","eng","eng",12174
"Eng-NA","Sawyer","eng","eng","eng",3367
"Eng-NA","Snow","eng","eng","eng",14294
"Eng-NA","Soderstrom","eng","eng","eng",26995
"Eng-NA","Sprott","eng","eng","eng",1668
"Eng-NA","StoopsMontag","eng","eng","eng",26126
"Eng-NA","Suppes","eng","eng","eng",32571
"Eng-NA","Tardif","eng","eng","eng",13802
"Eng-NA","Valian","eng","eng","eng",26965
"Eng-NA","VanHouten","eng","eng","eng",8793
"Eng-NA","VanKleeck","eng","eng","eng",8756
"Eng-NA","Warren","eng","eng","eng",5853
"Eng-NA","Weist","eng","eng","eng",64193
"Eng-UK","Belfast","eng","eng","eng",80068
"Eng-UK","Edinburgh","eng","eng","eng",94962
"Eng-UK","Fletcher","eng","eng","eng",26383
"Eng-UK","Forrester","eng","eng","eng",10461
"Eng-UK","Gathburn","eng","eng","eng",14000
"Eng-UK","Howe","eng","eng","eng",9676
"Eng-UK","KellyQuigley","eng","eng","eng",6214
"Eng-UK","Lara","eng","eng","eng",97027
"Eng-UK","MPI-EVA-Manchester","eng","eng","eng",483726
"Eng-UK","Manchester","eng","eng","eng",370770
"Eng-UK","Nuffield","eng","eng","eng",13531
"Eng-UK","Sekali","eng","eng","eng",95745
"Eng-UK","Thomas","eng","eng","eng",348217
"Eng-UK","Tommerdahl","eng","eng","eng",13010
"Eng-UK","Wells","eng","eng","eng",45694
