age_group,run,subject,frequency
72-84mo,historical,und,126
72-84mo,historical,du,71
72-84mo,historical,das,49
72-84mo,historical,nicht,29
72-84mo,historical,ich,28
72-84mo,historical,wir,13
72-84mo,historical,gucken,19
72-84mo,historical,wörter,2
72-84mo,historical,quatsch,2
72-84mo,historical,natürlich,2
72-84mo,historical,machen,2
72-84mo,historical,zeigen,2
72-84mo,historical,mal,52
72-84mo,historical,ja,31
72-84mo,historical,dir,17
72-84mo,historical,ist,25
72-84mo,historical,auch,26
72-84mo,historical,denn,48
72-84mo,historical,wie,15
72-84mo,historical,bisschen,14
72-84mo,corrected,und,0
72-84mo,corrected,du,0
72-84mo,corrected,das,0
72-84mo,corrected,nicht,0
72-84mo,corrected,ich,0
72-84mo,corrected,wir,0
72-84mo,corrected,gucken,0
72-84mo,corrected,wörter,0
72-84mo,corrected,quatsch,0
72-84mo,corrected,natürlich,0
72-84mo,corrected,machen,0
72-84mo,corrected,zeigen,0
72-84mo,corrected,mal,0
72-84mo,corrected,ja,0
72-84mo,corrected,dir,0
72-84mo,corrected,ist,0
72-84mo,corrected,auch,0
72-84mo,corrected,denn,0
72-84mo,corrected,wie,0
72-84mo,corrected,bisschen,0
84-96mo,historical,und,60
84-96mo,historical,du,47
84-96mo,historical,das,14
84-96mo,historical,nicht,19
84-96mo,historical,ich,9
84-96mo,historical,wir,9
84-96mo,historical,gucken,3
84-96mo,historical,wörter,0
84-96mo,historical,quatsch,0
84-96mo,historical,natürlich,0
84-96mo,historical,machen,1
84-96mo,historical,zeigen,0
84-96mo,historical,mal,48
84-96mo,historical,ja,20
84-96mo,historical,dir,17
84-96mo,historical,ist,17
84-96mo,historical,auch,17
84-96mo,historical,denn,16
84-96mo,historical,wie,11
84-96mo,historical,bisschen,10
84-96mo,corrected,und,0
84-96mo,corrected,du,0
84-96mo,corrected,das,0
84-96mo,corrected,nicht,0
84-96mo,corrected,ich,0
84-96mo,corrected,wir,0
84-96mo,corrected,gucken,0
84-96mo,corrected,wörter,0
84-96mo,corrected,quatsch,0
84-96mo,corrected,natürlich,0
84-96mo,corrected,machen,0
84-96mo,corrected,zeigen,0
84-96mo,corrected,mal,0
84-96mo,corrected,ja,0
84-96mo,corrected,dir,0
84-96mo,corrected,ist,0
84-96mo,corrected,auch,0
84-96mo,corrected,denn,0
84-96mo,corrected,wie,0
84-96mo,corrected,bisschen,0
