"collection_name","corpus_name","corpus_id","n_utterances"
"Eng-NA","McCune",157,30441
"Eng-NA","Nippold",164,3424
"Eng-NA","Gathercole",145,2636
"Eng-UK","Manchester",193,370770
"Eng-UK","Sekali",195,95745
"Eng-UK","Tommerdahl",197,13010
"Eng-NA","OCSC",165,133171
"Eng-NA","Soderstrom",174,26995
"Eng-NA","Rollins",169,68626
"Eng-NA","Evans",140,10
"Eng-NA","Brown",134,86762
"Eng-NA","PetersonMcCabe",167,7298
"Eng-UK","Belfast",184,80068
"Eng-NA","Garvey",144,9
"Eng-NA","Sachs",171,12174
"Eng-NA","Feldman",143,101595
"Eng-NA","Post",168,29139
"Eng-UK","KellyQuigley",190,6214
"Eng-NA","Demetras2",138,15394
"Eng-NA","Menn",389,2758
"Eng-NA","VanKleeck",181,8756
"Eng-UK","Forrester",187,10461
"Eng-NA","Nelson",160,3919
"Eng-NA","FMB_home",142,26003
"Eng-NA","Braunwald",132,42838
"Eng-NA","Suppes",177,32571
"Eng-NA","Valian",179,26965
"Eng-UK","Lara",191,97027
"Eng-NA","Gleason",147,36447
"Eng-NA","Clark",136,23433
"Eng-NA","Warren",182,5853
"Eng-NA","Brent",133,176217
"Eng-NA","Peters",166,25991
"Eng-NA","Higginson",153,9672
"Eng-NA","FMB_book",141,4104
"Eng-NA","Tardif",178,13802
"Eng-UK","Wells",198,45694
"Eng-NA","Gelman",146,37215
"Eng-NA","Bohannon",131,6707
"Eng-NA","Bates",127,8775
"Eng-NA","Bliss",129,1017
"Eng-UK","Howe",189,9676
"Eng-NA","Demetras1",137,7973
"Eng-NA","HSLLD",149,223694
"Eng-NA","Kuczaj",154,28208
"Eng-NA","Morisset",159,19399
"Eng-NA","EHS",139,141612
"Eng-NA","Penney",391,656
"Eng-UK","Thomas",196,348217
"Eng-NA","Hicks",152,5041
"Eng-NA","VanHouten",180,8793
"Eng-NA","NewmanRatner",162,166778
"Eng-NA","Sprott",175,1668
"Eng-NA","Weist",183,64193
"Eng-NA","Bernstein",128,12601
"Eng-NA","Bloom",130,32400
"Eng-NA","StoopsMontag",176,26126
"Eng-NA","Hall",151,85563
"Eng-NA","McMillan",158,145
"Eng-NA","NewEngland",161,170678
"Eng-UK","Fletcher",186,26383
"Eng-NA","Rowe",170,57334
"Eng-NA","Sawyer",172,3367
"Eng-NA","Snow",173,14294
"Eng-NA","Lego",155,96889
"Eng-NA","Champaign",135,210274
"Eng-UK","Gathburn",188,14000
"Eng-NA","MacWhinney",156,108532
"Eng-NA","Providence",392,214898
"Eng-UK","Edinburgh",185,94962
"Eng-NA","Gopnik",148,6156
"Eng-UK","MPI-EVA-Manchester",192,483726
"Eng-UK","Nuffield",194,13531
