rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.2983870414804752,0.30474803608663514,4.046225237959616e-05,100
2,0.13301475293033163,0.12038176910883656,0.0001595922802341561,100
3,0.07264586148779316,0.0699195193600778,7.43294139735551e-06,99
4,0.046891935304450676,0.04755328539558973,4.373839430496333e-07,99
5,0.03380137335484392,0.035263150423105356,2.136792197294998e-06,99
6,0.02450644572586878,0.02761965440004634,9.692068248974402e-06,99
7,0.01945523310276882,0.022465161338411435,9.059667983718666e-06,97
8,0.015521582250208088,0.01878452998867265,1.0646827943950992e-05,97
9,0.012754593498315953,0.01604190547155651,1.0806420009410736e-05,97
10,0.010340416735208233,0.013929672810352886,1.2882759172962802e-05,95
11,0.008495440032129948,0.012259555312612686,1.416856384476364e-05,94
12,0.007261447815620024,0.010910333997712858,1.3314370369868021e-05,94
13,0.006573751417897257,0.009800693857929126,1.0413157511278836e-05,94
14,0.005821221621940584,0.008874202767510499,9.320693875205391e-06,93
15,0.0053602218366504565,0.008090560846156605,7.454751106831016e-06,91
16,0.004797340915339896,0.007420277357493947,6.879795579579753e-06,88
17,0.004568315142290327,0.006841311431190132,5.166512129352288e-06,88
18,0.004117620804732464,0.006336884021768398,4.925129226488684e-06,85
19,0.00395913298811088,0.0058940130116065465,3.74376070532259e-06,84
20,0.003848710097982163,0.005502508490459407,2.7350491229603166e-06,84
21,0.0036506686224446784,0.0051542687634639536,2.260813384073184e-06,79
22,0.003584375127691003,0.004842777581019082,1.5835767345421283e-06,78
23,0.0035233982580271145,0.00456273887933752,1.080228927105899e-06,75
24,0.003396160284190012,0.004309807292210336,8.347508552644909e-07,72
25,0.0033437039971019327,0.0040803865177626636,5.427011362470482e-07,70
26,0.003275711579515562,0.0038714765163448367,3.549358599551896e-07,69
27,0.0032134482228440495,0.003680556352698423,2.1819000497605045e-07,67
28,0.00310568368721771,0.003505493398092805,1.5984780491002705e-07,66
29,0.002917645873802,0.0033444722616345623,1.8218076535019302e-07,63
30,0.0026252104461302523,0.003195938652304021,3.2573068532232763e-07,57
31,0.002580306769491895,0.003058554656762925,2.287210416792037e-07,53
32,0.0025506887072937533,0.002931162828952317,1.4476055725185565e-07,51
33,0.002550193861782774,0.0028127571420426926,6.893947614084852e-08,51
34,0.0024657300358509817,0.0027024593289816864,5.604075822616316e-08,48
35,0.0024601547123755375,0.0025994994872765155,1.9416966292204238e-08,48
36,0.0024206409236041306,0.0025032000828419908,6.81601477406235e-09,48
37,0.0023653098088083488,0.002412962681824736,2.270796306715911e-09,46
38,0.0022364594167914183,0.002328256885914726,8.426775337444631e-09,43
39,0.0022686696343341877,0.002248611058306746,4.0234647224866175e-10,41
40,0.0021813409092924234,0.0021736045131709614,5.985182494817169e-11,41
41,0.0021678371023527636,0.002102860907750687,4.221905864966935e-09,41
42,0.002131968011432223,0.0020360426277917453,9.201679226572814e-09,39
43,0.002067582759762472,0.001972845997435197,8.975054136254567e-09,38
44,0.002055820784491424,0.0019129971765854347,2.0398582975283756e-08,37
45,0.002010649366521982,0.0018562486340549136,2.3839586186367164e-08,34
46,0.0018912903217041463,0.0018023761049609254,7.905737939060457e-09,34
47,0.0018378286214929223,0.0017511759570299113,7.508684258539185e-09,34
48,0.001834693447859067,0.0017024629035081026,1.7484916859352354e-08,34
49,0.0017893631148965614,0.0016560680109432503,1.776758473792401e-08,33
50,0.001775601874351141,0.0016118369587014266,2.6818947597758112e-08,33
51,0.0018126847511660894,0.0015696285141126715,5.907633437056726e-08,31
