verb,subject,frequency,rank,total,proportion
be,that,3038,1,11930,0.25465213746856663
be,it,1948,2,11930,0.16328583403185248
be,you,1190,3,11930,0.0997485331098072
be,this,669,4,11930,0.05607711651299246
be,what,549,5,11930,0.0460184409052808
be,they,485,6,11930,0.040653813914501256
be,he,467,7,11930,0.03914501257334451
be,who,443,8,11930,0.03713327745180218
be,i,311,9,11930,0.026068734283319364
be,she,258,10,11930,0.02162615255658005
be,name,151,11,11930,0.012657166806370494
be,one,116,12,11930,0.00972338642078793
be,those,114,13,11930,0.009555741827326068
be,thing,111,14,11930,0.009304274937133277
be,these,95,15,11930,0.00796311818943839
be,we,79,16,11930,0.006621961441743504
be,godmother,49,17,11930,0.004107292539815591
be,birthday,44,18,11930,0.0036881810561609388
be,food,43,19,11930,0.0036043587594300082
be,game,38,20,11930,0.003185247275775356
be,all,27,21,11930,0.0022632020117351217
be,toy,26,22,11930,0.0021793797150041912
be,season,26,23,11930,0.0021793797150041912
be,guy,24,24,11930,0.00201173512154233
be,movie,24,25,11930,0.00201173512154233
be,boy,23,26,11930,0.0019279128248114
be,part,22,27,11930,0.0018440905280804694
be,show,22,28,11930,0.0018440905280804694
be,story,20,29,11930,0.0016764459346186086
be,balloon,20,30,11930,0.0016764459346186086
be,subject,20,31,11930,0.0016764459346186086
be,tiger,20,32,11930,0.0016764459346186086
be,girl,19,33,11930,0.001592623637887678
be,which,18,34,11930,0.0015088013411567478
be,dat,18,35,11930,0.0015088013411567478
be,matter,17,36,11930,0.0014249790444258172
be,teacher,17,37,11930,0.0014249790444258172
be,friend,17,38,11930,0.0014249790444258172
be,kind,17,39,11930,0.0014249790444258172
be,some,15,40,11930,0.0012573344509639564
be,halloween,15,41,11930,0.0012573344509639564
be,man,14,42,11930,0.001173512154233026
be,car,14,43,11930,0.001173512154233026
be,woman,13,44,11930,0.0010896898575020956
be,people,13,45,11930,0.0010896898575020956
be,dog,13,46,11930,0.0010896898575020956
be,seamstress,12,47,11930,0.001005867560771165
be,firstname,12,48,11930,0.001005867560771165
be,animal,12,49,11930,0.001005867560771165
be,wish,12,50,11930,0.001005867560771165
be,aerobics,11,51,11930,0.0009220452640402347
be,daddy,11,52,11930,0.0009220452640402347
be,wat,11,53,11930,0.0009220452640402347
be,house,11,54,11930,0.0009220452640402347
be,favourite,11,55,11930,0.0009220452640402347
be,cat,10,56,11930,0.0008382229673093043
be,kid,10,57,11930,0.0008382229673093043
be,program,10,58,11930,0.0008382229673093043
be,brother,9,59,11930,0.0007544006705783739
be,cup,9,60,11930,0.0007544006705783739
be,debbie,9,61,11930,0.0007544006705783739
be,bird,9,62,11930,0.0007544006705783739
be,day,8,63,11930,0.0006705783738474435
be,elephant,8,64,11930,0.0006705783738474435
be,picture,8,65,11930,0.0006705783738474435
be,school,8,66,11930,0.0006705783738474435
be,yours,8,67,11930,0.0006705783738474435
be,number,8,68,11930,0.0006705783738474435
be,mom,8,69,11930,0.0006705783738474435
be,sportscaster,8,70,11930,0.0006705783738474435
be,waar,8,71,11930,0.0006705783738474435
be,wanna,8,72,11930,0.0006705783738474435
be,book,7,73,11930,0.000586756077116513
be,today,7,74,11930,0.000586756077116513
be,wie,7,75,11930,0.000586756077116513
be,hier,7,76,11930,0.000586756077116513
be,turtle,7,77,11930,0.000586756077116513
be,eye,7,78,11930,0.000586756077116513
be,word,6,79,11930,0.0005029337803855825
be,xxx,6,80,11930,0.0005029337803855825
be,job,6,81,11930,0.0005029337803855825
be,color,6,82,11930,0.0005029337803855825
be,card,6,83,11930,0.0005029337803855825
be,your,6,84,11930,0.0005029337803855825
be,time,6,85,11930,0.0005029337803855825
be,het,6,86,11930,0.0005029337803855825
be,nou,6,87,11930,0.0005029337803855825
be,budgie,6,88,11930,0.0005029337803855825
be,peter,6,89,11930,0.0005029337803855825
be,frog,5,90,11930,0.00041911148365465214
be,foot,5,91,11930,0.00041911148365465214
be,cow,5,92,11930,0.00041911148365465214
be,stuff,5,93,11930,0.00041911148365465214
be,person,5,94,11930,0.00041911148365465214
be,a,5,95,11930,0.00041911148365465214
be,shoe,5,96,11930,0.00041911148365465214
be,storyteller,5,97,11930,0.00041911148365465214
be,die,5,98,11930,0.00041911148365465214
be,sister,5,99,11930,0.00041911148365465214
be,jack,5,100,11930,0.00041911148365465214
be,tony,5,101,11930,0.00041911148365465214
be,go,5,102,11930,0.00041911148365465214
be,monkey,5,103,11930,0.00041911148365465214
be,three,5,104,11930,0.00041911148365465214
be,spot,5,105,11930,0.00041911148365465214
be,everything,5,106,11930,0.00041911148365465214
be,piece,5,107,11930,0.00041911148365465214
be,class,5,108,11930,0.00041911148365465214
be,colour,5,109,11930,0.00041911148365465214
be,fun,5,110,11930,0.00041911148365465214
be,holiday,5,111,11930,0.00041911148365465214
be,easter,5,112,11930,0.00041911148365465214
be,china,5,113,11930,0.00041911148365465214
be,page,4,114,11930,0.00033528918692372173
be,water,4,115,11930,0.00033528918692372173
be,mine,4,116,11930,0.00033528918692372173
be,nothing,4,117,11930,0.00033528918692372173
be,anybody,4,118,11930,0.00033528918692372173
be,somebody,4,119,11930,0.00033528918692372173
be,lady,4,120,11930,0.00033528918692372173
be,baby,4,121,11930,0.00033528918692372173
be,many,4,122,11930,0.00033528918692372173
be,favorite,4,123,11930,0.00033528918692372173
be,hij,4,124,11930,0.00033528918692372173
be,t,4,125,11930,0.00033528918692372173
be,christine,4,126,11930,0.00033528918692372173
be,pig,4,127,11930,0.00033528918692372173
be,sound,4,128,11930,0.00033528918692372173
be,christmas,4,129,11930,0.00033528918692372173
be,van,4,130,11930,0.00033528918692372173
be,grade,4,131,11930,0.00033528918692372173
be,bear,4,132,11930,0.00033528918692372173
be,chip,4,133,11930,0.00033528918692372173
be,dav,4,134,11930,0.00033528918692372173
be,grandma,4,135,11930,0.00033528918692372173
be,truck,3,136,11930,0.0002514668901927913
be,chi,3,137,11930,0.0002514668901927913
be,hasta,3,138,11930,0.0002514668901927913
be,flower,3,139,11930,0.0002514668901927913
be,dad,3,140,11930,0.0002514668901927913
be,money,3,141,11930,0.0002514668901927913
be,look,3,142,11930,0.0002514668901927913
be,door,3,143,11930,0.0002514668901927913
be,us,3,144,11930,0.0002514668901927913
be,christopher,3,145,11930,0.0002514668901927913
be,dot,3,146,11930,0.0002514668901927913
be,mother,3,147,11930,0.0002514668901927913
be,daar,3,148,11930,0.0002514668901927913
be,horse,3,149,11930,0.0002514668901927913
be,dessert,3,150,11930,0.0002514668901927913
be,microphone,3,151,11930,0.0002514668901927913
be,big_bird,3,152,11930,0.0002514668901927913
be,grover,3,153,11930,0.0002514668901927913
be,duck,3,154,11930,0.0002514668901927913
be,fish,3,155,11930,0.0002514668901927913
be,hat,3,156,11930,0.0002514668901927913
be,ear,3,157,11930,0.0002514668901927913
be,pam,3,158,11930,0.0002514668901927913
be,queen,3,159,11930,0.0002514668901927913
be,nose,3,160,11930,0.0002514668901927913
