rank,average_proportion,num_verbs,sd_proportion
1,0.36162861141959063,100,0.17005687302263306
2,0.18571961063859505,100,0.06944575566543779
3,0.09951822610182406,100,0.046235345275764735
4,0.06258188248928331,100,0.028315504088257542
5,0.044942527257013906,100,0.02105213100586737
6,0.033288018768502486,100,0.015492213029360003
7,0.024482763499446634,100,0.012905542383479029
8,0.016252424331244505,99,0.008956071297701386
9,0.011371251091822797,99,0.005872479189806174
10,0.009134861077606938,99,0.0047151503413425284
11,0.00723619229099591,99,0.0037311240601335246
12,0.006106845548604783,98,0.003016013545631145
13,0.005345453425110033,98,0.002790259627642283
14,0.0047829797822899305,98,0.0025495082348940845
15,0.004334097758027064,97,0.002301982165908492
16,0.0039314102951791925,97,0.0020959634992132954
17,0.0037180566390760633,96,0.001974243516659253
18,0.003499437791025336,96,0.0019506997983518102
19,0.0031921900793983687,96,0.0017346186705822445
20,0.0029835254394711547,96,0.0016394881583362212
21,0.0028701309091456705,96,0.001589831928525462
22,0.0027963089726962234,96,0.001616361081623664
23,0.002710729112168497,94,0.0015884750192080356
24,0.00260865248376593,94,0.00155828365272843
25,0.0024791260965150207,94,0.0015100821255945463
26,0.0024156444051365573,93,0.0015034849879982611
27,0.0022997088196077212,93,0.0014102727475246034
28,0.0022074653736476857,93,0.0012758238962997917
29,0.0021461307038291647,93,0.0012473284871693802
30,0.0020674941732825108,93,0.0012212468647995556
31,0.0019687138740803844,93,0.001191782606640194
32,0.0018364253912161964,93,0.001085267313240661
33,0.0017960738457726197,93,0.0010588466609912197
34,0.0017547321558995267,92,0.0010733749900785465
35,0.001697689152280467,91,0.000995057434930528
36,0.001690417062919049,91,0.0009983603126243537
37,0.0016675370808909033,90,0.0009967398411089826
38,0.001645611553508546,90,0.0010051378423034756
39,0.0016085991304378973,90,0.0009843606652670536
40,0.00160062581995679,89,0.0009940373839023588
41,0.0015579831568615224,89,0.0010005561041661656
42,0.0015333187630294108,88,0.001003162592265648
43,0.0014781918076052206,86,0.0009208404817370748
44,0.0014532778371200439,86,0.000882326102778098
45,0.001440062188201008,85,0.0008817756349775027
46,0.0014238379598601153,84,0.0008809963300499397
47,0.0013821886262416884,84,0.0008696858161482217
48,0.0013812352081112049,84,0.0008706971030045455
49,0.0013800596282318677,84,0.0008718349554458343
50,0.001334944990419725,82,0.0008544814647888837
51,0.0013326132950264098,82,0.0008530700836677592
52,0.0013152182939405238,81,0.0008530045782066207
53,0.0013268158213023662,80,0.000851815708828771
54,0.0012948259970728794,78,0.0008448724683670407
55,0.001290839763567836,78,0.0008453208031863447
56,0.0012896423122232777,78,0.0008465012893216403
57,0.0012713145707606492,78,0.0008453764030490525
58,0.0012670633335308621,78,0.00084829912220474
59,0.001251862196455237,77,0.0008458758152143337
60,0.0012307740072288987,75,0.0008481523721975503
61,0.00121437610210045,73,0.0008528258290279337
