rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3459071702222969,0.3579061263798145,0.00014397494887002989,100
2,0.1666597778269258,0.13100131003099846,0.001271526325553186,100
3,0.09237582483678275,0.07276848161681063,0.00038444790814578676,100
4,0.05583801917249796,0.047949286041630776,6.22321104100416e-05,100
5,0.03928498456873394,0.03469465922109487,2.1071086797177744e-05,100
6,0.029999854938480015,0.026634823262713672,1.1323438178910844e-05,100
7,0.02274272728841729,0.02129987105773297,2.0818341024245684e-06,100
8,0.016361995348988457,0.01755046595608922,1.412462383942455e-06,100
9,0.011607391279303873,0.014795085991896991,1.016139758069412e-05,100
10,0.008877980839442775,0.012698988572828251,1.4600100098591619e-05,100
11,0.00718189110772836,0.011059862785490666,1.5038664333526591e-05,100
12,0.005974383296245843,0.009748915938244724,1.4247096665515052e-05,100
13,0.004964829034525782,0.00868063052254703,1.380718069838092e-05,100
14,0.004254348888372099,0.007796209135278267,1.2544774008614223e-05,100
15,0.003845798476468192,0.0070540219505841354,1.0292697859868575e-05,99
16,0.0033036175830415014,0.006423846540872724,9.735828749288516e-06,99
17,0.0029444780156373355,0.005883262096052417,8.636451871301116e-06,99
18,0.00268088953925428,0.005415318442755471,7.477101428302726e-06,99
19,0.0024433013325625788,0.00500698639129569,6.572481080371396e-06,99
20,0.0022360020111315392,0.0046481018806137,5.818225780355857e-06,99
21,0.0020146174124029297,0.004330630747181573,5.363917766872491e-06,99
22,0.0019234214806901097,0.0040481467258395585,4.5144573673753844e-06,99
23,0.00179058905469021,0.0037954543314058686,4.019484777780155e-06,99
24,0.0016910634912178067,0.003568312094040108,3.524062316798282e-06,99
25,0.0015866575960574198,0.0033632265271438823,3.1561971669016963e-06,99
26,0.0015090177988112566,0.003177296744962528,2.7831546421715965e-06,99
27,0.0014237000796009057,0.0030080958767326887,2.510310041968858e-06,99
28,0.0013366912169995755,0.0028535795693903823,2.300950273618896e-06,99
29,0.0012736299233618163,0.0027120146764105495,2.0689506978030654e-06,99
30,0.0012245551452029005,0.0025819231591841744,1.8424479253794678e-06,99
31,0.001182477812382905,0.0024620375727061484,1.637273180238476e-06,98
32,0.0011395786065312567,0.002351265458360386,1.4681850268955864e-06,98
33,0.001099866501256102,0.002248660647223322,1.3197279898085538e-06,98
34,0.0010641480851379395,0.0021533999700823563,1.186469668854965e-06,98
35,0.001019862947431523,0.002064764230990222,1.0918186923826163e-06,98
36,0.0009799632017976241,0.0019821225677572065,1.004323394780512e-06,98
37,0.0009443520074173747,0.0019049195217115498,9.226899495172902e-07,98
38,0.0009266445317500677,0.0018326642888226068,8.208718002057828e-07,98
39,0.0009092840361313045,0.001764921737975354,7.321158768169665e-07,97
40,0.0008754002276875609,0.0017013048691761207,6.821184768323465e-07,96
41,0.0008494714198488133,0.0016414684515250212,6.272592981839243e-07,96
42,0.0008332656790706666,0.0015851036328427147,5.652603087321404e-07,96
43,0.0008030681871749889,0.0015319333535141753,5.312444307026497e-07,96
44,0.0007834373302040008,0.001481708429097704,4.875825275502198e-07,96
45,0.000765180462666641,0.001434204191550856,4.475927498101397e-07,96
46,0.0007501206786210342,0.0013892175990565503,4.0844487371016043e-07,96
47,0.0007296739510971275,0.001346564740536565,3.805542460952124e-07,96
48,0.0007149747838001395,0.001306078673888476,3.4940380887756424e-07,96
49,0.0006972629549738434,0.0012676075474455412,3.25292954161707e-07,96
50,0.0006887873220275118,0.0012310129626540605,2.940086453528711e-07,96
51,0.0006769551760553771,0.0011961685428909005,2.6958252030067975e-07,96
52,0.0006700953599429463,0.0011629586790185586,2.4291425129022876e-07,96
53,0.0006582498739101099,0.001131277426942474,2.2375506592778598e-07,96
54,0.0006430096859984808,0.0011010275362893364,2.0978035118505655e-07,96
55,0.0006234800488978367,0.0010721195925198026,2.0127744010132588e-07,96
56,0.0006091249856489558,0.0010444712574467843,1.8952637636826874e-07,96
57,0.0006008462151143622,0.0010180065953494402,1.7402278283787485e-07,96
58,0.0005902693919050213,0.000992655473731823,1.6191455884792552e-07,96
59,0.0005730243808460603,0.0009683530293374297,1.5628474031801265e-07,96
60,0.0005561212810296191,0.0009450391913480725,1.512571409664726e-07,96
61,0.0005413030295894896,0.0009226582548093745,1.454318078025091e-07,96
62,0.0005332950456855516,0.0009011584982699403,1.3532351974730676e-07,96
63,0.0005267570710867142,0.0008804918404248091,1.2512828703867522e-07,96
64,0.000521421655801374,0.0008606135312391193,1.150511283629749e-07,96
65,0.0005192249603491415,0.0008414818736139678,1.038495181469738e-07,95
66,0.0005153389926315769,0.0008230579721588746,9.469097036132147e-08,95
67,0.0005116746321098719,0.0008053055060670702,8.621909014086807e-08,95
68,0.0005022979160034176,0.0007881905234618291,8.173458299936938e-08,95
69,0.0004953668546487391,0.0007716812549032942,7.63496477880345e-08,95
70,0.000489981602078244,0.0007557479440232385,7.06317485108237e-08,95
71,0.00048128230936962213,0.0007403626934963368,6.712264543924603e-08,95
72,0.0004713464632848747,0.0007254993247660853,6.459367699908745e-08,95
73,0.0004627268968101925,0.0007111332501260437,6.170571636767947e-08,95
74,0.0004548688000363348,0.0006972413559163659,5.874445584381878e-08,95
75,0.00044897677533631806,0.0006838018957348655,5.5142837170192276e-08,95
76,0.00044328566443815686,0.0006707943926838855,5.176022142798879e-08,95
77,0.00043985843882082126,0.0006581995497813213,4.7672840735465395e-08,95
78,0.00043139182573136413,0.0006459991677583024,4.605631125186728e-08,95
79,0.0004228968171411532,0.000634176069548959,4.463892249800131e-08,95
80,0.0004210071215021117,0.0006227140308508506,4.068567727902039e-08,95
81,0.0004184457162930156,0.0006115977161992831,3.7307695067790764e-08,95
82,0.0004046834337459555,0.0006008126200559498,3.846665772262044e-08,95
83,0.0004010731893604548,0.0005903450124630571,3.5823823020582785e-08,95
84,0.00039569957160585234,0.0005801818888591164,3.4033725379133986e-08,95
85,0.00039291036711786096,0.0005703109236926294,3.147095747303762e-08,95
86,0.0003879796987842402,0.0005607204275055295,2.9839359359162046e-08,95
87,0.00038276324757351377,0.0005513993071900431,2.8438120602989634e-08,95
88,0.0003812024112080876,0.000542337029151003,2.5964365099609305e-08,94
89,0.0003794949352036593,0.0005335235851310303,2.3724824998448602e-08,94
90,0.00037551523765148143,0.0005249494604787173,2.233058695197997e-08,94
91,0.0003731377472299913,0.0005166056046603086,2.058302611564586e-08,94
92,0.0003716024359028781,0.0005084834038336553,1.8736399381666463e-08,94
93,0.0003666979414592715,0.0005005746553196435,1.7922974514051927e-08,94
94,0.0003600717367111541,0.0004928715438210794,1.7635788768433364e-08,94
95,0.00035716172904173686,0.00048536661925231825,1.643649387390723e-08,94
96,0.00035334627472628484,0.00047805277605493746,1.5551711473633236e-08,94
97,0.00035235772768832835,0.00047092323388558493,1.405777925981169e-08,94
98,0.00035021505683775365,0.0004639715195719333,1.2940532813792805e-08,94
99,0.00034294592284937373,0.0004571914502415302,1.305204052911198e-08,94
100,0.0003371145394421675,0.00045057711753636423,1.2873756627781695e-08,94
101,0.00033385836352639906,0.00044412287283324137,1.2158262012678713e-08,94
102,0.0003274300757517496,0.00043782331339667233,1.218666691772839e-08,94
103,0.0003246467472143882,0.0004316732693969712,1.1454676450498933e-08,93
104,0.00032004428993978937,0.00042566779173172306,1.1156324130790619e-08,92
105,0.0003147246576414958,0.00041980214059374096,1.1041277423579374e-08,92
106,0.0003118467581900247,0.0004140717747331622,1.044995400724473e-08,92
107,0.00031162022337110517,0.00040847234136545386,9.380332759991243e-09,92
108,0.0003068675670347142,0.00040299966668086776,9.241380582377994e-09,92
109,0.0003050645361758192,0.00039764974691432084,8.57202124749276e-09,92
110,0.00030395245706430943,0.0003924187399378241,7.82628320545671e-09,92
111,0.0003035036830892004,0.0003873029573404601,7.022318365037843e-09,92
112,0.0002954825208339503,0.0003822988569635446,7.5370762189667e-09,91
113,0.0002954705312238738,0.0003774030358610208,6.7129353161161166e-09,91
114,0.00029284898604626147,0.0003726122236573555,6.362174074203848e-09,91
115,0.00029066033205705176,0.00036792327627723387,5.969562549570972e-09,91
116,0.000287749569994522,0.0003633331700232227,5.712880593298598e-09,91
117,0.00028723718032565683,0.0003588389959792887,5.126820004896678e-09,91
118,0.0002867608120867372,0.00035443795471963645,4.580195634953787e-09,91
119,0.00028648801482284076,0.0003501273513037909,4.049965147735591e-09,91
120,0.0002834689603745748,0.0003459045905401836,3.898207914176683e-09,91
121,0.00028118120932823034,0.00034176717250174486,3.670658933662457e-09,91
122,0.000280205859645833,0.00033771268827814,3.307035339345525e-09,91
123,0.0002794101973816014,0.00033373881595034297,2.95159879558781e-09,91
124,0.0002726447446965491,0.00032984331677421517,3.2716766477239594e-09,91
125,0.0002713460756977968,0.00032602403156065205,2.9896788573403437e-09,91
126,0.0002673458436369232,0.0003222788772407004,3.0176381809137166e-09,91
127,0.00026654612247841765,0.00031860584360481097,2.7102145637578434e-09,91
128,0.00026637608127609173,0.0003150029902061122,2.3645762720885035e-09,91
129,0.0002662745225768323,0.00031146844341824734,2.0424904810200912e-09,91
130,0.0002638560316072114,0.0003080003936389338,1.9487246991877737e-09,91
131,0.000261045446324032,0.0003045970926309715,1.8967458960447586e-09,91
132,0.00026086332838825855,0.0003012568509929554,1.6316366684161535e-09,91
133,0.0002585740724106484,0.0002979780357524407,1.5526723270413092e-09,91
134,0.00025838005198816936,0.0002947590680747627,1.3234328114286166e-09,91
135,0.0002513686562816841,0.00029159842108114105,1.6184339758196272e-09,91
136,0.00024993395489375714,0.0002884946177700899,1.4869247214621865e-09,91
137,0.0002491073287321998,0.00028544622903652793,1.3205156753278985e-09,91
138,0.00024694154288982373,0.00028245187178332085,1.2609834581243361e-09,90
139,0.00024457250448082737,0.0002795102071203108,1.2206430657249692e-09,90
140,0.0002422767056801774,0.00027661993864618473,1.1794576505574536e-09,90
141,0.00024143139064188615,0.00027377981080881205,1.0464202872959787e-09,90
142,0.00024093087255669428,0.0002709886073399406,9.034674202999757e-10,90
143,0.0002384464850445686,0.0002682451497603841,8.879604188455893e-10,90
144,0.00023704931969438089,0.0002655482959520589,8.121916477356963e-10,90
145,0.00023704931969438089,0.0002628969387934417,6.680994130901323e-10,90
146,0.00023288123543011835,0.00026029000485521594,7.512406413981644e-10,90
147,0.00023288123543011835,0.00025772645315306233,6.1728484370049e-10,90
148,0.00023203765267532501,0.0002552052739547211,5.367386757455262e-10,89
149,0.00023154376983093963,0.00025272548763861507,4.4866516928399484e-10,89
150,0.0002284226677170891,0.0002502861436014797,4.780115777473282e-10,88
151,0.00022209733735711152,0.0002478863192125822,6.650715851417962e-10,87
152,0.00022185777116357365,0.0002455251188122525,5.601433447234236e-10,87
153,0.0002216723818911533,0.00024320167275257014,4.635103649954871e-10,87
154,0.00022106064413645465,0.00024091513647817085,3.9420086614726727e-10,87
155,0.00021988084629100002,0.00023866468964524817,3.528327711569322e-10,87
156,0.00021958412705205759,0.00023644953527692731,2.844419945915035e-10,87
157,0.00021723902192125774,0.00023426889895328926,2.90016711726115e-10,87
158,0.00021722648106474086,0.0002321220280344123,2.2187731952568817e-10,87
159,0.00021672058928190403,0.00023000819091488752,1.7656035715686542e-10,87
160,0.0002158246012167738,0.00022792667630834338,1.4646022152198868e-10,87
161,0.00021317803114719928,0.000225876792560594,1.6125854143432255e-10,86
162,0.00021311252216351092,0.0002238578669900957,1.1546243544221243e-10,86
163,0.0002130617754417915,0.00022186924525446601,7.757152450117296e-11,86
164,0.0002124392051865544,0.00021991029074188258,5.5817119375033265e-11,86
165,0.000210455633616137,0.00021798038398624015,5.6621868132367464e-11,86
166,0.00020759437282728575,0.00021607892210500103,7.198757644597888e-11,85
167,0.0002075280931496716,0.00021420531825872745,4.458533515700583e-11,85
168,0.0002075280931496716,0.00021235900113133682,2.3337671927316694e-11,85
169,0.00020467554356966606,0.000210539414430166,3.438498146862037e-11,85
170,0.0002045411441500597,0.00020874601640497902,1.7680950680190204e-11,85
171,0.00020467079648596047,0.0002069782793850932,5.324477329790033e-12,84
172,0.00020427774156224482,0.0002052356893338405,9.176639331051413e-13,84
173,0.000203780038180395,0.00020351774541961778,6.879749235613312e-14,84
174,0.00020386827985662047,0.0002018239596028176,4.179245300108631e-12,83
175,0.0002038288441511879,0.0002001538562379634,1.3505536162346054e-11,83
176,0.0002038288441511879,0.00019850697169040738,2.8322326488814034e-11,83
177,0.00020204118677777995,0.0001968828539669776,2.6608397387000192e-11,82
178,0.0002019265033681897,0.00019528106235999247,4.4161886193429287e-11,82
179,0.00020174386134412433,0.0001937011671040862,6.468493063874267e-11,82
180,0.00020150183822575498,0.0001921427490453159,8.759255028741208e-11,82
181,0.00020041302783039468,0.00019060539932204548,9.6189576957784e-11,81
182,0.00019977504309711108,0.0001890887190571247,1.1419752148759063e-10,81
183,0.00019664548334179038,0.00018759231906090445,8.195978349670883e-11,80
184,0.00019652996032138283,0.0001861158195446495,1.0845432811761984e-10,80
185,0.0001965163221399207,0.00018465884984393124,1.4059964925015786e-10,80
186,0.00019531718011982547,0.00018322104815160056,1.463164085927126e-10,80
187,0.00019499420082402712,0.00018180206125995978,1.7403254627783082e-10,80
188,0.00019498056264256498,0.00018040154431177006,2.1254777548965413e-10,80
189,0.00019293376114222244,0.00017901916055974523,1.9361610936987518e-10,80
190,0.00019088041528716044,0.00017765458113420151,1.7492268904157482e-10,79
191,0.00018700360247190322,0.00017630748481854325,1.1440693285451863e-10,79
192,0.00018700360247190322,0.0001749775578322829,1.4462574967414043e-10,79
193,0.00018698979165523275,0.00017366449362130325,1.7756356769304534e-10,79
194,0.00018662936259812034,0.00017236799265508537,2.0338667265210148e-10,79
195,0.00018593643247947833,0.00017108776223063524,2.2048300815887775e-10,79
196,0.000185768498897045,0.00016982351628285592,2.542424705667916e-10,79
197,0.00018488709303259636,0.00016857497520112068,2.66085188147947e-10,79
198,0.00018487328221592593,0.00016734186565181517,3.073505667443769e-10,79
199,0.00018481577945541665,0.00016612392040662422,3.493855946999234e-10,79
200,0.00018481577945541665,0.00016492087817635047,3.9580709690378884e-10,79
201,0.00018481577945541665,0.00016373248345005975,4.4450537044949786e-10,79
202,0.0001844598388746214,0.00016255848633935674,4.796692428739437e-10,79
203,0.00018434080039884417,0.00016139864242760286,5.263426123773912e-10,79
204,0.00018411720816248527,0.0001602527126238967,5.695141473113131e-10,79
205,0.00018404037639254534,0.00015912046302164336,6.210020824132592e-10,79
