rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3077063463048891,0.31546049192504577,6.012677429859524e-05,100
2,0.15578306132926728,0.12204890353721567,0.001137993401939036,100
3,0.08290553647311232,0.07003076286230309,0.0001657597955295897,100
4,0.05235562669602908,0.04721965265360677,2.6378229364435767e-05,100
5,0.03767162526371451,0.03478212169642588,8.349230865373703e-06,100
6,0.028185696818880373,0.027094289269192186,1.1911704395163711e-06,100
7,0.020785631869518546,0.021936162840789045,1.3237215158526362e-06,100
8,0.013908548062053014,0.018268870363488218,1.90124105723932e-05,99
9,0.009803385589070623,0.015546503833644578,3.2983407171158226e-05,99
10,0.007868582882294231,0.013456898484629989,3.1229271271309264e-05,99
11,0.006249680781197716,0.011809649206930223,3.091324889514241e-05,99
12,0.005306490516469313,0.010482543399478265,2.6791523447705284e-05,98
13,0.004627571539990303,0.0093938275570578,2.2717196420232116e-05,98
14,0.004162422739031936,0.008486909426262632,1.8701185108035517e-05,98
15,0.0037810835221330284,0.007721469339967062,1.552664039338759e-05,97
16,0.003438059832849594,0.007068066061524603,1.3176945220219361e-05,97
17,0.0032499691825570976,0.0065047401767952505,1.0593534224934015e-05,96
18,0.0030635953932029347,0.006014806276230231,8.709645676098751e-06,96
19,0.002807141806984351,0.0055853776507443255,7.718594403552698e-06,96
20,0.0026164586567284888,0.005206356254116754,6.70756956495751e-06,96
21,0.0025198701294866996,0.004869726185481158,5.521823483893831e-06,96
22,0.0024271281627796736,0.004569049924665216,4.5878288340388675e-06,96
23,0.0023544404135430294,0.004299102906870293,3.7817122129538103e-06,94
24,0.0022519644367141457,0.004055604302080353,3.25311676393823e-06,94
25,0.0021898946533239903,0.0038350158599018184,2.7064237843320885e-06,94
26,0.0021144017075199134,0.0036343896706691205,2.310363408118475e-06,93
27,0.0020153657145012623,0.00345125158674556,2.0617682381107674e-06,93
28,0.001936936981307541,0.0032835109828622455,1.8132615416630491e-06,93
29,0.0018773494137117278,0.003129390206496791,1.5676061467978499e-06,93
30,0.0018155583887576204,0.0029873689123109727,1.3731399031103816e-06,93
31,0.0017256483536615638,0.0028561397641380048,1.278010829161013e-06,93
32,0.001605244261103639,0.002734572902215128,1.2753831796347222e-06,93
33,0.0015709472430032552,0.0026216872295184994,1.1040545192620557e-06,93
34,0.0015360792742836822,0.0025166270474242677,9.61473935410961e-07,92
35,0.001487839788215517,0.0024186429204650687,8.663944710055763e-07,91
