subject_lemma,verb_lemma
it,work
it,work
that,mean
it,work
that,be
you,know
that,be
it,be
you,listen
you,know
i,bring
that,be
i,bring
you,wanna
i,bring
they,be
you,wanna
what,be
what,be
it,be
you,play
i,be
we,look
what,be
i,like
what,be
that,be
bunny,have
you,look
this,be
this,be
it,look
character,be
that,be
kind,have
you,think
it,be
that,be
you,wanna
us,look
it,be
that,be
that,be
i,see
i,look
it,have
it,have
what,happen
that,go
us,look
us,see
this,open
what,happen
what,happen
what,happen
what,happen
you,lay
you,be
you,remember
you,like
you,put
you,take
you,want
thing,be
you,look
this,be
this,be
i,like
you,wanna
we,put
you,wanna
wanna,see
us,see
you,have
this,be
what,be
that,be
this,be
i,like
this,be
i,think
it,be
who,be
piggywinkle,be
it,be
this,be
this,be
i,put
i,put
that,be
you,know
it,be
you,know
this,be
this,be
you,have
this,be
you,want
what,be
that,be
it,be
i,think
door,open
us,look
us,look
you,could
you,put
this,be
it,be
door,open
it,be
us,look
this,be
part,go
that,say
this,be
what,do
it,say
that,be
two,be
you,remember
they,be
they,be
i,know
that,be
that,be
i,know
it,be
it,do
it,scoop
it,move
that,be
you,know
that,be
that,be
that,be
i,know
you,know
it,be
it,have
this,be
us,return
what,be
that,be
that,be
horse,say
that,be
this,be
i,like
that,be
us,see
we,have
i,think
hook,come
us,see
that,go
we,hook
us,see
i,do
you,wanna
you,know
i,think
it,go
that,be
you,think
hook,go
it,fit
it,be
you,want
i,try
i,see
i,do
i,think
it,go
this,be
i,think
you,try
you,put
us,see
we,hook
hook,hold
that,be
i,think
hook,go
that,be
this,be
we,know
we,do
we,know
everything,go
that,be
we,go
you,like
you,wanna
it,hold
what,happen
it,drive
duck,say
wanna,hear
it,be
you,do
lass,be
it,be
dog,want
he,want
he,be
he,be
he,be
he,be
he,sleep
he,wake
dog,have
name,be
that,be
that,rake
truck,have
you,know
it,have
it,have
it,be
you,want
dog,drive
he,like
they,be
they,be
they,know
he,say
that,be
that,be
you,put
you,drop
you,put
you,wanna
it,open
you,slip
you,want
i,help
you,want
it,flip
we,put
you,go
it,be
one,be
you,want
mommy,do
you,have
they,be
you,play
i,play
you,look
you,want
mommy,do
you,take
you,see
what,happen
what,happen
i,get
what,be
that,be
you,sit
this,be
you,know
part,be
it,be
i,know
you,know
that,be
you,know
we,have
us,look
you,wanna
they,be
they,be
they,make
they,chirp
you,want
horse,stand
rug,be
it,be
he,stand
you,wanna
you,put
you,go
hook,fall
horse,go
horse,do
he,eat
he,eat
he,be
he,be
he,be
he,stand
you,wanna
you,mind
you,need
you,be
that,be
she,go
she,be
you,show
they,be
you,tell
one,be
what,be
that,be
it,make
it,sound
you,show
you,show
you,crawl
ya,do
you,wanna
you,wanna
this,be
book,have
you,know
that,be
that,be
that,be
book,have
that,be
it,be
you,know
it,lift
us,look
this,be
these,be
you,know
you,know
they,be
they,call
that,be
what,be
that,be
this,be
that,be
us,look
these,be
that,be
it,be
that,look
this,be
that,be
this,be
that,be
that,be
this,be
it,be
it,be
it,be
it,be
you,sing
you,wanna
us,look
thing,be
you,like
this,be
these,be
what,be
that,be
marco,get
marco,jump
something,happen
this,be
this,be
i,think
she,step
it,move
she,step
he,step
it,roll
it,surprise
i,think
i,think
he,get
i,think
he,get
he,play
you,want
marco,have
you,like
us,put
you,have
it,go
it,fall
that,be
you,do
you,put
you,dig
you,plant
man,be
dog,have
name,be
you,call
you,do
you,put
that,go
ladder,go
you,need
us,see
it,go
you,be
you,wanna
you,wanna
this,be
i,want
you,look
this,be
you,recognize
you,know
that,be
i,tell
it,be
you,see
that,be
i,ask
you,see
you,remember
what,be
that,be
that,be
what,be
that,be
you,have
us,look
us,look
we,open
that,be
you,recognize
we,drive
i,stop
that,be
what,be
that,be
that,be
we,will
we,let
machine,pick
these,be
that,be
you,recognize
that,be
you,hear
i,know
you,know
you,know
those,be
it,be
those,be
it,be
you,recognize
what,be
that,be
us,go
us,look
what,be
what,be
that,be
that,be
that,be
that,be
that,be
this,be
that,be
esa,be
what,be
that,be
what,be
that,be
that,be
that,be
that,be
we,use
we,go
it,be
this,be
it,be
it,be
that,be
you,wear
you,have
that,be
you,know
this,be
you,need
us,blow
you,blow
you,want
i,do
you,needta
this,be
you,know
this,be
you,like
you,know
that,be
that,be
you,want
i,tell
you,know
that,be
you,have
you,do
you,wear
thing,be
this,be
those,be
marble,be
you,think
you,play
you,play
that,be
it,be
this,be
it,be
it,be
it,be
it,be
those,be
you,play
you,recognize
that,be
they,be
that,be
it,be
you,have
what,be
that,be
they,be
they,be
they,be
house,be
they,be
he,keep
you,remember
he,open
inside,be
you,remember
you,do
that,be
you,wanna
you,tell
that,be
you,know
that,be
that,be
part,be
this,be
you,drink
i,know
you,know
that,be
that,be
we,have
you,know
we,pour
we,pour
we,use
you,know
what,be
that,be
it,be
i,use
i,serve
i,give
this,be
these,be
you,know
that,be
you,remember
this,be
what,be
that,be
that,be
what,be
that,be
that,be
they,cut
it,be
they,cut
you,know
that,be
that,look
bread,be
you,see
these,be
that,be
that,be
these,be
these,be
they,look
they,be
you,remember
you,like
you,recognize
you,recognize
it,be
that,be
you,relax
us,take
i,wanna
i,know
you,like
you,recognize
it,be
it,look
you,know
it,be
it,be
what,be
what,be
you,like
i,do
i,do
i,throw
i,make
i,make
they,look
investigator,bring
they,be
that,be
it,be
us,look
you,have
it,be
you,do
you,do
that,be
one,be
that,be
that,be
it,be
you,know
you,do
you,want
you,take
that,be
that,be
us,look
i,wanna
what,be
us,look
i,see
who,be
duck,say
who,be
that,be
you,remember
us,see
you,see
we,bring
they,have
what,be
that,be
mommy,like
this,be
us,find
truck,go
that,go
i,see
i,put
ladder,go
us,see
i,fix
you,look
i,try
that,be
that,be
he,say
he,give
he,be
dja,find
that,be
this,be
i,remember
they,be
these,be
that,be
those,be
you,remember
you,wanna
horse,stand
us,stick
he,fall
he,go
that,be
i,do
you,open
you,want
i,help
we,open
they,stand
it,be
they,stand
something,come
everything,be
we,put
you,see
bag,be
you,get
dog,be
he,sleep
you,want
dog,stand
dog,hafta
rug,be
you,want
i,do
you,remember
that,be
that,jeep
i,think
you,remember
you,do
you,open
you,want
door,open
i,open
you,open
you,open
all,open
you,do
it,be
i,know
any,fit
one,be
i,know
you,remember
it,be
it,be
that,be
that,be
this,be
you,remember
this,be
this,be
this,be
this,be
you,go
you,do
you,put
car,have
that,be
you,put
it,be
it,be
you,get
you,do
you,shake
you,shake
that,be
that,be
that,be
it,be
it,be
that,be
you,like
you,like
us,look
that,be
you,know
this,be
you,be
you,have
you,wanna
you,play
it,work
i,know
this,work
you,tell
that,work
we,save
you,finish
you,show
she,know
it,be
color,be
you,do
that,be
one,be
that,be
color,be
that,be
that,be
you,have
i,know
you,know
it,be
you,sit
you,play
you,hit
that,be
you,play
you,play
that,be
you,play
you,play
it,be
you,know
you,feel
you,wanna
we,look
you,have
i,wipe
elephant,be
i,show
you,like
you,wanna
this,be
you,want
you,wanna
you,wanna
i,understand
you,say
that,be
you,sit
you,sit
you,want
katie,play
they,play
katie,be
they,be
they,be
they,have
this,be
this,be
this,be
tom,arrive
he,be
this,be
us,go
katie,say
us,play
she,be
what,be
she,be
i,wanna
you,be
you,will
tom,try
that,be
that,be
that,be
he,get
he,get
us,go
kit,say
help,cry
we,help
you,say
you,stop
they,pull
they,take
us,go
katie,say
i,go
who,be
i,push
who,be
that,be
who,push
you,remember
that,be
that,be
who,be
one,be
katie,be
tom,be
she,be
you,wanna
you,tell
i,know
book,be
i,read
you,wanna
this,be
i,wanna
you,want
you,want
you,show
you,want
you,show
you,do
pile,be
airport,be
you,go
i,make
you,play
i,make
we,move
horse,gallop
they,go
you,have
that,look
board,be
you,wanna
this,be
that,be
you,make
you,have
you,do
what,happen
hedgehog,be
you,get
wanna,lie
you,throw
that,be
this,be
you,kiss
that,be
bunny,take
bunny,lie
bunny,sleep
we,be
we,talk
we,play
you,wanna
piggywinkle,go
she,go
those,be
they,be
they,be
they,be
animal,be
it,roll
you,go
child,come
who,need
daddy,need
daddy,be
he,go
he,come
you,give
he,need
matter,be
matter,be
he,have
that,be
who,be
doctor,have
bunny,sleep
you,be
it,be
bunny,wake
bunny,sleep
bunny,need
bunny,have
you,do
bunny,blow
we,blow
you,like
you,go
you,put
you,wanna
that,be
that,be
that,fit
that,fit
that,be
bunny,eat
eat,be
he,turn
us,see
he,eat
he,eat
what,be
this,be
duck,do
duck,do
you,fall
you,trip
you,do
it,be
it,be
you,throw
this,be
this,be
that,be
we,fix
you,know
that,be
that,be
that,be
that,be
it,be
what,be
that,be
that,be
you,talk
that,be
it,be
that,be
this,be
it,be
fireplace,be
we,put
that,be
you,go
you,wanna
that,be
it,be
i,help
you,pull
it,pop
board,be
these,be
bunny,do
he,go
grandpa,fix
that,be
grandpa,help
us,see
we,find
that,have
us,look
it,be
it,have
moon,be
this,be
it,go
it,be
this,be
that,be
ear,be
i,see
they,be
i,move
you,show
i,see
they,be
annie,be
she,be
she,be
who,sleep
child,go
you,be
that,be
you,get
you,want
i,wanna
you,be
you,be
you,like
you,like
you,like
that,be
that,be
you,put
that,be
you,hear
i,see
what,be
crayon,be
you,draw
that,be
you,mean
picture,fold
it,be
you,want
i,take
you,look
i,go
it,be
you,hold
i,go
i,take
you,wanna
wanna,tell
picture,be
this,be
who,be
that,be
you,do
you,dunk
that,be
you,remember
that,be
that,be
you,wear
you,remember
it,have
it,have
it,have
that,be
these,be
that,be
you,lay
we,get
you,put
you,put
that,be
that,be
you,put
you,want
i,go
you,stay
i,start
you,help
i,put
bag,be
you,hold
that,open
i,hold
you,put
what,go
